##Alpha(207mT) X DEG X DEG
259.85 0.00065613 85.883 0.51227 -5.2188
265.19 0.00089264 84.321 0.51215 -5.4063
270.38 0.00099564 83.665 0.51221 -5.3516
275.55 0.0011444 82.743 0.51203 -5.5625
280.55 0.0012512 82.133 0.51197 -5.4766
285.57 0.0013466 81.461 0.51215 -5.4922
290.77 0.0013695 81.36 0.51203 -5.5625
295.75 0.0012932 81.829 0.51197 -5.6485
299.81 0.0013008 81.751 0.51197 -5.6953
304.92 0.0011978 82.313 0.51178 -5.8047
310 0.0011215 82.821 0.51178 -5.875
315.24 0.0010262 83.438 0.51178 -5.8516
320.32 0.0010033 83.516 0.51148 -6.0703
325.41 0.0008049 84.829 0.5116 -6.0313
330.43 0.00064469 85.899 0.5116 -6.0625
335.31 0.0004654 86.985 0.51178 -5.875
340.56 0.00022507 88.555 0.51203 -5.625
345.36 1.9074E-5 89.907 0.51197 -5.6407
350.51 -0.00016022 91.024 0.51215 -5.5313
355.65 -0.00034714 92.149 0.51233 -5.3282
360.33 -0.00055695 93.461 0.51252 -5.2813
0.33 -0.00053025 93.258 0.51252 -5.1719
4.95 -0.00063706 93.969 0.51239 -5.1719
10.74 -0.00084687 95.274 0.51258 -5.0235
15.51 -0.00093461 95.774 0.51264 -5.0078
20.33 -0.00093461 95.805 0.5127 -4.9922
25.03 -0.00091172 95.657 0.51264 -4.9922
29.88 -0.00097657 96.032 0.51264 -5.0078
35.78 -0.00090409 95.602 0.51264 -4.961
40.62 -0.0008545 95.29 0.51276 -4.7969
45.24 -0.00065995 94.04 0.51288 -4.8907
50.19 -0.00061799 93.79 0.51288 -4.7891
55.1 -0.0004158 92.555 0.51282 -4.8828
59.87 -0.00024414 91.532 0.51294 -4.7891
65.74 -8.0109E-5 90.454 0.51276 -4.8985
70.61 0.00014114 89.094 0.51282 -4.9453
75.67 0.00032807 87.938 0.51264 -5.1016
80.63 0.0005455 86.485 0.51264 -5.25
84.84 0.00067902 85.618 0.51258 -5.2578
90.17 0.00080109 84.883 0.51252 -5.3282
95.43 0.0010452 83.313 0.51252 -5.4375
100.55 0.0011063 82.797 0.51227 -5.5703
105.52 0.0011482 82.618 0.51233 -5.5313
110.74 0.0012245 82.165 0.51239 -5.5625
115.67 0.0012741 81.79 0.51227 -5.6875
120.83 0.0012283 82.008 0.51221 -5.8047
124.87 0.0011787 82.383 0.51221 -5.7578
129.94 0.0012169 82.141 0.51221 -5.875
134.97 0.0011025 82.86 0.51215 -5.836
140.15 0.00091172 84.118 0.51227 -5.7735
145.31 0.00086594 84.399 0.51203 -6.0235
150.33 0.0007248 85.274 0.51203 -6
155.35 0.00054169 86.461 0.51215 -5.8516
160.41 0.00025177 88.391 0.51221 -5.7266
165.43 9.9183E-5 89.376 0.51233 -5.6875
170.55 -8.7738E-5 90.547 0.51246 -5.461
175.58 -0.00030136 91.899 0.5127 -5.2969
180.67 -0.00047684 92.977 0.51282 -5.1719
185.75 -0.00060654 93.782 0.51276 -5.1719
189.81 -0.00074006 94.563 0.51282 -5.0391
195.65 -0.00071717 94.454 0.51288 -5.0703
200.44 -0.00077439 94.766 0.51294 -4.9453
205.23 -0.00083924 95.18 0.51276 -5.1172
210.07 -0.00088883 95.446 0.51288 -4.9297
215.02 -0.0008049 94.946 0.51288 -4.8672
220.8 -0.00067521 94.133 0.51282 -4.8672
225.5 -0.00056839 93.477 0.51282 -4.9688
230.33 -0.00047684 92.93 0.513 -4.8125
235.29 -0.00030518 91.868 0.51294 -4.8125
240.1 -0.00020218 91.196 0.513 -4.7344
244.97 -5.3406E-5 90.305 0.51288 -4.836
249.86 0.00016785 88.907 0.5127 -4.9532
254.93 0.0004654 87.063 0.5127 -5.1797
259.85 0.00060654 86.157 0.51264 -5.1407
265.19 0.00074006 85.336 0.51252 -5.3594
270.38 0.00094605 84.04 0.51258 -5.2735
275.55 0.0010758 83.165 0.51233 -5.4766
280.55 0.001133 82.829 0.51227 -5.5157
285.57 0.0012093 82.352 0.51227 -5.5469
290.77 0.0012665 81.961 0.51221 -5.5625
295.75 0.0012322 82.172 0.51227 -5.6641
299.81 0.0012665 81.946 0.51215 -5.7657
304.92 0.0012016 82.352 0.51209 -5.7735
310 0.0011177 82.829 0.51197 -5.8047
315.24 0.00093461 84.008 0.51184 -5.9375
320.32 0.00089264 84.329 0.51184 -6.0157
325.41 0.0007248 85.344 0.51184 -6.0313
330.43 0.00060273 86.149 0.51184 -5.961
335.31 0.00033951 87.829 0.51191 -5.8985
340.56 0.00022125 88.579 0.51203 -5.8203
345.36 -2.2888E-5 90.102 0.51203 -5.7422
350.51 -0.00029373 91.797 0.51239 -5.4922
355.65 -0.00043106 92.696 0.51239 -5.4141
360.33 -0.00063706 93.977 0.51258 -5.3203
0.33 -0.0006218 93.86 0.51258 -5.2266
4.95 -0.0007782 94.813 0.51276 -5.1563
10.74 -0.00089264 95.516 0.51276 -5.125
15.51 -0.00093079 95.774 0.51282 -5.0625
20.33 -0.0010452 96.446 0.51288 -4.9922
25.03 -0.0010033 96.172 0.51282 -5.0313
29.88 -0.0010567 96.586 0.51282 -5.0782
35.78 -0.0010109 96.243 0.51288 -4.9688
40.62 -0.00094986 95.844 0.51288 -5.0391
45.24 -0.00083542 95.157 0.51306 -4.8203
50.19 -0.00071335 94.43 0.51306 -4.7735
55.1 -0.00051117 93.157 0.51313 -4.7266
59.87 -0.00034714 92.133 0.51306 -4.8516
65.74 -0.00014496 90.907 0.51306 -4.9688
70.61 0.00012207 89.219 0.51306 -4.9141
75.67 0.00030899 88.016 0.51306 -5.0235
80.63 0.00048828 86.883 0.5127 -5.3047
84.84 0.00059128 86.211 0.51276 -5.2032
90.17 0.0008049 84.805 0.51264 -5.4141
95.43 0.00093842 83.985 0.51264 -5.5157
100.55 0.0010262 83.454 0.5127 -5.4844
105.52 0.0011597 82.547 0.51264 -5.5625
110.74 0.001133 82.672 0.51258 -5.5391
115.67 0.0011787 82.454 0.51239 -5.7032
120.83 0.0011711 82.485 0.51239 -5.6953
124.87 0.0011139 82.79 0.51239 -5.6719
129.94 0.00098039 83.626 0.51221 -5.8047
134.97 0.00096512 83.782 0.51227 -5.875
140.15 0.00089264 84.211 0.51215 -5.9532
145.31 0.00072098 85.274 0.51221 -6.0313
150.33 0.00057602 86.274 0.51215 -6.0313
155.35 0.00043488 87.211 0.51239 -5.8516
160.41 0.00028229 88.157 0.51246 -5.7969
165.43 1.1444E-5 89.907 0.51258 -5.5235
170.55 -0.00020218 91.274 0.51264 -5.4766
175.58 -0.00030899 91.93 0.5127 -5.3438
180.67 -0.00056458 93.524 0.51276 -5.25
185.75 -0.00071717 94.454 0.51294 -5.125
189.81 -0.00080872 94.977 0.513 -5.0078
195.65 -0.00086976 95.336 0.51313 -4.9141
200.44 -0.00090027 95.516 0.51313 -5.0313
205.23 -0.00098039 96.032 0.513 -5.0078
210.07 -0.0009079 95.594 0.51294 -5.0391
215.02 -0.0009079 95.579 0.513 -4.9688
220.8 -0.00082016 95.055 0.513 -4.9688
225.5 -0.00070191 94.305 0.51313 -4.8516
230.33 -0.00056839 93.477 0.51306 -4.8047
235.29 -0.00042343 92.555 0.51313 -4.8047
240.1 -0.00024033 91.508 0.51325 -4.7891
244.97 -2.6703E-5 90.165 0.513 -4.9453
249.86 0.0001564 88.977 0.51294 -5.0235
254.93 0.00033951 87.852 0.51288 -5.1485
259.85 0.00049973 86.844 0.51276 -5.2032
265.19 0.00065232 85.836 0.51258 -5.2813
270.38 0.00085831 84.571 0.5127 -5.3516
275.55 0.0010147 83.579 0.51246 -5.5391
280.55 0.001133 82.797 0.51239 -5.6094
285.57 0.0010986 82.938 0.51227 -5.586
290.77 0.001194 82.43 0.51239 -5.6875
295.75 0.0011711 82.555 0.51215 -5.6875
299.81 0.0011521 82.665 0.51221 -5.6563
304.92 0.0010758 83.126 0.51215 -5.7266
310 0.00094986 83.922 0.51215 -5.7969
315.24 0.00092698 84.055 0.51215 -5.8438
320.32 0.00082779 84.641 0.51203 -6.0157
325.41 0.00069046 85.571 0.51209 -5.9922
330.43 0.00052643 86.633 0.51197 -6.0547
335.31 0.0003357 87.821 0.51209 -5.961
340.56 0.00014877 89.047 0.51209 -5.8203
345.36 -0.00013352 90.836 0.51227 -5.6485
350.51 -0.00029373 91.844 0.51227 -5.5157
355.65 -0.0004921 93.047 0.51264 -5.3125
360.33 -0.00062943 93.915 0.51276 -5.2344
0.33 -0.0006218 93.876 0.51276 -5.2891
4.95 -0.00077439 94.813 0.51276 -5.1172
10.74 -0.00095368 95.852 0.51294 -5.0703
15.51 -0.0010033 96.219 0.51294 -5.0703
20.33 -0.0010643 96.555 0.513 -5.0391
25.03 -0.0010681 96.602 0.51294 -5.0078
29.88 -0.0010109 96.219 0.51313 -4.9922
35.78 -0.00099564 96.157 0.513 -5.1172
40.62 -0.00090409 95.579 0.51306 -5.0235
45.24 -0.0008049 94.969 0.51319 -4.9141
50.19 -0.00069428 94.251 0.51325 -4.8125
55.1 -0.00059891 93.704 0.51331 -4.7032
59.87 -0.00039292 92.415 0.51331 -4.8203
65.74 -0.00019836 91.196 0.51325 -4.7891
70.61 2.6703E-5 89.805 0.51331 -4.9532
75.67 0.00022888 88.563 0.51313 -5.086
80.63 0.0004158 87.329 0.513 -5.2188
84.84 0.00060654 86.102 0.51294 -5.25
90.17 0.0008049 84.915 0.51294 -5.2891
95.43 0.00097657 83.782 0.51288 -5.4375
100.55 0.0010605 83.172 0.51264 -5.5625
105.52 0.0010758 83.157 0.51276 -5.5157
110.74 0.0011063 82.954 0.5127 -5.5157
115.67 0.0011063 82.891 0.51258 -5.6797
120.83 0.0010529 83.18 0.51246 -5.7813
124.87 0.0010758 83.047 0.51239 -5.8203
129.94 0.0010338 83.313 0.51239 -5.9141
134.97 0.00094986 83.79 0.51227 -5.9453
140.15 0.00084305 84.532 0.51227 -6.0391
145.31 0.00069809 85.469 0.51227 -6.0391
150.33 0.00061035 86.016 0.51227 -6.1172
155.35 0.00040436 87.36 0.51233 -6.0469
160.41 0.00024033 88.461 0.51252 -5.8203
165.43 2.2888E-5 89.844 0.51252 -5.7266
170.55 -0.00017166 91.047 0.51282 -5.4922
175.58 -0.00041962 92.618 0.51288 -5.3594
180.67 -0.00055313 93.43 0.51294 -5.2422
185.75 -0.00071717 94.469 0.513 -5.1485
189.81 -0.0007782 94.836 0.513 -5.2344
195.65 -0.00084687 95.274 0.51306 -5.1328
200.44 -0.00089646 95.54 0.51306 -5.0391
205.23 -0.00093461 95.727 0.51319 -5.0157
210.07 -0.00093461 95.774 0.51306 -5.0313
215.02 -0.00084305 95.211 0.513 -5.1016
