I1(135deg) AUX DEG X DEG
-2 0.33252 36.766 0.00042725 12.094
-1.9 0.31787 35.703 0.00042725 12.094
-1.8 0.30664 34.664 0.00048828 11.305
-1.7 0.29297 33.61 0.00042725 8.7423
-1.6 0.28125 32.563 0.00042725 8.1251
-1.5 0.26465 31.547 0.00042725 8.1251
-1.4 0.25195 30.485 0.00048828 10.617
-1.3 0.23389 29.445 0.00048828 7.5938
-1.2 0.22119 28.414 0.00042725 8.1251
-1.1 0.20947 27.344 0.00042725 8.1251
-1 0.19385 26.32 0.00048828 6.7032
-0.9 0.17432 25.274 0.00079346 7.1172
-0.8 0.16211 24.235 0.00097657 7.5938
-0.7 0.14697 23.164 0.00067139 8.1251
-0.6 0.13086 22.133 0.00079346 6.836
-0.5 0.11328 21.102 0.00073243 5.1953
-0.4 0.094727 20.047 0.00048828 7.5938
-0.3 0.081055 19.016 0.00042725 4.3907
-0.2 0.063965 17.961 0.00030518 5.711
-0.1 0.045899 16.914 0.00018311 8.1251
1.110223E-16 0.028809 15.875 0.00030518 5.711
0.1 0.013184 14.828 0.00054932 3.1797
0.2 0.0039063 13.797 0.00061035 2.8594
0.3 0.022461 12.75 0.00067139 2.7188
0.4 0.040528 11.703 0.00048828 3.8125
0.5 0.057617 10.649 0.00036621 0
0.6 0.074707 9.6251 0.00048828 3.8125
0.7 0.094239 8.586 0.00061035 2.8594
0.8 0.10986 7.5157 0.00012207 0
0.9 0.1294 6.4844 0.00012207 0
1 0.1499 5.4375 0.00012207 0
1.1 0.16162 4.4063 0.00012207 0
1.2 0.18164 3.375 0.00024414 0
1.3 0.19873 2.3203 0.00024414 0
1.4 0.21631 1.2734 0.00036621 0
1.5 0.2334 0.22656 0.00036621 0
1.6 0.25 -0.79688 0.00036621 0
1.7 0.26709 -1.8438 0.00036621 0
1.8 0.28565 -2.8984 0.00042725 0
1.9 0.29932 -3.9219 0.00042725 -4.086
