I1(135deg) AUX DEG X DEG
1.9 0.30225 -43.922 0.00042725 -17.102
1.8 0.29151 -44.953 0.00018311 -18.438
1.7 0.27637 -46 0.00042725 -15.953
1.6 0.26709 -47.055 0.00048828 -14.938
1.5 0.25488 -48.094 0.00018311 -15.953
1.4 0.23633 -49.141 0.00030518 -16.703
1.3 0.22461 -50.203 0.00036621 -18.438
1.2 0.21045 -51.219 0.00042725 -17.102
1.1 0.19824 -52.274 0.00042725 -17.102
1 0.17871 -53.321 0.00042725 -21.039
0.9 0.1665 -54.36 0.00036621 -18.438
0.8 0.15088 -55.391 0.00042725 -21.039
0.7 0.13721 -56.453 0.00042725 -21.039
0.6 0.12061 -57.5 0.00042725 -19.656
0.5 0.10645 -58.547 0.00042725 -19.656
0.4 0.087891 -59.571 0.00042725 -19.656
0.3 0.070313 -60.617 0.00042725 -21.039
0.2 0.056153 -61.664 0.00042725 -23.203
0.1 0.039551 -62.711 0.00042725 -21.039
1.110223E-16 0.022461 -63.758 0.00036621 -22.625
-0.1 0.0039063 -64.797 0.00048828 -23.633
-0.2 0.0087891 -65.836 0.00054932 -22.383
-0.3 0.031739 -66.876 0.00048828 -25.024
-0.4 0.047364 -67.915 0.00036621 -22.625
-0.5 0.063965 -68.969 0.00036621 -22.625
-0.6 0.083985 -70.024 0.00030518 -21.805
-0.7 0.098633 -71.071 0.00024414 -23.969
-0.8 0.11865 -72.094 0.00036621 -22.625
-0.9 0.13525 -73.141 0.00036621 -26.563
-1 0.15088 -74.196 0.00036621 -26.563
-1.1 0.16944 -75.227 0.00042725 -24.774
-1.2 0.18652 -76.29 0.00042725 -26.563
-1.3 0.20752 -77.336 0.00042725 -28.305
-1.4 0.22315 -78.383 0.00042725 -28.305
-1.5 0.24316 -79.407 0.00036621 -26.563
-1.6 0.2583 -80.477 0.00042725 -28.305
-1.7 0.27637 -81.508 0.00036621 -30.258
-1.8 0.29639 -82.54 0.00036621 -30.258
-1.9 0.3086 -83.586 0.00042725 -29.75
-2 0.32715 -84.626 0.00048828 -29.36
