I1(135deg) X DEG X DEG
1.8 0.0014992 -55.938 0.96405 -0.13281
1.9 0.0016251 -52.985 0.9643 -0.14063
2 0.0016232 -54.633 0.96418 -0.14844
2.1 0.0015412 -55.735 0.96424 -0.14844
2.2 0.0015764 -54.024 0.96436 -0.14844
2.3 0.0018187 -48.125 0.96424 -0.13281
2.4 0.0014992 -55.086 0.96418 -0.14844
2.5 0.0015497 -54.172 0.96412 -0.14063
2.6 0.0015917 -55.219 0.96405 -0.14844
2.7 0.0015793 -51.961 0.96405 -0.14063
2.8 0.0023308 -43.032 0.96393 -0.14844
2.9 0.0013151 -59.321 0.96418 -0.14063
3 0.0017119 -53.961 0.96405 -0.14844
3.1 0.0016775 -55.516 0.96418 -0.14844
3.2 0.00173 -55.43 0.96393 -0.14844
3.3 0.0014153 -59.086 0.96418 -0.14844
3.4 0.0012865 -59.539 0.96399 -0.14063
3.5 0.0014658 -56.594 0.96393 -0.14063
3.6 0.0020895 -48.36 0.96418 -0.14844
3.7 0.001667 -53.039 0.96405 -0.14063
3.8 0.0017357 -53.071 0.96399 -0.14844
3.9 0.00087262 -69.118 0.96399 -0.14844
4 0.001833 -52.414 0.96405 -0.14844
4.1 0.0019236 -49.477 0.96399 -0.14063
4.2 0.0020313 -44.969 0.96418 -0.13281
4.3 0.0015945 -54.852 0.96418 -0.15625
4.4 0.002161 -48.344 0.96387 -0.14063
4.5 0.0020724 -50.117 0.96387 -0.14063
4.6 0.0024166 -44.274 0.96399 -0.14063
4.7 0.002533 -43.313 0.96399 -0.14063
4.8 0.0021372 -48.094 0.96399 -0.14844
4.9 0.0022602 -45.828 0.96375 -0.14063
5 0.0022602 -46.024 0.96405 -0.14844
5.1 0.0017691 -52.688 0.96399 -0.15625
5.2 0.0024519 -44.016 0.96412 -0.14844
5.3 0.0028172 -42.102 0.96387 -0.15625
5.4 0.0019875 -49.446 0.96393 -0.14063
5.5 0.0023642 -44.719 0.96381 -0.14063
5.6 0.0022879 -46.758 0.96393 -0.14844
5.7 0.0022078 -45.93 0.96387 -0.14844
5.8 0.0023365 -45.727 0.96369 -0.14844
5.9 0.0022879 -47.571 0.96369 -0.14844
