Ieff(0deg) X DEG X DEG
-2.72 -0.0065594 137.95 0.96656 -0.25781
-2.63 -0.0065518 137.82 0.9665 -0.26563
-2.48 -0.0065432 137.83 0.96619 -0.25781
-2.41 -0.0065642 137.92 0.9665 -0.26563
-2.27 -0.0065966 138.05 0.96643 -0.26563
-2.19 -0.0068608 139.12 0.96643 -0.26563
-2.12 -0.0066767 138.56 0.96656 -0.26563
-1.99 -0.0067911 138.95 0.96668 -0.26563
-1.92 -0.0065871 137.98 0.9665 -0.26563
-1.79 -0.0068665 139.24 0.96656 -0.26563
-1.72 -0.0068779 139.11 0.96656 -0.26563
-1.58 -0.007102 140.17 0.96656 -0.25781
-1.53 -0.0071888 140.48 0.9665 -0.26563
-1.4 -0.0070658 139.93 0.96656 -0.26563
-1.27 -0.0071421 140.15 0.96668 -0.26563
-1.22 -0.007248 140.56 0.9668 -0.26563
-1.08 -0.0071993 140.33 0.96674 -0.26563
-0.97 -0.0073223 140.95 0.96674 -0.26563
-0.91 -0.0071259 140 0.96662 -0.26563
-0.78 -0.0070439 139.75 0.96662 -0.26563
-0.72 -0.0072232 140.38 0.96656 -0.26563
-0.6 -0.0073786 141.13 0.96668 -0.26563
-0.49 -0.007494 141.58 0.96668 -0.26563
-0.42 -0.0076895 142.3 0.96686 -0.26563
-0.32 -0.0076933 142.08 0.96705 -0.26563
-0.2 -0.0073672 141.18 0.96668 -0.26563
-0.1 -0.0075446 141.62 0.9668 -0.27344
0 -0.0076447 141.85 0.9668 -0.26563
0.08 -0.0074282 141.09 0.96674 -0.26563
0.23 -0.0072308 140.31 0.96662 -0.26563
0.3 -0.0074091 141.11 0.96668 -0.26563
0.4 -0.007248 140.49 0.96674 -0.26563
0.5 -0.0073929 141.18 0.96668 -0.26563
0.62 -0.0070973 139.87 0.96656 -0.26563
0.68 -0.0062094 136.06 0.96662 -0.26563
0.79 -0.00095845 99.18 0.96662 -0.26563
0.91 -0.00083733 98.086 0.96662 -0.26563
1.01 -0.00091362 98.79 0.96643 -0.26563
1.12 -0.00087166 98.407 0.96656 -0.26563
1.23 -0.00095177 99.032 0.96643 -0.26563
1.29 -0.00099946 99.469 0.96686 -0.28125
1.4 -0.0012827 102.23 0.96668 -0.26563
1.51 -0.0010958 100.51 0.96662 -0.27344
1.61 -0.0014782 103.98 0.96662 -0.27344
1.68 -0.0016556 105.73 0.96656 -0.26563
1.79 -0.0072356 140.69 0.96674 -0.26563
1.9 -0.0080624 143.5 0.9668 -0.26563
2.01 -0.0078001 142.4 0.96668 -0.27344
2.12 -0.0079089 142.77 0.96686 -0.26563
2.23 -0.0078087 142.5 0.9668 -0.27344
2.28 -0.0078908 142.66 0.96674 -0.26563
2.4 -0.007947 142.77 0.96656 -0.26563
2.51 -0.0076714 142.09 0.96662 -0.26563
2.61 -0.0079594 142.88 0.96686 -0.27344
2.72 -0.0080519 143.28 0.9668 -0.27344
