Ieff(0deg) X DEG X DEG
2.72 -0.0088025 145.3 0.96753 -0.27344
2.57 -0.0088873 145.26 0.96747 -0.27344
2.49 -0.0089532 145.42 0.96753 -0.28125
2.42 -0.0086594 144.78 0.96711 -0.27344
2.28 -0.00873 144.93 0.96723 -0.27344
2.2 -0.0087119 144.91 0.96747 -0.27344
2.07 -0.0089284 145.56 0.96753 -0.27344
2 -0.0086299 144.74 0.96723 -0.27344
1.87 -0.0087205 144.91 0.96759 -0.28125
1.8 -0.00875 144.95 0.96753 -0.28906
1.74 -0.0089732 145.45 0.96741 -0.28125
1.61 -0.0088826 145.41 0.96747 -0.28125
1.48 -0.0088912 145.24 0.96759 -0.28125
1.41 -0.0089226 145.59 0.96729 -0.27344
1.3 -0.0089179 145.4 0.96735 -0.27344
1.22 -0.009141 146.27 0.96753 -0.27344
1.1 -0.0092087 146.36 0.96759 -0.26563
0.97 -0.0092507 146.33 0.96766 -0.27344
0.91 -0.0092107 146.35 0.96753 -0.27344
0.79 -0.0090419 145.7 0.96753 -0.28906
0.68 -0.009759 147.56 0.96772 -0.27344
0.61 -0.0090752 145.84 0.96753 -0.26563
0.5 -0.0094586 146.81 0.96747 -0.26563
0.39 -0.0092774 146.23 0.96759 -0.27344
0.28 -0.0093442 146.58 0.96778 -0.27344
0.21 -0.0090542 145.95 0.96747 -0.27344
0.1 -0.0088721 145.21 0.96778 -0.28125
-0.03 -0.0087643 144.81 0.96741 -0.28125
-0.13 -0.0088072 145.38 0.96766 -0.26563
-0.18 -0.008998 145.4 0.96766 -0.28125
-0.29 -0.009162 146.02 0.9679 -0.28125
-0.4 -0.0087109 144.74 0.96766 -0.28125
-0.52 -0.0089093 145.58 0.96778 -0.26563
-0.59 -0.008648 144.44 0.96772 -0.27344
-0.69 -0.0063677 136.06 0.96747 -0.27344
-0.81 -0.0024042 111.64 0.96741 -0.27344
-0.91 -0.0024634 112.13 0.96766 -0.27344
-0.97 -0.0024681 112.06 0.96747 -0.27344
-1.08 -0.0024357 111.93 0.96753 -0.27344
-1.2 -0.0024281 111.98 0.96759 -0.27344
-1.3 -0.002388 111.38 0.96723 -0.27344
-1.4 -0.0023155 110.95 0.96747 -0.28125
-1.51 -0.0027447 114.58 0.96747 -0.26563
-1.62 -0.0039444 123.23 0.96729 -0.27344
-1.68 -0.0085021 144.22 0.96778 -0.28125
-1.79 -0.0091935 146.25 0.96753 -0.26563
-1.9 -0.0091334 146.09 0.96735 -0.26563
-2.01 -0.0089961 145.44 0.96759 -0.28906
-2.11 -0.0090008 145.5 0.96735 -0.27344
-2.23 -0.0091611 146.15 0.96759 -0.26563
-2.28 -0.0091639 146.15 0.96741 -0.27344
-2.39 -0.0093146 146.41 0.96766 -0.27344
-2.5 -0.0090666 145.79 0.96741 -0.28125
-2.62 -0.0092793 146.33 0.96741 -0.27344
-2.72 -0.0089865 145.59 0.96711 -0.28125
