Alpha(207mT) X DEG X DEG
249.86 -0.0010567 95.657 0.51606 -4.9063
254.93 -0.0010529 95.618 0.51587 -5.1172
259.85 -0.0011482 96.11 0.51569 -5.1485
265.19 -0.0010872 95.86 0.51545 -5.2891
270.38 -0.0010948 95.813 0.51545 -5.336
275.55 -0.001133 96.04 0.5152 -5.4688
280.55 -0.0010719 95.727 0.51526 -5.5078
285.57 -0.0010033 95.368 0.51508 -5.5157
290.77 -0.00097275 95.235 0.51502 -5.5782
295.75 -0.00094605 95.071 0.51484 -5.6407
299.81 -0.00082779 94.508 0.51471 -5.75
304.92 -0.00073624 93.93 0.51477 -5.7969
310 -0.00063324 93.399 0.51484 -5.7969
315.24 -0.00055313 92.993 0.51471 -5.8828
320.32 -0.00047302 92.555 0.51471 -5.8203
325.41 -0.00045777 92.469 0.51471 -5.9063
330.43 -0.00035858 91.946 0.51447 -6
335.31 -0.00026703 91.493 0.51459 -6.0547
340.56 -0.00023651 91.282 0.51471 -5.8672
345.36 -0.00027847 91.501 0.51502 -5.5703
350.51 -0.00018311 90.993 0.51539 -5.3282
355.65 -0.00011444 90.61 0.51557 -5.2735
360.33 -0.00017548 90.915 0.51569 -5.1641
0.33 -0.00013733 90.719 0.51569 -5.2188
4.95 -0.00016403 90.883 0.51581 -5.1485
10.74 -0.00020981 91.149 0.51587 -4.9453
15.51 -0.00020218 91.079 0.51606 -4.9453
20.33 -0.00032044 91.672 0.51618 -5.0235
25.03 -0.00030518 91.633 0.51618 -5.0625
29.88 -0.00040817 92.188 0.5163 -4.9532
35.78 -0.00052643 92.829 0.51642 -4.9688
40.62 -0.00070954 93.797 0.51642 -4.8125
45.24 -0.00069046 93.735 0.51648 -4.8907
50.19 -0.00084687 94.555 0.51648 -4.7813
55.1 -0.00103 95.508 0.51661 -4.5703
59.87 -0.0011253 95.985 0.51667 -4.7344
65.74 -0.0011139 95.977 0.51654 -4.8516
70.61 -0.0011826 96.313 0.51648 -4.9532
75.67 -0.0012932 96.891 0.5163 -4.9453
80.63 -0.0012665 96.782 0.51612 -5.1094
84.84 -0.0013199 97.071 0.51606 -5.1719
90.17 -0.0013199 97.071 0.516 -5.2657
95.43 -0.0013046 97.024 0.51587 -5.3125
100.55 -0.0013237 97.149 0.51575 -5.3985
105.52 -0.0012436 96.68 0.51563 -5.4297
110.74 -0.0012131 96.524 0.51563 -5.4453
115.67 -0.0010643 95.774 0.51551 -5.5938
120.83 -0.0010414 95.688 0.51539 -5.5625
124.87 -0.00103 95.602 0.51532 -5.6094
129.94 -0.00087357 94.766 0.51526 -5.7422
134.97 -0.0007782 94.274 0.51502 -5.8438
140.15 -0.00064469 93.508 0.51514 -5.836
145.31 -0.00055313 93.032 0.51514 -5.9532
150.33 -0.0004654 92.571 0.51502 -5.9219
155.35 -0.0003624 92.001 0.51508 -5.8985
160.41 -0.00033188 91.766 0.51545 -5.6797
165.43 -0.00033188 91.813 0.51563 -5.4375
170.55 -0.00024033 91.297 0.516 -5.2735
175.58 -0.00022125 91.172 0.516 -5.25
180.67 -0.00029373 91.555 0.51618 -5.1094
185.75 -0.00011826 90.641 0.51636 -5.125
189.81 -0.00022507 91.204 0.51642 -4.8907
195.65 -0.00026322 91.368 0.5163 -5
200.44 -0.00026322 91.43 0.51648 -4.9844
205.23 -0.0003357 91.813 0.51636 -4.9297
210.07 -0.00040054 92.141 0.51636 -4.9297
215.02 -0.00051117 92.727 0.51648 -4.836
220.8 -0.00056076 93.001 0.51654 -4.8672
