Alpha(207mT) X DEG X DEG
0.33 -0.00084687 91.766 0.58857 0.34375
10.74 -0.00080872 91.743 0.58844 0.41406
20.33 -0.00074768 91.61 0.5882 0.4375
29.88 -0.00078583 91.704 0.58796 0.41406
40.62 -0.00074006 91.672 0.58789 0.48438
50.19 -0.00084687 91.922 0.58783 0.50782
59.87 -0.00070191 91.563 0.58783 0.625
70.61 -0.0010529 92.43 0.58808 0.42969
80.63 -0.0011978 92.766 0.58808 0.35938
90.17 -0.0013733 93.219 0.58826 0.085938
100.55 -0.0016937 93.969 0.58826 -0.10938
110.74 -0.0018921 94.461 0.58832 -0.078126
120.83 -0.0020371 94.774 0.58832 -0.15625
129.94 -0.0022736 95.376 0.58826 -0.27344
140.15 -0.0023422 95.508 0.58826 -0.53125
150.33 -0.0022583 95.305 0.58838 -0.57032
160.41 -0.00206 94.719 0.58838 -0.34375
170.55 -0.0016556 93.657 0.58832 0.015625
180.67 -0.0014649 93.227 0.58826 0.10938
189.81 -0.0010681 92.313 0.5882 0.26563
200.44 -0.00056458 91.188 0.58808 0.39063
210.07 -0.00018311 90.36 0.58789 0.46094
220.8 0.00027466 89.415 0.58789 0.54688
230.33 0.00057984 88.782 0.58808 0.67188
240.1 0.00075531 88.422 0.58826 0.61719
249.86 0.00068665 88.555 0.5882 0.40625
259.85 0.00067139 88.618 0.58857 0.25781
270.38 0.00049591 88.946 0.58863 0.093751
280.55 0.00018311 89.594 0.58869 -0.085938
290.77 0 89.985 0.58881 -0.10938
299.81 -0.00028992 90.594 0.58881 -0.27344
310 -0.00050354 91.032 0.58893 -0.35938
320.32 -0.00084687 91.797 0.58887 -0.58594
330.43 -0.0010452 92.251 0.58881 -0.60157
340.56 -0.0010224 92.18 0.58863 -0.35938
350.51 -0.00083924 91.751 0.58857 0.03125
360.33 -0.00075531 91.61 0.58832 0.26563
0.33 -0.00090027 91.93 0.58838 0.27344
10.74 -0.0006485 91.391 0.5882 0.29688
20.33 -0.00073243 91.586 0.58808 0.375
29.88 -0.00070954 91.555 0.58796 0.39063
40.62 -0.00054932 91.235 0.58789 0.46094
50.19 -0.00067902 91.516 0.58777 0.53907
59.87 -0.00067902 91.485 0.58765 0.67188
70.61 -0.00096131 92.211 0.58789 0.375
80.63 -0.0011444 92.641 0.58796 0.23438
90.17 -0.0014267 93.329 0.58802 0.046875
100.55 -0.0016937 93.993 0.58802 -0.0078126
110.74 -0.0017853 94.18 0.58808 -0.17969
120.83 -0.001915 94.493 0.58826 -0.28125
129.94 -0.0020905 94.922 0.58826 -0.39063
140.15 -0.0022278 95.282 0.58826 -0.55469
150.33 -0.0022125 95.157 0.58826 -0.53907
160.41 -0.0020371 94.665 0.58814 -0.36719
170.55 -0.0016403 93.649 0.58802 0.015625
180.67 -0.0013733 93.016 0.58808 0.17969
189.81 -0.00089264 91.876 0.58802 0.33594
200.44 -0.00051117 91.071 0.58802 0.42188
210.07 -9.1553E-5 90.188 0.58814 0.44531
220.8 0.00022888 89.493 0.5882 0.53125
230.33 0.00048828 88.946 0.58814 0.5625
240.1 0.0007248 88.508 0.58814 0.59375
249.86 0.00074768 88.461 0.58814 0.4375
259.85 0.00064087 88.649 0.58838 0.21094
270.38 0.0004654 89.016 0.58857 0.078126
280.55 0.00024414 89.493 0.58875 -0.070313
290.77 0.0001297 89.719 0.58887 -0.13281
299.81 -0.00026703 90.54 0.58893 -0.3125
310 -0.00048828 91.016 0.58893 -0.39063
320.32 -0.00067902 91.422 0.58893 -0.46094
330.43 -0.00086976 91.852 0.58893 -0.49219
340.56 -0.00096894 92.063 0.58881 -0.34375
350.51 -0.00080872 91.727 0.58851 -0.046875
360.33 -0.00054169 91.149 0.58832 0.28125
0.33 -0.00081635 91.735 0.58832 0.15625
10.74 -0.00074768 91.602 0.58814 0.38281
20.33 -0.00063324 91.352 0.58796 0.48438
29.88 -0.00058747 91.313 0.58802 0.4375
40.62 -0.00054169 91.18 0.58796 0.50782
50.19 -0.0007248 91.61 0.58789 0.48438
59.87 -0.00070191 91.563 0.58771 0.6875
70.61 -0.0010071 92.313 0.58783 0.40625
80.63 -0.0010605 92.438 0.58783 0.34375
90.17 -0.0014038 93.29 0.58796 0.070313
100.55 -0.0015259 93.579 0.58808 0.0078126
110.74 -0.0017014 93.977 0.5882 -0.10938
120.83 -0.0019302 94.563 0.5882 -0.28125
129.94 -0.0022125 95.243 0.58826 -0.39063
140.15 -0.0021591 95.079 0.58826 -0.46875
150.33 -0.002182 95.11 0.58826 -0.5625
160.41 -0.0019837 94.555 0.5882 -0.27344
170.55 -0.0016327 93.649 0.58808 -0.10938
180.67 -0.0011597 92.501 0.58808 0.21094
189.81 -0.00090027 91.922 0.58796 0.34375
200.44 -0.00060273 91.297 0.58796 0.40625
210.07 -0.00016022 90.329 0.58796 0.52344
220.8 0.00027466 89.391 0.58796 0.5
230.33 0.00041199 89.126 0.58802 0.51563
240.1 0.00063324 88.68 0.58808 0.61719
249.86 0.00071717 88.508 0.58814 0.5
259.85 0.00052643 88.876 0.58838 0.21875
270.38 0.00043488 89.086 0.58857 0.054688
280.55 0.00036621 89.235 0.58869 -0.085938
290.77 0 89.961 0.58893 -0.21094
299.81 -0.00019074 90.376 0.58899 -0.28125
310 -0.0003891 90.821 0.58893 -0.33594
320.32 -0.00063324 91.313 0.58893 -0.44531
330.43 -0.00086976 91.86 0.58887 -0.57032
340.56 -0.00093842 92.016 0.58875 -0.39063
350.51 -0.00079346 91.672 0.58863 -0.03125
360.33 -0.00068665 91.446 0.58844 0.22656
