,Beta,A-B X,A-B theta,A+B
30,132.0,0.135438,60.03,0.176698
29,132.2,0.127076,61.56,0.176667
28,132.4,0.117798,63.204,0.176637
27,132.6,0.108185,65.082,0.176606
26,132.8,0.0990605,66.906,0.176637
25,133.0,0.0891728,68.958,0.176637
24,133.2,0.0794072,71.028,0.176576
23,133.4,0.0707097,72.942,0.176667
22,133.6,0.0623477,74.85,0.176637
21,133.8,0.054352,76.65,0.176667
20,134.0,0.0461733,78.576,0.176759
19,134.2,0.037781,80.604,0.176667
18,134.4,0.0297853,82.524,0.176667
17,134.6,0.0218202,84.492,0.176667
16,134.8,0.0133362,86.604,0.176698
0,135.0,0.0074158,88.11,0.176759
1,135.2,-0.00238039,90.588,0.176698
2,135.4,-0.0115662,92.934,0.176698
3,135.6,-0.0204469,95.214,0.176698
4,135.8,-0.0295106,97.536,0.176728
5,136.0,-0.0390017,99.936,0.176698
6,136.2,-0.0481265,102.228,0.176637
7,136.4,-0.0572817,104.502,0.176637
8,136.6,-0.0659184,106.632,0.176698
9,136.8,-0.0745244,108.726,0.176606
10,137.0,-0.0823674,110.562,0.176759
11,137.2,-0.0915532,112.728,0.176759
12,137.4,-0.100251,114.654,0.17682
13,137.6,-0.109223,116.664,0.17682
14,137.8,-0.118897,118.734,0.17682
15,138.0,-0.128144,120.618,0.17685
