##Alpha(50mT) X DEG X DEG
0.2 1.2398E-5 89.93 0.33173 0.33594
5.01 0.00030995 88.04 0.33167 0.47656
9.78 0.00049973 86.774 0.33167 0.47656
14.66 0.00059128 86.18 0.33154 0.48438
20.55 0.00080777 84.868 0.33161 0.375
25.1 0.00073815 85.352 0.33173 0.46094
29.95 0.00079918 84.852 0.33173 0.45313
34.87 0.00083065 84.594 0.33161 0.33594
40.29 0.00073529 85.211 0.33173 0.33594
45.28 0.00091649 84.188 0.33167 0.4375
49.72 0.00086689 84.501 0.33161 0.38281
55.38 0.00063706 85.891 0.33179 0.4375
60.13 0.00066185 85.844 0.33161 0.39063
64.95 0.00051213 86.805 0.33161 0.46094
70.47 0.00028801 88.157 0.33167 0.46094
75.53 4.8638E-5 89.719 0.33179 0.27344
80.51 -0.00016117 91.024 0.33179 0.375
85.78 -0.00039196 92.469 0.33167 0.5
89.74 -0.00062085 93.922 0.33179 0.41406
95.07 -0.00085545 95.469 0.33173 0.375
100.31 -0.00093461 95.993 0.33173 0.47656
105.56 -0.0010624 96.868 0.33179 0.46875
109.76 -0.001111 97.141 0.33179 0.47656
115.28 -0.0011644 97.352 0.33197 0.33594
120.24 -0.0012074 97.743 0.33209 0.30469
125.66 -0.001276 98.243 0.33197 0.38281
130.64 -0.0012131 97.829 0.33191 0.45313
134.96 -0.0010672 96.766 0.33197 0.42969
139.98 -0.0011187 97.086 0.33179 0.38281
145.04 -0.00098229 96.18 0.33191 0.33594
150.13 -0.0010662 96.836 0.33185 0.46875
155.11 -0.00095272 96.227 0.33191 0.53907
160.13 -0.00076676 94.922 0.33173 0.53907
165.31 -0.00061894 94.008 0.33191 0.45313
170.46 -0.00052548 93.29 0.33185 0.50782
175.41 -0.00016117 91.016 0.33191 0.38281
180.5 0.00023079 88.547 0.33185 0.5
185.59 0.00032521 87.977 0.33161 0.46094
189.73 0.00049019 86.852 0.33161 0.58594
195.59 0.0006609 85.829 0.33179 0.41406
200.58 0.00081444 84.79 0.33173 0.4375
204.76 0.00091458 84.118 0.33167 0.59375
210.64 0.00090123 84.344 0.33191 0.32813
215.29 0.00093747 84.086 0.33161 0.53907
220 0.00087452 84.454 0.33179 0.5
225.07 0.00080109 84.813 0.33173 0.39844
230.76 0.00077248 85.047 0.33167 0.48438
235.66 0.00072194 85.352 0.33173 0.39844
240.44 0.0006733 85.727 0.33161 0.58594
245.47 0.00033856 87.774 0.33167 0.61719
250.29 0.00011063 89.321 0.33185 0.48438
255.27 3.624E-5 89.782 0.33173 0.48438
260.31 -6.485E-5 90.407 0.33173 0.51563
265.31 -0.00030041 91.938 0.33167 0.53907
270.42 -0.00058556 93.743 0.33179 0.51563
275.43 -0.00075341 94.86 0.33167 0.42969
280.53 -0.0011234 97.094 0.33179 0.46875
285.7 -0.0010862 96.915 0.33185 0.27344
289.81 -0.0011501 97.266 0.33167 0.57032
