Ieff(90deg) X DEG X DEG
2.72 -0.0018282 161.41 0.91437 -0.30469
2.57 -0.0019331 165.28 0.91315 -0.3125
2.5 -0.0019074 163.22 0.9148 -0.28906
2.43 -0.0020161 165.77 0.91315 -0.32031
2.29 -0.0021506 170.43 0.91187 -0.34375
2.22 -0.0022793 171.22 0.91181 -0.34375
2.09 -0.0021515 168.99 0.9123 -0.33594
2.02 -0.0020847 168.67 0.91211 -0.34375
1.88 -0.002286 167.59 0.91272 -0.3125
1.81 -0.0023298 169.26 0.91211 -0.32031
1.68 -0.0021706 165.37 0.91333 -0.29688
1.61 -0.0019932 165.95 0.91242 -0.32813
1.49 -0.0018063 166.96 0.91285 -0.3125
1.42 -0.0019322 168.01 0.91169 -0.34375
1.26 -0.0018931 167.64 0.91187 -0.34375
1.23 -0.0019426 167.68 0.9123 -0.3125
1.12 -0.001811 169.6 0.91169 -0.34375
1 -0.0016861 166.91 0.91272 -0.32813
0.93 -0.0017929 167.63 0.9123 -0.32813
0.81 -0.0018129 169.24 0.9126 -0.32031
0.69 -0.0016794 169.52 0.91217 -0.34375
0.57 -0.0019112 169.52 0.91236 -0.34375
0.51 -0.0019655 170.85 0.91217 -0.34375
0.4 -0.0018301 168.36 0.91309 -0.32031
0.28 -0.0017824 167.83 0.91303 -0.33594
0.22 -0.0017367 165.77 0.9137 -0.3125
0.11 -0.0016194 165.34 0.91376 -0.29688
0 -0.0017347 172.25 0.91211 -0.34375
-0.14 -0.0018053 172.73 0.91138 -0.36719
-0.2 -0.0019617 176.33 0.9112 -0.36719
-0.31 -0.0018301 178.43 0.91108 -0.36719
-0.38 -0.0017529 174.2 0.91156 -0.36719
-0.52 -0.0020056 179.61 0.91065 -0.39063
-0.63 -0.0020027 174.7 0.91163 -0.35938
-0.69 -0.0019426 176.1 0.9112 -0.36719
-0.79 -0.0017624 172.14 0.91163 -0.36719
-0.91 0.0017653 3.4063 0.91095 -0.36719
-1.02 0.0033846 3.9688 0.91144 -0.35156
-1.08 0.0029125 2.6875 0.91132 -0.36719
-1.18 0.001462 7.0625 0.91181 -0.35156
-1.29 -0.00069142 166.43 0.91156 -0.34375
-1.4 -0.0011511 175.88 0.91102 -0.36719
-1.51 -0.001462 174.2 0.9112 -0.35938
-1.63 -0.0014649 176.71 0.91108 -0.35938
-1.68 -0.0015841 176.54 0.91089 -0.36719
-1.79 -0.0013847 178.27 0.91077 -0.375
-1.91 -0.0015068 176.33 0.91065 -0.36719
-2.01 -0.0013952 169.32 0.91138 -0.34375
-2.12 -0.001318 173.95 0.91095 -0.36719
-2.18 -0.0014029 178.59 0.91034 -0.39063
-2.29 -0.0013695 175.75 0.91108 -0.35156
-2.4 -0.001338 176.24 0.91071 -0.36719
-2.51 -0.001256 176.4 0.91083 -0.36719
-2.62 -0.0014305 175.48 0.91083 -0.36719
-2.68 -0.0014067 178.94 0.91083 -0.36719
