Ieff(90deg) X DEG X DEG
-2.69 -0.00054074 123.68 0.91413 -0.25
-2.62 -0.00048161 121.81 0.91394 -0.25781
-2.47 -0.00040627 114.03 0.91516 -0.23438
-2.4 -0.0006466 127.87 0.91413 -0.25781
-2.33 -0.00051594 121.95 0.91468 -0.23438
-2.19 -0.00061226 124.73 0.91443 -0.25
-2.11 -0.00087262 134.07 0.91449 -0.24219
-1.98 -0.0010271 142.59 0.91382 -0.25781
-1.91 -0.00095177 140.15 0.91388 -0.25781
-1.78 -0.00089074 135.25 0.91431 -0.25781
-1.71 -0.00090885 136.81 0.91468 -0.23438
-1.59 -0.0010691 143.52 0.91425 -0.24219
-1.52 -0.0010729 143.23 0.9137 -0.26563
-1.46 -0.00083256 133.97 0.91535 -0.21875
-1.27 -0.0010147 139.26 0.91462 -0.24219
-1.2 -0.0010338 139.05 0.91468 -0.24219
-1.15 -0.00098611 138.75 0.91504 -0.23438
-1 -0.0012398 148.17 0.91352 -0.25781
-0.9 -0.0012102 145.65 0.91474 -0.24219
-0.84 -0.0010367 140.99 0.91443 -0.25781
-0.71 -0.0011253 142.68 0.91486 -0.24219
-0.58 -0.0012283 146.9 0.91346 -0.27344
-0.52 -0.0012274 145.78 0.91382 -0.26563
-0.4 -0.001153 146.31 0.9134 -0.27344
-0.29 -0.0011883 147.66 0.91309 -0.27344
-0.25 -0.0011635 150.08 0.91236 -0.28906
-0.11 -0.0010567 146.06 0.91272 -0.28906
-0.01 -0.0011921 155.09 0.91175 -0.3125
0.11 -0.0013294 157.19 0.91181 -0.3125
0.21 -0.0013542 152.7 0.91236 -0.30469
0.29 -0.0014286 154.14 0.91199 -0.30469
0.42 -0.0014696 156.97 0.91199 -0.3125
0.47 -0.0012226 150.02 0.91242 -0.29688
0.61 -0.0015183 155.67 0.91156 -0.3125
0.71 -0.0014687 154.86 0.91132 -0.32031
0.8 -0.00097943 145.77 0.9126 -0.29688
0.88 0.00060654 46.039 0.91248 -0.29688
1 0.0039778 8.5313 0.91144 -0.3125
1.1 0.0025091 13.461 0.91083 -0.32813
1.22 0.0004139 62.219 0.91278 -0.28906
1.32 -0.00097561 144.78 0.91193 -0.29688
1.37 -0.0013676 156.24 0.91156 -0.32031
1.49 -0.0017042 164.39 0.91065 -0.34375
1.59 -0.0016403 160.34 0.91114 -0.32813
1.7 -0.0019054 162.95 0.91102 -0.32031
1.82 -0.0019837 164.09 0.91071 -0.34375
1.92 -0.001853 162.8 0.91108 -0.33594
1.98 -0.0017986 157.97 0.91309 -0.28906
2.09 -0.0018273 160.5 0.91236 -0.30469
2.21 -0.0017462 157.93 0.91236 -0.29688
2.33 -0.0016966 159.84 0.91144 -0.32031
2.37 -0.0014 154.23 0.91303 -0.28125
2.48 -0.0017452 162.24 0.91095 -0.32813
2.6 -0.0017977 160.64 0.91163 -0.3125
2.72 -0.001812 161.95 0.91132 -0.32031
