I2(45deg) X DEG X DEG
-2.6 0.0028458 15.633 0.91211 -0.21094
-2.7 0.0028353 16.078 0.91211 -0.21094
-2.8 0.0026579 16.883 0.91242 -0.20313
-2.9 0.0024481 19.094 0.91193 -0.21094
-3 0.002574 18.328 0.91132 -0.23438
-3.1 0.0025253 15.945 0.91046 -0.23438
-3.2 0.0023747 18.75 0.91132 -0.22656
-3.3 0.00247 19.031 0.91108 -0.23438
-3.4 0.002513 17.766 0.91089 -0.23438
-3.5 0.0024395 16.938 0.9104 -0.24219
-3.6 0.0024853 18.695 0.91108 -0.23438
-3.7 0.0025597 17.102 0.91065 -0.24219
-3.8 0.0025005 16.649 0.9101 -0.24219
-3.9 0.0023718 16.43 0.90961 -0.26563
-4 0.0025044 16.406 0.91028 -0.25
-4.1 0.002491 18.75 0.91138 -0.23438
-4.2 0.0023098 18.766 0.91053 -0.24219
-4.3 0.00243 19.055 0.91156 -0.22656
-4.4 0.0025578 17.352 0.91046 -0.25
-4.5 0.0024834 18.094 0.91065 -0.24219
-4.6 0.0023546 17.063 0.90937 -0.27344
-4.7 0.0024977 18.875 0.91071 -0.24219
-4.8 0.0024615 17.43 0.90973 -0.26563
-4.9 0.0023756 19.961 0.91132 -0.23438
-5 0.0024195 19.414 0.91053 -0.25
-5.1 0.0023918 19.656 0.91059 -0.23438
-5.2 0.0024653 18.664 0.9104 -0.24219
-5.3 0.002367 17.43 0.90943 -0.26563
-5.4 0.0024052 17.742 0.90961 -0.26563
-5.5 0.0023518 20.43 0.90998 -0.25781
-5.6 0.0022516 18.594 0.90918 -0.27344
-5.7 0.0022287 19.625 0.90986 -0.25781
-5.8 0.0022783 19.586 0.90943 -0.26563
-5.9 0.0022402 19.469 0.90925 -0.26563
-6 0.0022211 19.781 0.90943 -0.26563
-6.1 0.0022125 21.805 0.90979 -0.25781
-6.2 0.0022011 19.922 0.90931 -0.26563
-6.3 0.0020609 20.555 0.90845 -0.28125
-6.4 0.0021391 19.102 0.9079 -0.29688
-6.5 0.0022421 18.836 0.90809 -0.28906
-6.6 0.0022545 19.469 0.90863 -0.28906
-6.7 0.0021725 21.797 0.90949 -0.26563
-6.8 0.0020771 20.531 0.90839 -0.29688
-6.9 0.0020952 19.719 0.90888 -0.26563
-7 0.0017691 24.188 0.90876 -0.28906
-7.1 0.0017538 22.961 0.90748 -0.3125
-7.2 0.001751 23.25 0.9079 -0.29688
-7.3 0.0015564 26.727 0.90778 -0.30469
-7.4 0.0013418 31.875 0.90839 -0.28906
-7.5 0.0013447 30.774 0.90815 -0.28906
-7.6 0.0013409 31.828 0.90912 -0.26563
-7.7 0.0011473 34.407 0.90802 -0.28906
-7.8 0.0010977 36.407 0.90809 -0.28906
-7.9 0.00096608 37.672 0.90711 -0.3125
-8 0.0011148 35.555 0.90809 -0.28906
-8.1 0.0010338 37.875 0.90778 -0.28906
-8.2 0.0010004 38.336 0.90772 -0.29688
-8.3 0.00091839 38.922 0.90674 -0.32031
-8.4 0.00088501 40.93 0.90717 -0.3125
-8.5 0.0010099 38.719 0.90741 -0.29688
-8.6 0.0010004 38.602 0.90723 -0.29688
-8.7 0.0008421 42.094 0.9068 -0.3125
-8.8 0.00093651 43.055 0.90809 -0.28906
-8.9 0.0010557 37.477 0.90778 -0.28906
-9 0.00096989 39.43 0.90741 -0.30469
