##Alpha(50mT) X DEG X DEG
240.44 -0.00041962 151.02 0.13635 -0.96094
245.47 -0.00038529 149.51 0.13635 -0.98438
250.29 -0.00038147 149.55 0.13629 -0.91407
255.27 -0.00036621 148.6 0.13635 -0.92969
260.31 -0.00034523 147.27 0.13635 -0.875
265.31 -0.00029946 142.56 0.13629 -0.90625
270.42 -0.00024796 137.2 0.13629 -0.84375
275.43 -0.00023079 135.62 0.13629 -0.92969
280.53 -0.0001564 124.35 0.13629 -0.96875
285.7 -0.00013733 120.05 0.13642 -1.0938
289.81 -0.00010681 114.38 0.13635 -0.96094
295.59 -4.9591E-5 102.26 0.13635 -1.0859
299.91 -2.6703E-5 95.868 0.13642 -0.96875
304.84 -1.5259E-5 93.86 0.13642 -1.0859
309.79 -2.861E-5 97.118 0.13635 -0.98438
315.08 1.1444E-5 86.211 0.13642 -0.9375
320.33 2.6703E-5 82.821 0.13642 -1
325.3 1.1444E-5 86.602 0.13642 -0.9375
330.31 5.1499E-5 77.376 0.13642 -1.0391
335.64 3.8147E-5 80.258 0.13635 -1
340.66 9.5368E-6 87.876 0.13642 -1.0234
345.61 -1.1444E-5 93.008 0.13642 -0.98438
350.69 -1.3352E-5 93.415 0.13635 -1.0156
354.75 -3.8147E-5 99.18 0.13642 -1.0547
360.21 -6.2943E-5 105.32 0.13635 -1.0391
0.2 -9.3461E-5 112.23 0.13635 -1.0234
5.01 -0.00012589 119.59 0.13642 -1.0234
9.78 -0.00017929 129.02 0.13642 -1.0859
14.66 -0.00019836 130.53 0.13635 -1.0391
20.55 -0.00025368 138.36 0.13635 -0.91407
25.1 -0.00028992 142.02 0.13635 -0.96875
29.95 -0.00031281 143.97 0.13635 -1.0625
34.87 -0.00035858 147.49 0.13635 -0.96875
40.29 -0.00037003 148.69 0.13642 -1.0547
45.28 -0.00038529 149.69 0.13642 -1.0625
49.72 -0.00040817 150.24 0.13648 -0.96875
55.38 -0.00040245 150.3 0.13648 -1.0156
60.13 -0.00042343 151.83 0.13648 -0.9375
64.95 -0.00042916 151.49 0.13654 -0.96875
