#Alpha(207mT) X DEG X DEG
0.33 -6.1036E-5 90.133 0.54529 0.29688
10.74 -0.00070191 91.993 0.54517 0.32031
20.33 -0.0010071 92.86 0.54511 0.42188
29.88 -0.0014038 94.055 0.54511 0.39063
40.62 -0.0013733 93.954 0.54487 0.64063
50.19 -0.0012207 93.547 0.54505 0.57032
59.87 -0.0010071 92.977 0.54493 0.64063
70.61 -0.00067139 91.969 0.54487 0.47656
80.63 -9.1553E-5 90.243 0.54474 0.28125
90.17 0.00045777 88.54 0.54487 0.03125
100.55 0.00091553 87.165 0.54505 0.070313
110.74 0.0012817 86.001 0.54487 -0.14063
120.83 0.0014343 85.508 0.54499 -0.21094
129.94 0.0014954 85.305 0.54511 -0.32031
140.15 0.0014038 85.563 0.54505 -0.57032
150.33 0.0011902 86.258 0.54511 -0.44531
160.41 0.00082398 87.485 0.54517 -0.30469
170.55 0.00030518 89.016 0.54505 0.046875
180.67 -0.00024414 90.665 0.54511 0.25781
189.81 -0.00057984 91.563 0.54523 0.28906
200.44 -0.0010071 92.766 0.54517 0.41406
210.07 -0.0011902 93.344 0.54505 0.46094
220.8 -0.0010681 92.899 0.54517 0.54688
230.33 -0.00076294 92.055 0.54529 0.51563
240.1 -0.00045777 91.227 0.54541 0.59375
249.86 9.1553E-5 89.672 0.54548 0.46094
259.85 0.00061035 88.313 0.54554 0.19531
270.38 0.0012207 86.626 0.54548 0.10156
280.55 0.001709 85.274 0.54554 -0.062501
290.77 0.0020752 84.235 0.54554 -0.21875
299.81 0.0022583 83.751 0.54566 -0.23438
310 0.0022278 83.719 0.5456 -0.36719
320.32 0.0020447 84.297 0.54566 -0.375
330.43 0.0017395 85.024 0.54548 -0.49219
340.56 0.0012207 86.485 0.54548 -0.26563
350.51 0.00057984 88.336 0.54554 -0.054688
360.33 0 89.946 0.54541 0.24219
0.33 -6.1036E-5 90.133 0.54541 0.25781
10.74 -0.00070191 92.001 0.54517 0.29688
20.33 -0.0011292 93.172 0.54511 0.4375
29.88 -0.0013428 93.907 0.54493 0.375
40.62 -0.0013733 94.024 0.54493 0.58594
50.19 -0.0012817 93.774 0.54487 0.61719
59.87 -0.0010376 93.032 0.5448 0.67188
70.61 -0.00061035 91.805 0.5448 0.51563
80.63 0 89.993 0.54487 0.25781
90.17 0.00042725 88.649 0.54474 0.125
100.55 0.00088501 87.188 0.54499 -0.10938
110.74 0.0011902 86.204 0.54499 -0.10938
120.83 0.0014649 85.352 0.54487 -0.28906
129.94 0.0014954 85.274 0.54493 -0.35938
140.15 0.0013733 85.672 0.54493 -0.44531
150.33 0.0011597 86.336 0.54505 -0.41406
160.41 0.00076294 87.657 0.54517 -0.32031
170.55 0.00030518 89.008 0.54517 -0.0078126
180.67 -0.00021362 90.571 0.54511 0.23438
189.81 -0.00057984 91.547 0.54511 0.40625
200.44 -0.00097657 92.711 0.54511 0.36719
210.07 -0.0010986 93.008 0.54523 0.38281
220.8 -0.0010071 92.727 0.54523 0.4375
230.33 -0.00091553 92.461 0.54523 0.53907
240.1 -0.00048828 91.258 0.54511 0.53907
249.86 0 89.993 0.54511 0.47656
259.85 0.00054932 88.446 0.54505 0.25
270.38 0.0010986 86.993 0.54517 0.023438
280.55 0.0017395 85.211 0.54523 -0.14063
290.77 0.0020142 84.399 0.54529 -0.14844
299.81 0.0021668 83.938 0.54541 -0.3125
310 0.0021363 83.993 0.54554 -0.32813
320.32 0.0019226 84.477 0.54554 -0.46875
330.43 0.0016785 85.196 0.54541 -0.60938
340.56 0.0012207 86.516 0.54541 -0.34375
350.51 0.00061035 88.258 0.54541 -0.039063
360.33 3.0518E-5 89.899 0.54541 0.19531
0.33 -6.1036E-5 90.086 0.54523 0.21094
10.74 -0.00076294 92.133 0.54523 0.34375
20.33 -0.0011597 93.344 0.54511 0.35156
29.88 -0.0013123 93.805 0.54505 0.42188
40.62 -0.0015259 94.555 0.54493 0.41406
50.19 -0.0014343 94.235 0.54487 0.54688
59.87 -0.0010986 93.251 0.54468 0.625
70.61 -0.00067139 91.922 0.54468 0.38281
80.63 -0.00015259 90.407 0.54456 0.20313
90.17 0.00039673 88.743 0.54474 0.046875
100.55 0.0008545 87.204 0.5448 -0.10938
110.74 0.0012207 86.063 0.54487 -0.17188
120.83 0.0014038 85.555 0.54474 -0.25
129.94 0.0014038 85.516 0.54487 -0.34375
140.15 0.0013428 85.727 0.54474 -0.45313
150.33 0.0010071 86.782 0.5448 -0.49219
160.41 0.00070191 87.836 0.54487 -0.24219
170.55 0.00024414 89.297 0.54493 -0.03125
180.67 -0.0003357 90.961 0.54499 0.20313
189.81 -0.00070191 91.946 0.54487 0.32031
200.44 -0.00097657 92.704 0.5448 0.42969
210.07 -0.0011597 93.219 0.54493 0.40625
220.8 -0.0011597 93.11 0.54499 0.60938
230.33 -0.00088501 92.36 0.54505 0.54688
240.1 -0.00061035 91.586 0.54505 0.61719
249.86 -0.00012207 90.313 0.54511 0.45313
259.85 0.00042725 88.805 0.54523 0.21875
270.38 0.0011292 86.797 0.54523 0.023438
280.55 0.001648 85.461 0.54541 -0.023438
290.77 0.0019531 84.524 0.54529 -0.1875
299.81 0.0021363 84.04 0.54541 -0.17969
310 0.0020447 84.188 0.54554 -0.38281
320.32 0.0018921 84.602 0.54548 -0.53907
330.43 0.0015869 85.399 0.54523 -0.54688
340.56 0.0011292 86.751 0.54541 -0.34375
350.51 0.0005188 88.485 0.54541 0.015625
360.33 -3.0518E-5 90.04 0.54535 0.1875
