##Alpha(207mT) X DEG X DEG
0.33 9.5368E-5 -88.751 0.13214 -0.33594
4.95 2.4796E-5 -89.68 0.13214 -0.36719
10.74 -2.0981E-5 -90.305 0.13214 -0.38281
15.51 -8.5831E-5 -91.086 0.1322 -0.28906
20.33 -0.00013733 -91.727 0.13214 -0.25
25.03 -0.00018311 -92.344 0.1322 -0.32031
29.88 -0.0001812 -92.321 0.1322 -0.32031
35.78 -0.00021744 -92.751 0.13208 -0.23438
40.62 -0.00025177 -93.211 0.13214 -0.33594
45.24 -0.00023651 -93.055 0.13232 -0.40625
50.19 -0.00022698 -92.899 0.13214 -0.28906
55.1 -0.0002327 -92.954 0.13232 -0.3125
59.87 -0.00021744 -92.805 0.1322 -0.21094
65.74 -0.00015259 -91.961 0.1322 -0.38281
70.61 -0.00010491 -91.321 0.13239 -0.42188
75.67 -8.0109E-5 -90.977 0.13245 -0.44531
80.63 -4.9591E-5 -90.618 0.13251 -0.49219
84.84 5.1499E-5 -89.368 0.13245 -0.46875
90.17 9.7275E-5 -88.727 0.13251 -0.40625
95.43 0.00013924 -88.204 0.13251 -0.32031
100.55 0.0002079 -87.344 0.13245 -0.32031
105.52 0.00026703 -86.563 0.13263 -0.30469
110.74 0.00029373 -86.227 0.13251 -0.30469
115.67 0.00031853 -85.922 0.13263 -0.4375
120.83 0.00034905 -85.579 0.13251 -0.4375
124.87 0.00037766 -85.172 0.13269 -0.41406
129.94 0.00037575 -85.196 0.13251 -0.4375
134.97 0.0003891 -85.055 0.13257 -0.49219
140.15 0.00039482 -84.985 0.13257 -0.46875
145.31 0.00036812 -85.274 0.13251 -0.47656
150.33 0.00034905 -85.563 0.13257 -0.50782
155.35 0.00032616 -85.883 0.13263 -0.42188
160.41 0.00028801 -86.321 0.13245 -0.4375
165.43 0.00022316 -87.133 0.13239 -0.375
170.55 0.0001545 -88.047 0.13245 -0.42188
175.58 0.00011826 -88.493 0.1322 -0.32031
180.67 3.8147E-5 -89.446 0.13226 -0.21875
185.75 -2.861E-5 -90.36 0.1322 -0.28125
189.81 -4.7684E-5 -90.618 0.1322 -0.25
195.65 -0.0001297 -91.618 0.1322 -0.28906
200.44 -0.00019646 -92.477 0.13208 -0.21875
205.23 -0.00025177 -93.251 0.13214 -0.3125
210.07 -0.00026703 -93.43 0.13214 -0.25
215.02 -0.00031281 -93.969 0.13214 -0.1875
220.8 -0.00033188 -94.258 0.13208 -0.23438
225.5 -0.00031281 -94.001 0.13208 -0.32031
230.33 -0.00030709 -93.899 0.13202 -0.26563
235.29 -0.00031853 -94.055 0.13202 -0.33594
240.1 -0.00029564 -93.821 0.13208 -0.3125
244.97 -0.00025177 -93.227 0.13208 -0.3125
249.86 -0.00020027 -92.516 0.13226 -0.35156
254.93 -0.00016403 -92.094 0.13214 -0.36719
259.85 -8.3924E-5 -91.079 0.13226 -0.46875
265.19 -2.6703E-5 -90.305 0.13232 -0.46875
270.38 3.8147E-5 -89.493 0.13245 -0.57032
275.55 9.9183E-5 -88.751 0.13232 -0.57032
280.55 0.00017929 -87.727 0.13245 -0.47656
285.57 0.00020409 -87.368 0.13239 -0.53907
290.77 0.00026512 -86.633 0.13245 -0.46875
295.75 0.00030327 -86.165 0.13245 -0.53907
299.81 0.00035477 -85.454 0.13245 -0.57813
304.92 0.00034905 -85.516 0.13251 -0.52344
310 0.00037003 -85.282 0.13239 -0.50782
315.24 0.00039864 -84.946 0.13245 -0.53907
320.32 0.00040436 -84.852 0.13257 -0.50782
325.41 0.00037766 -85.196 0.13245 -0.57032
330.43 0.00037575 -85.258 0.13245 -0.625
335.31 0.00035668 -85.469 0.13245 -0.49219
340.56 0.00031471 -85.985 0.13239 -0.42188
345.36 0.00026512 -86.618 0.1322 -0.49219
350.51 0.00024033 -86.969 0.13232 -0.44531
