I1(135deg) X DEG X DEG
-2 -8.7265E-7 -103.91 0 0
-1.5 4.9454E-7 -68.774 0 89.993
-1 1.3253E-6 43.578 0 0
-0.5 3.0361E-7 80.626 -9.5368E-7 134.99
0 -1.3411E-6 -117.24 -9.5368E-7 179.99
0.5 1.0589E-6 -57.86 0 0
1 3.3164E-6 34.117 0 0
1.5 1.1362E-7 77.915 -9.5368E-7 89.993
2 -4.2841E-7 97.766 0 0
