#Alpha(207mT) X DEG X DEG
244.97 -0.00065613 -99.032 0.13513 2.5938
249.86 -0.00078392 -100.84 0.13495 2.5781
254.93 -0.00091076 -102.54 0.13519 2.4375
259.85 -0.00092793 -102.67 0.13513 2.5547
265.19 -0.00095559 -103.02 0.13507 2.5
270.38 -0.00096417 -103.16 0.13525 2.4219
275.55 -0.00096798 -103.27 0.13525 2.375
280.55 -0.0009594 -103.1 0.13513 2.4688
285.57 -0.00092221 -102.6 0.13525 2.4063
290.77 -0.00088215 -102.17 0.13519 2.4688
295.75 -0.00084305 -101.6 0.13513 2.4297
299.81 -0.00074006 -100.21 0.13525 2.3203
304.92 -0.0007248 -100.05 0.13538 2.3203
310 -0.00064469 -98.985 0.13525 2.3984
315.24 -0.00058461 -98.165 0.13544 2.2969
320.32 -0.0004654 -96.563 0.13525 2.3203
325.41 -0.0004015 -95.649 0.13544 2.25
330.43 -0.00029183 -94.157 0.13519 2.2734
335.31 -0.00021458 -92.977 0.13538 2.2656
340.56 -0.00014782 -92.102 0.13538 2.3672
345.36 -6.8665E-5 -90.985 0.13544 2.3359
350.51 3.7194E-5 -89.446 0.13525 2.5234
355.65 6.9619E-5 -88.985 0.13519 2.5781
360.33 0.00013161 -88.126 0.13519 2.5078
0.33 0.00014973 -87.876 0.13519 2.6328
4.95 0.00018311 -87.422 0.13532 2.6484
10.74 0.00015831 -87.704 0.13525 2.6563
15.51 0.00016117 -87.688 0.13532 2.5859
20.33 0.00010777 -88.477 0.13525 2.6172
25.03 7.248E-5 -88.954 0.13519 2.6875
29.88 -4.7684E-6 -90.047 0.13532 2.6094
35.78 -0.00012016 -91.711 0.13519 2.6797
40.62 -0.00019074 -92.665 0.13525 2.6484
45.24 -0.00028229 -93.954 0.13519 2.6328
50.19 -0.00033188 -94.665 0.13525 2.6094
55.1 -0.00040913 -95.751 0.13525 2.6875
59.87 -0.00049591 -96.836 0.13525 2.7188
65.74 -0.00066662 -99.118 0.13525 2.6563
70.61 -0.0007391 -100.09 0.13544 2.5781
75.67 -0.00077916 -100.6 0.13532 2.6328
80.63 -0.00082589 -101.17 0.13532 2.5859
84.84 -0.0008564 -101.52 0.13532 2.5781
90.17 -0.00087357 -101.79 0.13544 2.5078
95.43 -0.00086022 -101.58 0.1355 2.3906
100.55 -0.0008936 -101.98 0.13538 2.5547
105.52 -0.00084687 -101.42 0.13544 2.4922
110.74 -0.00082398 -101.09 0.13562 2.3594
115.67 -0.00074196 -99.946 0.13544 2.5078
120.83 -0.00067425 -99.11 0.13544 2.4609
124.87 -0.00059796 -98.11 0.13544 2.4219
129.94 -0.00056744 -97.743 0.13556 2.4844
134.97 -0.00047493 -96.454 0.13556 2.375
140.15 -0.00036621 -95.032 0.13568 2.4297
145.31 -0.00030613 -94.211 0.13568 2.4453
150.33 -0.00021553 -92.969 0.13568 2.375
155.35 -0.00014401 -92.008 0.13562 2.3906
160.41 -6.485E-5 -90.899 0.13574 2.4297
165.43 3.8147E-6 -89.93 0.13556 2.5547
170.55 7.248E-5 -88.961 0.1355 2.5547
