##Alpha(207mT) X DEG X DEG
0.33 -3.2425E-5 94.297 0.14386 0.28906
4.95 3.624E-5 85.032 0.14374 0.4375
10.74 5.9128E-5 82.399 0.14374 0.67188
15.51 0.00011063 76.258 0.14374 0.71875
20.33 0.00010681 76.555 0.14374 0.80469
25.03 0.00019074 67.227 0.14374 0.74219
29.88 0.00021362 64.282 0.14374 0.72657
35.78 0.00022888 62.836 0.1438 0.61719
40.62 0.00021172 64.969 0.14374 0.6875
45.24 0.00022888 63.672 0.14368 0.89844
50.19 0.00021553 64.774 0.14386 0.91407
55.1 0.00021172 65.102 0.14398 1.0547
59.87 0.0001812 68.485 0.14411 0.97657
65.74 0.00013161 73.485 0.14404 0.84375
70.61 0.00011635 75.313 0.14417 0.74219
75.67 4.3869E-5 84.532 0.14404 0.63282
80.63 2.861E-5 86.149 0.14398 0.60938
84.84 0 89.993 0.14392 0.61719
90.17 -7.8202E-5 99.766 0.14392 0.46875
95.43 -7.4387E-5 99.422 0.14392 0.42188
100.55 -0.00016022 110.52 0.14386 0.52344
105.52 -0.00020981 115.94 0.14392 0.38281
110.74 -0.00022888 118.04 0.14392 0.30469
115.67 -0.00027085 122.18 0.14392 0.25781
120.83 -0.0002861 123.63 0.14392 0.22656
124.87 -0.00032616 127.68 0.14392 0.11719
129.94 -0.00030899 125.92 0.14392 0.17188
134.97 -0.00033951 128.38 0.14392 0.14063
140.15 -0.00031662 126.86 0.14392 0.14844
145.31 -0.00036049 130.26 0.14392 0.11719
150.33 -0.00030518 125.74 0.14398 0.125
155.35 -0.00026512 122.04 0.14398 0.085938
160.41 -0.00024987 120.07 0.14398 0.33594
165.43 -0.00022316 117.17 0.14404 0.42188
170.55 -0.00016022 110.13 0.14411 0.51563
175.58 -0.00012207 105.79 0.14398 0.52344
180.67 -9.7275E-5 102.48 0.14398 0.57813
185.75 -3.8147E-6 90.211 0.14398 0.66407
189.81 -5.7221E-6 91.071 0.14392 0.6875
195.65 6.1036E-5 82.071 0.14392 0.82032
200.44 0.00011253 75.86 0.14386 0.82032
205.23 0.00014114 71.883 0.1438 0.74219
210.07 0.00017166 69.227 0.14386 0.71875
215.02 0.00014496 71.883 0.14386 0.71875
220.8 0.00022698 63.094 0.1438 0.75
225.5 0.00018311 67.899 0.14374 0.85157
230.33 0.00020409 65.758 0.14368 0.88282
235.29 0.00016213 69.86 0.14362 0.89063
240.1 0.00016594 69.391 0.14374 0.875
244.97 0.00010681 76.258 0.14368 0.85938
249.86 8.9646E-5 78.352 0.14374 0.79688
254.93 4.7684E-5 83.844 0.1438 0.71875
259.85 7.6295E-6 88.907 0.14374 0.64844
265.19 -3.4332E-5 94.508 0.14386 0.5625
270.38 -9.3461E-5 101.84 0.14386 0.5625
275.55 -0.00012207 105.68 0.14392 0.48438
280.55 -0.00019455 113.88 0.14386 0.4375
285.57 -0.00020599 115.22 0.14386 0.3125
290.77 -0.00026131 120.7 0.14386 0.28906
295.75 -0.00030518 125.55 0.14386 0.14063
299.81 -0.00027847 122.75 0.14374 0.30469
304.92 -0.00029946 124.74 0.1438 0.10156
310 -0.00033188 127.5 0.14386 0.070313
315.24 -0.0002842 123.27 0.1438 0.17188
320.32 -0.00031662 126.11 0.14386 0.039063
325.41 -0.00026512 121.84 0.1438 -0.015625
330.43 -0.00031853 126.57 0.14374 0.11719
335.31 -0.00027657 122.55 0.14374 0.10156
340.56 -0.00025177 120.33 0.14374 0.25
345.36 -0.0002079 115.23 0.14374 0.32813
350.51 -0.00019264 113.53 0.14386 0.39063
355.65 -0.00012589 105.85 0.14374 0.55469
360.33 -4.5777E-5 96.071 0.14368 0.70313
0.33 -8.3924E-5 100.43 0.1438 0.47656
4.95 -2.0981E-5 92.344 0.14374 0.75
10.74 6.2943E-5 81.954 0.14374 0.76563
15.51 0.00011253 75.961 0.14392 0.75
20.33 0.00012589 74.633 0.14392 0.82032
25.03 0.00016022 70.743 0.14398 0.61719
29.88 0.00016785 69.829 0.14404 0.74219
35.78 0.00014687 71.563 0.14404 0.85938
40.62 0.00016594 69.813 0.14398 0.74219
45.24 0.00021553 64.782 0.14392 0.74219
50.19 0.0002079 65.297 0.14386 0.82032
55.1 0.00018311 67.719 0.14386 0.85938
59.87 0.00014305 72.813 0.14386 0.875
65.74 0.00013733 73.204 0.14386 0.82813
70.61 7.6294E-5 80.18 0.14386 0.71875
