#Alpha(50mT) X DEG X DEG
240.44 -0.00024319 -96.079 0.13678 2.4609
245.47 -0.00025559 -96.422 0.13678 2.4766
250.29 -0.00022221 -95.477 0.13703 2.3906
255.27 -0.00023556 -95.782 0.13709 2.3516
260.31 -0.00026417 -96.547 0.1369 2.3516
265.31 -0.0002327 -95.836 0.1369 2.4297
270.42 -0.0002079 -95.133 0.13684 2.3984
275.43 -0.00021076 -95.29 0.1369 2.3906
280.53 -0.00013352 -93.36 0.13703 2.4063
285.7 -7.1526E-5 -91.743 0.13684 2.4375
289.81 -9.1553E-5 -92.227 0.13684 2.4531
295.59 -5.3406E-5 -91.376 0.13684 2.4531
299.91 -3.0518E-5 -90.797 0.13684 2.4531
304.84 1.5259E-5 -89.532 0.1369 2.3984
309.79 3.2425E-5 -89.172 0.13678 2.4219
315.08 5.9128E-5 -88.555 0.1369 2.3516
320.33 0.00010872 -87.274 0.13684 2.4375
325.3 0.00010395 -87.282 0.13678 2.4375
330.31 0.00011158 -87.172 0.13678 2.4609
335.64 0.00014973 -86.243 0.13684 2.4531
340.66 0.00017643 -85.485 0.13678 2.4063
345.61 0.0001688 -85.665 0.1369 2.3125
350.69 0.00014782 -86.282 0.13684 2.4063
354.75 0.00016976 -85.649 0.13678 2.4375
360.21 0.00011158 -87.102 0.1369 2.4375
0.2 0.00014305 -86.321 0.13684 2.4219
5.01 9.5368E-5 -87.586 0.13678 2.3984
9.78 8.6785E-5 -87.86 0.13678 2.4375
14.66 4.5777E-5 -88.766 0.13684 2.3984
20.55 1.4305E-5 -89.633 0.13684 2.4219
25.1 -1.3352E-5 -90.383 0.13684 2.4766
29.95 -3.2425E-5 -90.821 0.1369 2.5078
34.87 -5.5313E-5 -91.329 0.1369 2.4922
40.29 -0.00011349 -92.836 0.1369 2.4922
45.28 -0.00010014 -92.524 0.13696 2.4922
49.72 -0.00011444 -92.766 0.13709 2.4609
55.38 -0.00017166 -94.274 0.13703 2.4063
60.13 -0.00017071 -94.305 0.13703 2.5078
64.95 -0.00018883 -94.727 0.13703 2.4844
70.47 -0.00019646 -94.813 0.13703 2.4844
75.53 -0.00018978 -94.711 0.13715 2.4531
80.51 -0.00015354 -93.86 0.13709 2.4766
85.78 -0.00013065 -93.172 0.13709 2.4844
89.74 -0.00010967 -92.657 0.13715 2.4453
95.07 -9.2507E-5 -92.313 0.13709 2.4609
100.31 -5.3406E-5 -91.352 0.1369 2.5547
105.56 -3.4332E-5 -90.821 0.13709 2.3984
109.76 -1.3352E-5 -90.368 0.1369 2.4531
115.28 1.7166E-5 -89.618 0.13678 2.5469
120.24 6.8665E-5 -88.204 0.1369 2.4922
125.66 4.9591E-5 -88.751 0.13678 2.4766
130.64 0.00012112 -87.032 0.1369 2.4609
134.96 0.00012875 -86.696 0.13696 2.5078
139.98 0.00014782 -86.258 0.1369 2.4609
145.04 0.00014973 -86.29 0.13684 2.4766
150.13 0.00017929 -85.516 0.13678 2.4609
155.11 0.00018311 -85.344 0.13672 2.5234
160.13 0.0001545 -86.079 0.13684 2.4922
165.31 0.00020313 -84.946 0.13684 2.4219
170.46 0.00020981 -84.719 0.13696 2.3906
175.41 0.00013828 -86.438 0.13684 2.5781
180.5 0.00013256 -86.68 0.1369 2.3984
185.59 0.00015354 -86.188 0.13696 2.4609
189.73 0.00010967 -87.204 0.13684 2.4922
195.59 3.2425E-5 -89.172 0.1369 2.3984
200.58 2.5749E-5 -89.368 0.13684 2.4922
204.76 -2.0981E-5 -90.508 0.13678 2.5313
210.64 -7.0572E-5 -91.68 0.13684 2.5469
215.29 -0.00011444 -92.891 0.13684 2.4766
220 -8.5831E-5 -92.165 0.1369 2.4531
225.07 -0.00011635 -92.852 0.1369 2.4922
230.76 -0.00016785 -94.086 0.13709 2.5
235.66 -0.00018883 -94.696 0.1369 2.4531
240.44 -0.00020409 -95.063 0.13696 2.5547
245.47 -0.00022698 -95.54 0.13703 2.5703
250.29 -0.0002327 -95.735 0.1369 2.6016
255.27 -0.00021458 -95.336 0.13696 2.5156
260.31 -0.0002451 -96.055 0.1369 2.4766
