,Beta,A-B X,A-B theta,A+B
12,43.8,-0.810673,164.478,0.180421
11,44.0,-0.671635,161.352,0.180421
10,44.2,-0.536686,157.116,0.180299
9,44.4,-0.401857,150.528,0.180238
8,44.6,-0.266939,139.548,0.180207
7,44.8,-0.1326,120.108,0.180268
0,45.0,-0.00152589,90.366,0.18036
1,45.2,0.150361,57.132,0.180299
2,45.4,0.275331,40.086,0.180238
3,45.6,0.412355,29.436,0.180329
4,45.8,0.558598,22.59,0.180268
5,46.0,0.688419,18.846,0.180238
6,46.2,0.826786,15.786,0.180238
