##Alpha(50mT) X DEG X DEG
0.2 3.8147E-5 85.461 0.14215 0.77344
5.01 4.3869E-5 84.688 0.14221 0.67969
9.78 7.248E-5 81.508 0.14221 0.67969
14.66 6.485E-5 82.383 0.14221 0.73438
20.55 6.2943E-5 82.649 0.14227 0.71094
25.1 3.4332E-5 85.876 0.14227 0.67969
29.95 2.4796E-5 87.094 0.14215 0.85157
34.87 1.2398E-5 88.508 0.14227 0.71094
40.29 -1.9074E-6 90.149 0.14227 0.73438
45.28 -3.4332E-5 94.047 0.14221 0.77344
49.72 -6.1036E-5 96.938 0.14227 0.73438
55.38 -0.00010395 102.04 0.14227 0.79688
60.13 -0.00011063 102.61 0.14227 0.86719
64.95 -0.00017262 109.56 0.14233 0.77344
70.47 -0.00020409 112.97 0.14221 0.82032
75.53 -0.00022793 115.22 0.14221 0.77344
80.51 -0.00026608 118.74 0.14215 0.86719
85.78 -0.0002842 120.09 0.14221 0.84375
89.74 -0.00032044 123.79 0.14227 0.76563
95.07 -0.00032807 124.2 0.14227 0.73438
100.31 -0.00034905 126.01 0.14233 0.69532
105.56 -0.00032425 124.02 0.14233 0.77344
109.76 -0.00032234 123.86 0.14227 0.82813
115.28 -0.00031758 123.57 0.14246 0.65625
120.24 -0.0003109 122.74 0.14233 0.75782
125.66 -0.00028801 120.95 0.14227 0.77344
130.64 -0.00027275 119.42 0.14221 0.82813
134.96 -0.00026703 119.23 0.14233 0.61719
139.98 -0.00022221 114.73 0.14227 0.78907
145.04 -0.0002079 113.31 0.14221 0.73438
150.13 -0.00018406 110.85 0.14227 0.69532
155.11 -0.00014782 106.77 0.14227 0.73438
160.13 -0.00010491 101.98 0.14221 0.89844
165.31 -6.0082E-5 97.047 0.14221 0.79688
170.46 -4.8638E-5 95.516 0.14233 0.74219
175.41 -4.7684E-6 90.383 0.14233 0.65625
180.5 1.5259E-5 87.985 0.14246 0.625
185.59 3.7194E-5 85.524 0.1424 0.67188
189.73 4.0055E-5 85.165 0.14233 0.71094
195.59 3.8147E-5 85.54 0.1424 0.75782
200.58 4.1962E-5 85.016 0.14233 0.69532
204.76 1.9074E-5 87.54 0.14246 0.57032
210.64 1.7166E-5 88.047 0.14233 0.77344
215.29 -1.1444E-5 91.336 0.14246 0.67969
220 -4.673E-5 95.602 0.14246 0.625
225.07 -5.9128E-5 96.774 0.14227 0.67188
230.76 -9.3461E-5 100.9 0.14233 0.71094
