0.33 -0.00071335 91.508 0.13855 -0.78125
10.74 -0.0049744 101.41 0.13861 -0.67969
20.33 -0.0075646 107.02 0.13867 -0.67969
29.88 -0.0084801 108.92 0.13873 -0.64063
40.62 -0.0077134 107.31 0.1388 -0.52344
50.19 -0.006176 103.88 0.13886 -0.4375
59.87 -0.0036316 98.235 0.13889 -0.44531
70.61 0.0010529 87.516 0.13889 -0.61719
80.63 0.0070076 74.266 0.13889 -0.89063
90.17 0.014614 59.157 0.13892 -0.9375
100.55 0.021122 49.289 0.13886 -1.1563
110.74 0.025845 43.399 0.1388 -1.3047
120.83 0.029507 39.282 0.13873 -1.3672
129.94 0.032177 36.719 0.13873 -1.3984
140.15 0.034645 34.539 0.13867 -1.6094
150.33 0.036049 33.282 0.13864 -1.7266
160.41 0.036392 33.235 0.1387 -1.3516
170.55 0.035538 33.946 0.1387 -1.0859
180.67 0.032211 36.969 0.1387 -0.88282
189.81 0.029709 39.508 0.13876 -0.69532
200.44 0.026577 42.719 0.1388 -0.67188
210.07 0.024254 45.032 0.13873 -0.59375
220.8 0.022366 47.571 0.13873 -0.57813
230.33 0.020531 50.016 0.13873 -0.46094
240.1 0.019135 51.789 0.1388 -0.42969
249.86 0.018002 53.578 0.13873 -0.61719
259.85 0.018524 52.758 0.13873 -0.80469
270.38 0.020687 49.68 0.13864 -0.99219
280.55 0.020897 49.266 0.13855 -1.1563
290.77 0.019989 50.367 0.13852 -1.2109
299.81 0.018273 52.985 0.13849 -1.3047
310 0.016163 56.336 0.13846 -1.3906
320.32 0.013245 61.5 0.13843 -1.5313
330.43 0.010738 66.219 0.13846 -1.5547
340.56 0.0076905 72.579 0.13849 -1.3594
350.51 0.0034714 82.055 0.13849 -1.0625
360.33 -0.00069046 91.626 0.13855 -0.78907
0.33 -0.00064469 91.524 0.13858 -0.82813
10.74 -0.0054436 102.41 0.13867 -0.70313
20.33 -0.007824 107.46 0.1387 -0.625
29.88 -0.0083657 108.65 0.13873 -0.61719
40.62 -0.0077973 107.48 0.13883 -0.5625
50.19 -0.0064469 104.58 0.13886 -0.4375
59.87 -0.0036392 98.329 0.13892 -0.41406
70.61 0.00082016 88.071 0.13898 -0.64844
80.63 0.0069237 74.29 0.13898 -0.91407
90.17 0.014641 59.196 0.13898 -1.0391
100.55 0.021099 49.258 0.13889 -1.1328
110.74 0.025822 43.297 0.13883 -1.3125
120.83 0.029781 38.938 0.13886 -1.3359
129.94 0.032215 36.688 0.1388 -1.4219
140.15 0.034397 34.688 0.13873 -1.5078
150.33 0.035938 33.399 0.13873 -1.5703
160.41 0.036248 33.328 0.13873 -1.3594
170.55 0.035214 34.297 0.1387 -1.1094
180.67 0.032158 37.094 0.13873 -0.83594
189.81 0.029095 40.125 0.13883 -0.69532
200.44 0.026528 42.422 0.1388 -0.64063
210.07 0.024414 45.172 0.1388 -0.66407
220.8 0.022358 47.547 0.13883 -0.57813
230.33 0.020454 49.985 0.13883 -0.44531
240.1 0.019127 52 0.1388 -0.39063
249.86 0.018204 53.477 0.13886 -0.53125
259.85 0.018269 53.305 0.13876 -0.80469
270.38 0.020489 50 0.1387 -0.94532
280.55 0.021153 49 0.1387 -1.1641
290.77 0.020004 50.43 0.13864 -1.1641
299.81 0.0182 53.039 0.13855 -1.3203
310 0.016133 56.383 0.13852 -1.3438
320.32 0.013313 61.461 0.13852 -1.5781
330.43 0.010639 66.383 0.13852 -1.5703
340.56 0.007103 73.876 0.13849 -1.2969
350.51 0.0037422 81.336 0.13855 -0.88282
360.33 -0.00076294 91.766 0.1387 -0.63282
0.33 -0.00097275 92.211 0.13864 -0.53907
10.74 -0.005703 102.92 0.1387 -0.42188
20.33 -0.0078049 107.52 0.13876 -0.34375
29.88 -0.00877 109.53 0.13883 -0.375
40.62 -0.0079156 107.66 0.13892 -0.24219
50.19 -0.0066796 105.06 0.13892 -0.13281
59.87 -0.0036087 98.29 0.13898 -0.15625
70.61 0.00090409 87.852 0.13904 -0.4375
80.63 0.0067597 74.571 0.13901 -0.54688
90.17 0.014774 59.133 0.13907 -0.77344
100.55 0.021122 49.328 0.13904 -0.88282
110.74 0.025772 43.414 0.13898 -1.0078
120.83 0.029408 39.742 0.13889 -1
129.94 0.032215 36.602 0.13886 -1.2422
140.15 0.034416 34.907 0.13886 -1.3203
150.33 0.035782 33.688 0.1388 -1.3281
160.41 0.036309 33.407 0.1388 -1.2734
170.55 0.035294 34.461 0.13883 -0.82813
180.67 0.032211 37.383 0.1388 -0.60938
189.81 0.029141 40.235 0.13883 -0.42969
200.44 0.026486 43.016 0.13889 -0.35938
210.07 0.024342 45.188 0.13889 -0.34375
220.8 0.022335 47.657 0.13886 -0.21875
230.33 0.020325 50.735 0.13886 -0.15625
240.1 0.018933 52.453 0.13889 -0.16406
249.86 0.017849 53.961 0.13889 -0.27344
259.85 0.01817 53.625 0.1388 -0.57032
270.38 0.020901 49.532 0.1388 -0.75782
280.55 0.020909 49.266 0.1387 -0.875
290.77 0.01965 51.141 0.13867 -0.95313
299.81 0.018063 53.602 0.13861 -1.0313
310 0.015953 56.844 0.13858 -1.2031
320.32 0.013226 61.414 0.13858 -1.2109
330.43 0.010323 67.18 0.13855 -1.3594
340.56 0.0069771 74.032 0.13855 -1.0703
350.51 0.0033531 82.18 0.13858 -0.83594
360.33 -0.001133 92.665 0.13867 -0.64063
