##Alpha(50mT) X DEG X DEG
265.31 0.00045586 23.547 0.1322 -0.71094
270.42 0.00050164 20.844 0.1322 -0.8125
275.43 0.00053406 20.649 0.1322 -0.71094
280.53 0.00054932 20.195 0.13226 -0.85938
285.7 0.00057602 18.328 0.1322 -0.88282
289.81 0.00056458 18.485 0.13214 -0.79688
295.59 0.00056649 18.633 0.1322 -0.84375
299.91 0.00056458 18.735 0.1322 -0.84375
304.84 0.00054932 18.586 0.13214 -0.86719
309.79 0.0005188 20.063 0.13226 -0.82813
315.08 0.00050736 20.719 0.1322 -0.91407
320.33 0.00046921 21.938 0.13214 -0.84375
325.3 0.00041962 24.524 0.13214 -0.78125
330.31 0.00040817 25.141 0.13214 -0.84375
335.64 0.00039673 25.492 0.13214 -0.77344
340.66 0.00032425 30.524 0.1322 -0.72657
345.61 0.00024987 38.469 0.1322 -0.79688
350.69 0.00025749 37.453 0.1322 -0.82813
354.75 0.00020981 43.133 0.1322 -0.75
360.21 0.00013352 55.75 0.1322 -0.70313
0.2 0.00014687 52.735 0.1322 -0.8125
5.01 0.000103 61.633 0.13226 -0.85938
9.78 7.4387E-5 69.118 0.1322 -0.8125
14.66 5.1499E-5 75.297 0.13214 -0.44531
20.55 4.1962E-5 77.766 0.13214 -0.39063
25.1 5.9128E-5 73.602 0.1322 -0.60938
29.95 4.1962E-5 77.571 0.13226 -0.67969
34.87 8.3924E-5 66.032 0.1322 -0.60157
40.29 8.2017E-5 66.68 0.13226 -0.67188
45.28 0.00013542 55.524 0.1322 -0.77344
49.72 0.00013924 54.321 0.1322 -0.77344
55.38 0.00017929 46.539 0.1322 -0.8125
60.13 0.00020218 44.274 0.1322 -0.77344
64.95 0.00024796 38.141 0.13214 -0.67969
70.47 0.00029946 32.422 0.1322 -0.77344
75.53 0.00034905 28.906 0.1322 -0.82813
80.51 0.00040436 25.805 0.1322 -0.78125
85.78 0.00042534 24.656 0.13214 -0.74219
89.74 0.00046921 22.18 0.1322 -0.77344
95.07 0.00050164 21.133 0.1322 -0.82813
100.31 0.00053406 19.391 0.13214 -0.77344
105.56 0.00053406 20.18 0.13214 -0.67188
109.76 0.00057602 18.383 0.1322 -0.82813
115.28 0.00057793 18.625 0.13226 -0.78125
120.24 0.00054169 19.836 0.1322 -0.74219
125.66 0.00054169 19.953 0.13226 -0.75
130.64 0.00052453 20.531 0.1322 -0.72657
134.96 0.00050736 21.375 0.1322 -0.74219
139.98 0.00048256 21.867 0.1322 -0.8125
145.04 0.00044823 24.391 0.1322 -0.60157
150.13 0.00044823 23.141 0.13226 -0.75
155.11 0.00038147 26.961 0.13226 -0.64844
160.13 0.00036812 28.391 0.1322 -0.82813
