##Alpha(207mT) X DEG X DEG
0.33 -7.6294E-5 90.633 0.2301 1.1875
10.74 -0.00020599 91.469 0.23017 1.2813
20.33 -0.00055695 93.977 0.2301 1.4219
29.88 -0.00067139 94.922 0.22992 1.3828
40.62 -0.00053406 93.891 0.22992 1.4688
50.19 -0.00065613 94.633 0.22992 1.6172
59.87 -0.00039673 92.907 0.22998 1.6172
70.61 -0.00037384 92.797 0.23004 1.4063
80.63 -0.00020599 91.508 0.22992 1.2578
90.17 -5.3406E-5 90.422 0.2298 1.1016
100.55 -0.00022888 91.836 0.22992 0.89844
110.74 0.00010681 88.993 0.23004 0.84375
120.83 0.00045014 86.243 0.23004 0.88282
129.94 -2.2888E-5 89.993 0.23004 0.71094
140.15 0.0001297 89.047 0.22998 0.5625
150.33 8.3924E-5 89.274 0.23004 0.53907
160.41 0.00015259 88.61 0.2301 0.73438
170.55 -3.0518E-5 90.251 0.2301 0.98438
180.67 -0.00022125 91.633 0.23004 1.1875
189.81 -0.0001297 90.993 0.2301 1.3984
200.44 0.00021362 88.376 0.23017 1.4297
210.07 -0.0003891 92.719 0.23017 1.3672
220.8 -5.3406E-5 90.274 0.2301 1.5469
230.33 5.3406E-5 89.672 0.23023 1.5313
240.1 0.00034332 87.555 0.2301 1.6016
249.86 0.00018311 88.641 0.23017 1.4063
259.85 0.00069428 84.852 0.23029 1.2813
270.38 0.00051117 86.336 0.23035 1
280.55 0.00067139 85.071 0.23023 0.85157
290.77 0.0010986 82.126 0.23035 0.85157
299.81 0.0011063 82.165 0.23041 0.80469
310 0.0011597 81.344 0.23035 0.60157
320.32 0.00087738 83.274 0.23035 0.49219
330.43 0.00031281 87.508 0.23035 0.375
340.56 0.00034332 87.149 0.23029 0.58594
350.51 7.6294E-5 89.508 0.23035 0.94532
360.33 -0.00028992 92.18 0.2301 1.1641
0.33 -8.3924E-5 90.485 0.22998 1.2109
10.74 -0.00040436 92.907 0.23004 1.3438
20.33 -0.00049591 93.688 0.23017 1.4063
29.88 -0.00062561 94.688 0.23017 1.3438
40.62 -0.00064087 94.563 0.2301 1.5234
50.19 -0.00053406 93.883 0.2301 1.5703
59.87 -0.00048828 93.836 0.2301 1.5703
70.61 -0.00038147 92.907 0.23017 1.5391
80.63 -0.00053406 94.094 0.23017 1.25
90.17 -0.00041962 93.321 0.23004 1.1094
100.55 -0.00015259 91.196 0.23029 0.91407
110.74 -3.8147E-5 90.102 0.23023 0.90625
120.83 -9.9183E-5 90.711 0.23035 0.70313
129.94 -5.3406E-5 90.274 0.23041 0.625
140.15 0.00014496 88.665 0.23023 0.46094
150.33 -3.8147E-5 90.43 0.23029 0.34375
160.41 -0.00041199 93.321 0.23041 0.53907
170.55 0.0002594 87.891 0.23035 0.92969
180.67 6.1036E-5 89.485 0.23017 1.1719
189.81 -3.0518E-5 90.188 0.2301 1.3438
200.44 -0.00016785 91.196 0.2301 1.3828
210.07 -0.00055695 94.071 0.23023 1.3281
220.8 -0.00019074 91.266 0.23017 1.4141
230.33 -4.5777E-5 90.321 0.23017 1.5078
240.1 0.00020599 88.501 0.23029 1.625
249.86 0.00041962 86.915 0.2301 1.3906
259.85 0.00050354 86.555 0.23017 1.2109
270.38 0.00093079 83.329 0.23047 1.1094
280.55 0.00094605 83.032 0.23047 0.95313
290.77 0.00089264 83.336 0.23071 0.91407
299.81 0.00095368 82.782 0.23078 0.77344
310 0.00065613 85.126 0.23065 0.63282
320.32 0.00061035 85.321 0.23047 0.5
330.43 0.00031281 87.563 0.23047 0.51563
340.56 0.00031281 87.758 0.23041 0.71875
350.51 -1.5259E-5 89.993 0.23035 1.0391
360.33 8.3924E-5 89.407 0.23041 1.2188
0.33 -7.6294E-5 90.477 0.23053 1.1797
10.74 3.0518E-5 89.665 0.23041 1.4141
20.33 -0.00032044 92.204 0.23029 1.4766
29.88 -0.00034332 92.243 0.23029 1.3438
40.62 -0.00067902 95.11 0.23029 1.4922
50.19 -0.00045014 93.501 0.23029 1.5859
59.87 -0.00070954 95.282 0.23029 1.5313
70.61 -0.00083924 96.454 0.23017 1.4766
80.63 -0.00039673 93.055 0.23029 1.2891
90.17 -0.00017548 91.446 0.23035 1.1875
100.55 0.00010681 89.086 0.23035 0.90625
110.74 0.00019836 88.501 0.23047 0.86719
120.83 0.00020599 88.274 0.23041 0.79688
129.94 0.00023651 87.852 0.23035 0.77344
140.15 9.9183E-5 89.18 0.23035 0.46094
150.33 -0.00014496 91.274 0.23041 0.51563
160.41 0.00018311 88.508 0.23041 0.74219
170.55 1.5259E-5 89.891 0.23041 0.91407
180.67 -0.00021362 91.602 0.23047 1.1797
189.81 -0.00016022 91.055 0.23029 1.3672
200.44 0.00010681 89.305 0.23029 1.3906
210.07 -0.00021362 91.415 0.23029 1.3672
220.8 6.1036E-5 89.672 0.23035 1.4766
230.33 -0.00015259 90.961 0.23029 1.5703
240.1 0.00032044 87.876 0.23029 1.6797
249.86 0.00073243 84.868 0.23047 1.4531
259.85 0.00061799 85.813 0.23059 1.3438
270.38 0.00096131 83.219 0.23059 1.1484
280.55 0.0014191 79.477 0.23041 0.96875
290.77 0.0012817 80.922 0.23071 0.89844
299.81 0.0013733 80.391 0.23053 0.85157
310 0.00094605 83.001 0.23059 0.60938
320.32 0.00080109 83.868 0.23053 0.53907
330.43 0.00028229 87.86 0.23065 0.60938
340.56 0.00055695 85.891 0.23047 0.67188
350.51 0.0002594 88.086 0.23053 0.99219
360.33 -6.1036E-5 90.422 0.23041 1.2344
