##Alpha(50mT) X DEG X DEG
0.2 0.00026608 88.821 0.44977 -0.75
5.01 0.00042153 88.126 0.44977 -0.74219
9.78 0.00059986 87.344 0.44983 -0.74219
14.66 0.0007515 86.727 0.44977 -0.78125
20.55 0.00093461 85.891 0.44983 -0.75
25.1 0.0010986 85.157 0.44983 -0.67969
29.95 0.0012064 84.672 0.44977 -0.76563
34.87 0.0013199 84.18 0.44983 -0.83594
40.29 0.0014744 83.501 0.44989 -0.79688
45.28 0.0014372 83.704 0.44983 -0.8125
49.72 0.0015526 83.211 0.45001 -0.63282
55.38 0.0016031 82.977 0.45001 -0.65625
60.13 0.0016289 82.844 0.45007 -0.77344
64.95 0.0016565 82.751 0.44989 -0.67969
70.47 0.0015564 83.157 0.45007 -0.71094
75.53 0.0015535 83.172 0.45001 -0.75
80.51 0.001523 83.329 0.45001 -0.69532
85.78 0.0014391 83.688 0.45001 -0.6875
89.74 0.0012322 84.579 0.45001 -0.67188
95.07 0.0011015 85.157 0.44989 -0.78125
100.31 0.00091076 86.001 0.45007 -0.67969
105.56 0.00072861 86.797 0.45007 -0.72657
109.76 0.00068856 86.93 0.45001 -0.72657
115.28 0.00057507 87.477 0.44995 -0.73438
120.24 0.00038719 88.313 0.45007 -0.70313
125.66 0.00030327 88.688 0.44989 -0.71875
130.64 0.00017548 89.227 0.45007 -0.72657
134.96 6.7711E-5 89.711 0.45001 -0.80469
139.98 0.00012493 89.454 0.45007 -0.75
145.04 3.4332E-5 89.829 0.44989 -0.78125
150.13 -2.6703E-5 90.11 0.45007 -0.70313
155.11 -0.00011253 90.501 0.45001 -0.72657
160.13 -1.4305E-5 90.047 0.44989 -0.76563
165.31 -5.3406E-5 90.196 0.44989 -0.76563
170.46 6.5804E-5 89.704 0.44995 -0.85938
175.41 0.0001421 89.368 0.44989 -0.83594
180.5 0.00035381 88.438 0.44983 -0.79688
185.59 0.00042439 88.133 0.44989 -0.78125
189.73 0.00063324 87.219 0.44983 -0.80469
195.59 0.00083256 86.336 0.44989 -0.83594
200.58 0.0010519 85.376 0.44983 -0.8125
204.76 0.0010624 85.321 0.44989 -0.78125
210.64 0.0013275 84.165 0.44989 -0.78125
215.29 0.0014219 83.758 0.44989 -0.82032
220 0.0014486 83.641 0.44989 -0.72657
225.07 0.0015831 83.04 0.45007 -0.71094
230.76 0.0016146 82.922 0.45007 -0.79688
235.66 0.0016518 82.727 0.44983 -0.72657
240.44 0.0016518 82.735 0.44995 -0.77344
245.47 0.0015965 82.946 0.44995 -0.82813
250.29 0.0016852 82.61 0.45007 -0.75
255.27 0.0015278 83.282 0.44995 -0.80469
260.31 0.0015202 83.329 0.45007 -0.75
265.31 0.0013208 84.188 0.44989 -0.80469
270.42 0.0011787 84.797 0.45001 -0.78125
275.43 0.0010681 85.329 0.44989 -0.78907
280.53 0.00084019 86.297 0.44995 -0.80469
285.7 0.00068665 86.985 0.45001 -0.82813
289.81 0.00065899 87.102 0.44989 -0.75
295.59 0.00049687 87.813 0.44989 -0.75
299.91 0.00040722 88.18 0.44989 -0.84375
304.84 0.00025845 88.852 0.44989 -0.82813
309.79 0.00021172 89.063 0.44995 -0.82032
315.08 0.0001545 89.336 0.44989 -0.83594
320.33 -5.7221E-6 90.016 0.44983 -0.83594
325.3 -2.7657E-5 90.11 0.44983 -0.78907
330.31 0 89.993 0.44989 -0.80469
335.64 -2.6703E-5 90.11 0.44983 -0.82813
340.66 -9.6322E-5 90.422 0.44977 -0.74219
345.61 -5.5313E-5 90.251 0.44983 -0.78907
350.69 3.0518E-5 89.852 0.44989 -0.77344
354.75 7.9155E-5 89.61 0.44983 -0.83594
360.21 0.00022888 88.993 0.44983 -0.83594
0.2 0.00021076 89.079 0.44989 -0.85938
5.01 0.00044441 88.047 0.44977 -0.78125
9.78 0.00060082 87.352 0.44989 -0.82032
14.66 0.00069046 86.93 0.44977 -0.71875
20.55 0.00094033 85.829 0.44983 -0.63282
25.1 0.0011034 85.141 0.44989 -0.74219
29.95 0.0011787 84.813 0.44995 -0.78125
34.87 0.0012598 84.461 0.44989 -0.82032
40.29 0.0013895 83.883 0.45001 -0.82813
45.28 0.0014973 83.399 0.44989 -0.88282
49.72 0.0015574 83.141 0.44989 -0.80469
55.38 0.0016508 82.719 0.44995 -0.79688
60.13 0.0016365 82.766 0.45007 -0.75782
64.95 0.0016537 82.743 0.44995 -0.78125
70.47 0.0016775 82.626 0.44989 -0.85157
75.53 0.0015755 83.086 0.44995 -0.75782
80.51 0.0014706 83.54 0.44995 -0.78125
85.78 0.001297 84.266 0.45007 -0.80469
89.74 0.001256 84.485 0.45001 -0.79688
95.07 0.0011072 85.126 0.45007 -0.82032
100.31 0.00086403 86.196 0.45001 -0.75782
105.56 0.00072098 86.829 0.44989 -0.78125
109.76 0.00062848 87.219 0.44983 -0.71094
115.28 0.00050927 87.743 0.44995 -0.82813
120.24 0.0004158 88.157 0.44995 -0.78125
125.66 0.00038433 88.297 0.44983 -0.80469
130.64 0.00021172 89.055 0.44989 -0.69532
134.96 0.0001297 89.415 0.44989 -0.78125
139.98 0.00010777 89.524 0.44995 -0.78125
145.04 4.1962E-5 89.813 0.44989 -0.88282
150.13 -4.7684E-6 90.008 0.44989 -0.78125
