##Alpha(207mT) X DEG X DEG
0.33 7.8202E-5 75.961 0.14374 0.72657
4.95 6.1036E-5 78.68 0.14374 0.60938
10.74 0 89.696 0.14374 0.64844
15.51 4.1962E-5 82.282 0.14368 0.72657
20.33 1.9074E-6 89.399 0.14374 0.71875
25.03 -1.1444E-5 91.821 0.1438 0.76563
29.88 -2.0981E-5 93.946 0.14374 0.9375
35.78 -1.5259E-5 92.704 0.14386 0.74219
40.62 -5.3406E-5 99.508 0.14392 0.85938
45.24 -4.1962E-5 97.79 0.14392 0.97657
50.19 -3.8147E-6 90.602 0.14398 0.85938
55.1 2.861E-5 84.633 0.14392 0.80469
59.87 2.861E-5 84.907 0.14386 1.0469
65.74 8.2017E-5 75.961 0.14404 0.80469
70.61 6.485E-5 77.532 0.14398 0.74219
75.67 0.00011635 70.336 0.14398 0.75
80.63 0.00015831 63.196 0.14392 0.76563
84.84 0.00015831 63.43 0.14392 0.63282
90.17 0.00019074 59.336 0.14392 0.5625
95.43 0.00020599 57 0.14392 0.36719
100.55 0.00027847 49.414 0.14392 0.33594
105.52 0.00032997 44.266 0.14392 0.35938
110.74 0.0002861 48.399 0.14392 0.30469
115.67 0.00030327 46.828 0.14392 0.3125
120.83 0.00030327 47.125 0.14392 0.22656
124.87 0.00032616 44.992 0.14398 0.23438
129.94 0.00032807 44.852 0.14398 0.14844
134.97 0.00034142 43.711 0.14398 0.17188
140.15 0.00030327 46.953 0.14398 0.17188
145.31 0.00026322 50.657 0.14398 0.14844
150.33 0.00023651 53.602 0.14404 0.10156
155.35 0.00020599 57.336 0.14398 0.14063
160.41 0.00019646 58.899 0.14404 0.19531
165.43 0.00019264 59.469 0.14404 0.28906
170.55 0.00016785 62.727 0.14398 0.42188
175.58 0.00013924 66.446 0.14392 0.60938
180.67 9.9183E-5 72.727 0.14392 0.72657
185.75 8.0109E-5 75.891 0.14392 0.61719
189.81 7.0572E-5 77.555 0.14386 0.6875
195.65 2.861E-5 84.399 0.14392 0.6875
200.44 2.2888E-5 85.844 0.14398 0.69532
205.23 -3.8147E-6 90.602 0.14398 0.53907
210.07 -3.8147E-6 90.602 0.14392 0.78125
215.02 -2.861E-5 95.188 0.14386 0.72657
220.8 -3.0518E-5 95.352 0.14392 0.78125
225.5 -3.8147E-6 90.586 0.14392 0.67188
230.33 1.5259E-5 86.93 0.14392 0.78125
235.29 3.8147E-5 83.055 0.14386 0.82813
240.1 6.485E-5 78.399 0.14386 0.82032
244.97 6.485E-5 78.11 0.14386 0.74219
249.86 0.00011635 69.571 0.14386 0.75
254.93 0.00013161 67.735 0.14386 0.57813
259.85 0.00013161 67.016 0.14374 0.80469
265.19 0.00019646 58.508 0.14392 0.53907
270.38 0.00023651 53.649 0.14386 0.53907
275.55 0.00022698 54.539 0.14386 0.46094
280.55 0.00026894 49.836 0.14386 0.46094
285.57 0.00027657 49.594 0.14386 0.35938
290.77 0.0002861 48.867 0.14386 0.30469
295.75 0.00027466 49.149 0.14374 0.38281
299.81 0.00029946 47.289 0.14386 0.25
304.92 0.00025559 51 0.14374 0.25
310 0.00032425 45.141 0.14374 0.25
315.24 0.0003357 43.547 0.14386 0.085938
320.32 0.00027466 49.907 0.14392 -0.070313
325.41 0.0002861 49.016 0.14386 -0.070313
