Time X DEG X Y
0 0.00017428 78.954 0.14313 -0.0019226
1.9999998 0.00016904 79.43 0.14316 -0.0019226
4.0009998 0.00017023 79.227 0.14313 -0.0019226
6.0009997 0.00018215 78.508 0.14316 -0.0019226
8 0.00017619 78.876 0.14313 -0.0019226
9.9999998 0.00017738 78.852 0.14313 -0.0019226
12.001 -0.00035095 -167.54 0.13861 -0.0018616
14.001 0.00017762 78.876 0.14313 -0.0019226
16 0.00017834 78.79 0.14313 -0.0019226
18 0.00018096 78.547 0.14313 -0.0019226
20.001 0.0001905 77.954 0.14313 -0.0019226
22.001 0.00019169 77.883 0.14313 -0.0018921
24 0.00018311 78.602 0.14313 -0.0019226
26 0.00019264 77.891 0.14313 -0.0018921
28.001 0.00019193 77.766 0.14313 -0.0019226
30.001 0.00018931 78.032 0.14313 -0.0019226
32 0.00019598 77.477 0.1431 -0.0019226
34 0.00020313 77.024 0.14313 -0.0019226
36.001 0.00020075 77.321 0.14313 -0.0019226
38.001 0.00020194 77.157 0.14313 -0.0019226
40 0.0001986 77.532 0.14313 -0.0019226
42 0.00019765 77.485 0.14313 -0.0019226
44.001 0.00019431 77.626 0.14313 -0.0019226
46.001 0.0002048 76.946 0.14313 -0.0019226
48 0.00021172 76.485 0.14313 -0.0019226
50 0.00020242 77.11 0.14313 -0.0019226
52.001 0.00021029 76.649 0.14313 -0.0019226
54.001 0.00020433 76.954 0.1431 -0.0019226
56 0.000211 76.586 0.1431 -0.0019226
58 0.00020576 76.633 0.14307 -0.0019226
60.001 0.00020862 76.657 0.14313 -0.0019226
62.001 0.00021839 75.938 0.1431 -0.0019226
64 0.00021339 76.141 0.1431 -0.0019226
66 0.00021029 76.438 0.1431 -0.0019226
68.001 0.00022411 75.719 0.14313 -0.0019226
70.001 0.00023079 75.235 0.14313 -0.0018921
72 0.00022531 75.657 0.14313 -0.0019226
74 0.00023198 75.196 0.14313 -0.0019226
76.001 0.00024438 74.477 0.14313 -0.0018921
78 0.00022149 75.883 0.14313 -0.0018921
80 0.00022626 75.555 0.14316 -0.0018921
82.001 0.00022888 75.29 0.14316 -0.0018921
84.001 0.00023055 75.282 0.14313 -0.0019226
86 0.00024128 74.696 0.14316 -0.0018921
88 0.00024128 74.618 0.14316 -0.0018921
90.001 0.00022936 75.493 0.14316 -0.0018921
92.001 0.00023365 75.18 0.14316 -0.0019226
94 0.00022388 75.727 0.14313 -0.0019226
96 0.00024057 74.61 0.14316 -0.0018921
98.001 0.00023675 74.915 0.14316 -0.0018921
100.001 0.00023556 74.844 0.14316 -0.0019226
102 0.00023246 75.04 0.14316 -0.0018921
104 0.00023198 75.11 0.14316 -0.0018921
106.001 0.00022769 75.313 0.14316 -0.0018921
108.001 0.00023031 75.086 0.14313 -0.0018921
110 0.00022674 75.297 0.14316 -0.0018921
112 0.00023437 74.751 0.14313 -0.0019226
114.001 0.00024247 74.36 0.14313 -0.0019226
116.001 0.0002358 74.641 0.14313 -0.0019226
118 0.00023341 74.915 0.14313 -0.0019226
120 0.00023079 74.993 0.14313 -0.0019226
122.001 0.0002451 73.993 0.1431 -0.0018921
124.001 0.00023866 74.415 0.1431 -0.0019226
126 0.0002501 73.813 0.14313 -0.0019226
128 0.00024748 73.86 0.14313 -0.0019226
130.001 0.00024653 74.141 0.14313 -0.0018921
132.001 0.00023413 74.891 0.14313 -0.0019226
134 0.00025344 73.54 0.14313 -0.0018921
136 0.00026322 72.993 0.14313 -0.0018616
138.001 0.00025201 73.665 0.14313 -0.0018921
140.001 0.00026298 73.079 0.14316 -0.0018921
142 0.00026441 72.868 0.14316 -0.0018921
144 0.00026798 72.477 0.14316 -0.0018616
146.001 0.00026822 72.579 0.14316 -0.0018616
148.001 0.00028205 71.696 0.14316 -0.0018921
150 0.00028777 71.547 0.14316 -0.0018616
152 0.00028324 71.719 0.14316 -0.0018921
154.001 0.00029016 71.079 0.14319 -0.0018616
156 0.00028706 71.422 0.14319 -0.0018921
158 0.00028944 71.219 0.14319 -0.0018921
160.001 0.0002923 71.118 0.14319 -0.0018921
162.001 0.00029874 70.618 0.14319 -0.0018921
164 0.00029802 70.821 0.14322 -0.0018921
166 0.00029159 71.016 0.14319 -0.0018921
168.001 0.00027108 72.399 0.14319 -0.0018921
170.001 0.00030542 70.094 0.14319 -0.0018921
172 0.00028443 71.211 0.14319 -0.0018921
174 0.00029564 70.571 0.14319 -0.0018921
176.001 0.00028849 70.977 0.14319 -0.0018921
178.001 0.00030136 70.329 0.14319 -0.0019226
180 0.00029421 70.836 0.14319 -0.0018921
182 0.00029874 70.571 0.14319 -0.0019226
184.001 0.00029183 70.868 0.14316 -0.0019226
186.001 0.00029898 70.422 0.14316 -0.0019226
188 0.00028944 71.001 0.14316 -0.0018616
190 0.00029159 70.626 0.14316 -0.0019226
192.001 0.00028396 71.118 0.14316 -0.0018921
194.001 0.00029326 70.547 0.14316 -0.0018921
196 0.00028324 71.165 0.14316 -0.0018921
198 0.00029874 70.305 0.14316 -0.0018921
200.001 0.0003016 69.688 0.14316 -0.0019226
202.001 0.00030065 70.196 0.14316 -0.0018921
204 0.00030899 69.766 0.14316 -0.0019226
206 0.00030255 70.235 0.14316 -0.0019226
208.001 0.00029564 70.415 0.14316 -0.0019226
210.001 0.00031853 69.188 0.14316 -0.0018921
212 0.00030923 69.727 0.14319 -0.0018921
214 0.00030828 69.954 0.14319 -0.0018921
216.001 0.00031567 69.243 0.14319 -0.0018921
218.001 0.00032139 68.782 0.14319 -0.0018921
220 0.00032997 68.446 0.14319 -0.0018921
222 0.00031209 69.844 0.14322 -0.0018616
224.001 0.00031615 69.313 0.14322 -0.0018616
226.001 0.00032711 68.657 0.14322 -0.0018616
228 0.00031948 69.141 0.14322 -0.0018616
230 0.00033379 67.852 0.14322 -0.0018616
232.001 0.00032616 68.524 0.14322 -0.0018616
234 0.0003283 68.266 0.14322 -0.0018921
236 0.00033379 67.813 0.14322 -0.0018921
238 0.00033498 67.86 0.14322 -0.0018921
240.001 0.00033999 67.477 0.14322 -0.0018921
242 0.00035548 66.711 0.14322 -0.0018921
244 0.00034833 67.126 0.14319 -0.0018921
246.001 0.00033069 67.93 0.14322 -0.0018921
248.001 0.00034237 67.063 0.14319 -0.0018616
250 0.00035072 66.547 0.14319 -0.0018921
252 0.0003388 67.422 0.14319 -0.0018921
254.001 0.00035191 66.485 0.14316 -0.0018921
256.001 0.00033426 67.501 0.14316 -0.0019226
258 0.00035358 66.563 0.14316 -0.0018921
260 0.00035215 66.555 0.14319 -0.0018921
262.001 0.00032783 67.532 0.14313 -0.0018921
264.001 0.00035811 66.016 0.14319 -0.0018921
266 0.00036264 65.797 0.14319 -0.0019226
268 0.00035715 66.149 0.14319 -0.0018921
270.001 0.00036383 65.813 0.14319 -0.0018921
272.001 0.00036192 66.008 0.14319 -0.0018921
274 0.00036788 65.891 0.14322 -0.0018921
276 0.00036216 66.071 0.14322 -0.0018921
278.001 0.00037384 65.415 0.14322 -0.0018921
280.001 0.00036073 65.922 0.14322 -0.0018921
282 0.0003717 65.157 0.14322 -0.0018616
284 0.00037146 65.219 0.14322 -0.0018921
286.001 0.0003736 65.29 0.14325 -0.0018616
288.001 0.0003748 65.086 0.14322 -0.0018921
290 0.00037027 65.446 0.14322 -0.0018921
292 0.00038576 64.61 0.14325 -0.0018616
294.001 0.00037313 65.04 0.14325 -0.0018616
296.001 0.00038266 64.711 0.14325 -0.0018921
298 0.00037813 64.899 0.14325 -0.0018921
300 0.00038052 64.446 0.14322 -0.0018921
302.001 0.00038815 64.43 0.14325 -0.0018616
304.001 0.00036693 65.579 0.14322 -0.0018921
306 0.00037694 64.868 0.14322 -0.0018921
308 0.00037837 64.352 0.14322 -0.0018921
310.001 0.00038648 64.149 0.14322 -0.0019226
312 0.00038123 64.532 0.14322 -0.0018921
314 0.00040078 62.953 0.14322 -0.0019226
316 0.00038862 64.008 0.14322 -0.0019226
318.001 0.00039125 63.547 0.14322 -0.0019226
320 0.00040126 63.008 0.14322 -0.0019226
322 0.00039959 62.961 0.14319 -0.0019226
324.001 0.00040627 62.899 0.14322 -0.0019226
326.001 0.00039959 62.625 0.14319 -0.0019226
328 0.00039649 63.328 0.14322 -0.0019226
330 0.00040651 62.539 0.14319 -0.0019226
332.001 0.00039745 63.227 0.14322 -0.0018921
334.001 0.00040198 63.117 0.14325 -0.0018921
336 0.00040627 62.617 0.14325 -0.0018921
338 0.00042629 61.235 0.14325 -0.0018921
340.001 0.00042081 62.117 0.14325 -0.0018921
342.001 0.00042153 61.813 0.14325 -0.0018921
