Alpha(210mT) X DEG X DEG
270 -0.00022507 96.899 0.91864 1.6797
264.98 -0.00010681 93.165 0.91852 1.6719
260.11 0.00027466 81.399 0.91822 1.6719
255.18 0.00080109 66.18 0.91803 1.6641
250.27 0.00083924 65.68 0.91791 1.6563
245.33 0.0013352 53.164 0.91785 1.6641
240.37 0.0014915 51.414 0.91773 1.6641
235.27 0.0020771 41.774 0.91797 1.6641
230.29 0.002451 36.883 0.91779 1.6641
225.27 0.0028725 33.578 0.91773 1.6641
220.35 0.0032234 29.828 0.91755 1.6563
215.31 0.0035648 27.383 0.91748 1.6563
210.4 0.004057 24.461 0.91736 1.6641
205.5 0.0044022 23.016 0.91748 1.6641
200.43 0.00486 21.305 0.9173 1.6719
195.44 0.0051155 20.219 0.9173 1.6719
190.25 0.0056286 18.156 0.91742 1.6641
185.25 0.006361 16.172 0.91736 1.6719
179.86 0.0070114 15.156 0.91736 1.6641
174.8 0.006918 15.172 0.91791 1.6797
169.87 0.0064335 16.391 0.91828 1.6797
164.84 0.0059319 17.414 0.91858 1.6641
159.94 0.0056706 18.149 0.91858 1.6641
154.84 0.0053082 19.258 0.91852 1.6719
149.99 0.0046635 21.719 0.91858 1.6797
144.98 0.0044098 22.5 0.9184 1.6797
140.01 0.0039997 24.844 0.91852 1.6797
135.23 0.0037193 26.063 0.91834 1.6797
130.09 0.0033398 29.492 0.91852 1.6719
124.98 0.0031338 29.836 0.91852 1.6719
120.06 0.0026703 34.047 0.91797 1.6797
115.31 0.002039 40.672 0.9181 1.6797
110.14 0.0016403 46.828 0.91816 1.6797
105.31 0.0011196 57.258 0.91828 1.6797
100.09 0.00066567 69.829 0.91816 1.6797
95.07 0.00010491 86.594 0.91816 1.6797
89.89 -0.00045586 104.77 0.91785 1.6797
84.77 -0.00066567 109.98 0.91767 1.6797
79.63 -0.00022507 96.813 0.91767 1.6719
74.74 0.00028038 80.883 0.91742 1.6719
69.79 0.00078392 66.477 0.91736 1.6719
64.89 0.001297 54.563 0.91706 1.6797
59.93 0.0015831 48.93 0.91693 1.6797
54.95 0.0019989 41.75 0.91706 1.6719
50 0.0022965 38.742 0.91681 1.6797
45.1 0.0025997 35.344 0.917 1.6797
40.09 0.0028706 32.5 0.91706 1.6719
35.09 0.0031509 30.531 0.91718 1.6797
30.23 0.0038223 26.508 0.91718 1.6719
25.26 0.0041905 24.235 0.91718 1.6641
20.3 0.0045681 21.711 0.91718 1.6641
15.37 0.0050755 20.461 0.91712 1.6719
10.13 0.0056439 18.219 0.91712 1.6641
5.16 0.0061569 17.024 0.91693 1.6719
-0.02 0.0068379 15.414 0.91706 1.6719
-5.02 0.0068722 15.328 0.91755 1.6641
-9.97 0.0063324 16.055 0.91785 1.6719
-15.05 0.0058747 17.43 0.91779 1.6797
-19.94 0.005518 19 0.91797 1.6719
-24.77 0.0049305 20.914 0.91828 1.6563
-29.82 0.0046311 21.844 0.9184 1.6641
-34.69 0.0041428 24.352 0.91822 1.6563
-39.65 0.0035973 27.164 0.91828 1.6563
-44.54 0.0036163 26.844 0.9184 1.6484
-49.55 0.0029335 31.211 0.91785 1.6641
-54.52 0.0028782 32.68 0.91803 1.6563
-60.43 0.0022373 38.992 0.9181 1.6563
-65.36 0.0018578 44.524 0.91822 1.6563
-70.36 0.0014191 51.969 0.91828 1.6563
-75.42 0.00079155 66.532 0.91858 1.6484
-80.46 0.00021362 83.407 0.91846 1.6484
-85.42 -0.0002327 97.172 0.91846 1.6484
-90 -0.00082398 114.45 0.91816 1.6641
