Ieff(0deg) X DEG X DEG
-9.26 0.0010057 -7.25 0.82514 1.3438
-8.6 0.00063277 -12.375 0.82514 1.3516
-7.98 0.00052119 -16.32 0.82496 1.3516
-7.39 0.00039387 -20.719 0.82514 1.3516
-6.82 0.0001564 -46.133 0.82502 1.3516
-6.23 -6.7234E-5 -111.9 0.82471 1.3594
-6.23 -0.00045443 -162.19 0.82428 1.3594
-5.63 -0.00054455 -162.32 0.82465 1.3438
-5.06 -0.00088406 -168.38 0.8252 1.3516
-4.53 -0.0010777 -170.31 0.82538 1.3438
-3.96 -0.0013638 -171.67 0.82569 1.3438
-3.4 -0.0015588 -173.41 0.82569 1.3438
-2.84 -0.0016298 -173.2 0.8255 1.3438
-2.28 -0.0017591 -173.99 0.82563 1.3516
-2.01 -0.0020847 -174.57 0.82575 1.3594
-1.46 -0.0022988 -174.89 0.82575 1.3438
-1.05 -0.0026288 -175.73 0.82587 1.3438
-0.5 -0.0028014 -176.1 0.82575 1.3516
0 -0.0029016 -175.88 0.82599 1.3516
0.52 -0.0030637 -175.94 0.82636 1.3438
0.99 -0.0028496 -175.84 0.82666 1.3438
1.49 -0.0027504 -175.84 0.82727 1.3516
2.02 -0.0022783 -174.66 0.82752 1.3516
2.56 -0.0022497 -175.25 0.82764 1.3594
2.97 -0.002029 -175.2 0.82776 1.3516
3.68 -0.001564 -173.53 0.82795 1.3438
4.22 -0.0014396 -173.19 0.82801 1.3438
4.78 -0.0011635 -171.93 0.82795 1.3438
4.78 -0.0012689 -173.38 0.82746 1.3594
5.32 -0.0013094 -173.25 0.82727 1.3594
5.89 -0.0015168 -173.49 0.82679 1.3672
6.48 -0.0013352 -173.35 0.82703 1.3594
7.07 -0.0013866 -173.79 0.82709 1.3516
7.67 -0.0013132 -173.59 0.82721 1.3594
8.26 -0.00098039 -171.83 0.82715 1.3594
8.26 -0.00075627 -171.24 0.8274 1.3516
8.88 -0.00052309 -167.44 0.8274 1.3438
