Ieff(90deg) X DEG X DEG
-9.17 -0.00020027 95.047 0.77216 1.2109
-8.55 -2.3365E-5 90.477 0.7724 1.2109
-7.93 -5.2452E-5 90.86 0.77222 1.2109
-7.36 0.00011063 87.813 0.77137 1.2266
-6.76 0.00026989 83.524 0.77143 1.2266
-6.76 0.0003953 80.383 0.7721 1.2188
-6.2 0.00032616 82.508 0.77259 1.2188
-5.6 0.00054121 77.282 0.77265 1.2109
-5.07 0.00083876 70.711 0.77283 1.2188
-4.5 0.00052357 77.602 0.77259 1.2188
-3.96 0.00062991 74.985 0.77271 1.2266
-3.4 0.00030899 82.969 0.77253 1.2188
-2.86 0.00043679 79.688 0.77271 1.2188
-2.29 0.00033522 82.04 0.7724 1.2266
-2.02 0.00062752 74.977 0.77283 1.2266
-1.47 0.00078249 71.297 0.77295 1.2188
-0.93 0.00074292 71.993 0.77271 1.2188
-0.52 0.00040007 80.477 0.77289 1.2109
-0.02 0.00028229 83.43 0.77246 1.2266
0.52 0.00046253 79.001 0.77204 1.2188
1 0.0004592 79.157 0.77167 1.2266
1.49 -0.0050578 156.48 0.77204 1.2188
2.01 -0.0050516 156.02 0.77253 1.2109
2.56 -0.0048204 154.58 0.77216 1.2266
2.97 -0.0042272 150.75 0.77155 1.2344
3.68 -0.0029559 141.73 0.77149 1.2344
4.22 -0.0017567 126.98 0.77228 1.2266
4.78 -0.0012074 117.09 0.77204 1.2344
4.78 -0.00092793 111.92 0.77216 1.2266
5.32 -0.00061942 104.49 0.77228 1.2266
5.86 -0.00034237 97.899 0.77204 1.2344
6.45 -8.6308E-5 92.438 0.77185 1.2344
7.07 -0.00028515 97.086 0.77259 1.2188
7.61 -0.0006361 105.34 0.77216 1.2188
8.21 -0.00066185 106.28 0.7724 1.2188
8.21 -0.00088072 110.93 0.77228 1.2266
8.83 -0.00079537 108.47 0.77204 1.2266
