,lambda,P+,P-
0,460,0.09803412107096568,-0.07630271575550837
1,530,0.1137164444275423,-0.07019962798135984
2,620,0.03549490759638135,0.05963857164653773
4,710,-0.057866176791528515,0.1082826902328743
5,810,-0.08219363681929254,0.08037688316439041
6,920,0.008829945220151958,0.017466259223812782
8,1050,0.0667233511746888,-0.027360822355853125
9,1200,0.01847197615812914,-0.05834059013295971
10,1400,-0.07332755930392587,-0.13258533179951623
13,1600,-0.21889457632357495,-0.1285568295881872
