##Alpha(207mT) X DEG X DEG
259.85 -0.00022888 91.211 0.51697 -5.0547
265.19 -0.00050354 92.665 0.51679 -5.1485
270.38 -0.00069428 93.696 0.51661 -5.25
275.55 -0.00094605 95.024 0.5163 -5.5469
280.55 -0.0011521 96.11 0.51606 -5.5782
285.57 -0.001297 96.883 0.51606 -5.6719
290.77 -0.0013733 97.29 0.51587 -5.7266
295.75 -0.001545 98.172 0.51581 -5.6953
299.81 -0.0016594 98.766 0.51569 -5.7657
304.92 -0.0016365 98.649 0.51569 -5.7188
310 -0.0016136 98.61 0.51545 -5.875
315.24 -0.001667 98.852 0.51532 -5.875
320.32 -0.0015412 98.235 0.51532 -5.8907
325.41 -0.0014038 97.508 0.51545 -5.875
330.43 -0.001236 96.633 0.51532 -6.0391
335.31 -0.0011292 96.079 0.51532 -5.9766
340.56 -0.00085068 94.579 0.51581 -5.7891
345.36 -0.00066376 93.54 0.51587 -5.7188
350.51 -0.00044632 92.376 0.51612 -5.4766
355.65 -0.00016785 90.891 0.51636 -5.3594
360.33 2.2888E-5 89.868 0.51661 -5.2578
0.33 5.7221E-5 89.688 0.51648 -5.3047
4.95 0.00025559 88.571 0.51667 -5.125
10.74 0.00046158 87.461 0.51673 -5.125
15.51 0.00063324 86.555 0.51703 -4.9688
20.33 0.00086594 85.258 0.51697 -4.9844
25.03 0.00091935 84.946 0.51703 -4.9922
29.88 0.0010033 84.586 0.51722 -5.0078
35.78 0.0010681 84.235 0.51728 -4.9453
40.62 0.00103 84.368 0.51728 -4.9141
45.24 0.00094986 84.836 0.5174 -4.9219
50.19 0.00086594 85.344 0.5174 -4.8672
55.1 0.00062943 86.579 0.5174 -4.8203
59.87 0.00051117 87.219 0.51728 -4.875
65.74 0.00019455 88.922 0.51728 -4.9844
70.61 7.6294E-5 89.594 0.51728 -5.0235
75.67 -0.00022125 91.172 0.51709 -5.1328
80.63 -0.0004921 92.649 0.51685 -5.3282
84.84 -0.00066376 93.586 0.51685 -5.2969
90.17 -0.00087738 94.696 0.51685 -5.3047
95.43 -0.0012474 96.665 0.51673 -5.3282
100.55 -0.0013962 97.477 0.51636 -5.4844
105.52 -0.0015526 98.282 0.51648 -5.4375
110.74 -0.0016937 98.985 0.51624 -5.5235
115.67 -0.0018311 99.758 0.51606 -5.625
120.83 -0.0018387 99.836 0.51593 -5.7422
124.87 -0.0018425 99.876 0.51581 -5.7969
129.94 -0.0019417 100.41 0.51587 -5.7735
134.97 -0.0018158 99.735 0.51563 -5.875
140.15 -0.0017319 99.274 0.51569 -5.9532
145.31 -0.0015717 98.422 0.51575 -5.9844
150.33 -0.001461 97.891 0.51563 -6.0547
155.35 -0.0012512 96.735 0.51581 -5.9532
160.41 -0.0010414 95.579 0.516 -5.836
165.43 -0.00083924 94.454 0.51636 -5.5391
170.55 -0.00059891 93.258 0.51642 -5.586
175.58 -0.00033951 91.813 0.51667 -5.2266
180.67 -8.3924E-5 90.446 0.51691 -5.1641
185.75 0.00011826 89.321 0.51679 -5.2032
189.81 0.00040054 87.836 0.51697 -5.1172
195.65 0.00069809 86.204 0.51703 -5.1016
200.44 0.00076294 85.805 0.51703 -5.0782
205.23 0.00093461 84.969 0.51709 -5.0703
210.07 0.0010452 84.391 0.51722 -5.0157
215.02 0.0010262 84.446 0.51734 -4.875
220.8 0.001133 83.922 0.51728 -4.9766
225.5 0.0010529 84.336 0.51716 -5.0703
230.33 0.00095749 84.852 0.51734 -4.8907
235.29 0.00078965 85.774 0.51746 -4.8125
240.1 0.00070572 86.282 0.51752 -4.7891
244.97 0.00056076 87.024 0.51734 -4.7891
249.86 0.00028992 88.415 0.51722 -4.8907
254.93 0 89.993 0.51685 -5.125
259.85 -0.00024033 91.29 0.51679 -5.2266
265.19 -0.00050354 92.68 0.51654 -5.2657
270.38 -0.00076676 94.047 0.51673 -5.1407
275.55 -0.0010109 95.336 0.51648 -5.3047
280.55 -0.0011826 96.243 0.51618 -5.5235
285.57 -0.0013695 97.172 0.5163 -5.5078
290.77 -0.0015373 98.024 0.51624 -5.3985
295.75 -0.0015755 98.258 0.51587 -5.5547
299.81 -0.001667 98.836 0.51563 -5.6719
304.92 -0.001709 99.008 0.51563 -5.7969
310 -0.0017243 99.141 0.51551 -5.7578
315.24 -0.0015564 98.204 0.51545 -5.9688
320.32 -0.0016403 98.649 0.51545 -5.836
325.41 -0.0014496 97.711 0.51532 -6.0157
330.43 -0.001255 96.68 0.51545 -5.9375
335.31 -0.0011482 96.11 0.51557 -5.8594
340.56 -0.0010491 95.571 0.51581 -5.5625
345.36 -0.00072861 93.876 0.51593 -5.5391
350.51 -0.00050736 92.727 0.51618 -5.461
355.65 -0.00031281 91.649 0.5163 -5.3828
360.33 -0.00021362 91.133 0.51667 -5.1172
0.33 -0.00014877 90.782 0.51661 -5.1016
4.95 0.0001297 89.313 0.51685 -5.1016
10.74 0.00042343 87.704 0.51691 -4.9844
15.51 0.00053788 87.04 0.51703 -4.9375
20.33 0.00076294 85.899 0.51716 -4.9375
25.03 0.00086976 85.305 0.51703 -5.0703
29.88 0.00092316 84.969 0.51703 -5.0625
35.78 0.00097657 84.758 0.51728 -4.9922
40.62 0.00094223 84.899 0.51716 -4.961
45.24 0.00092698 84.961 0.51734 -4.8907
50.19 0.0007515 85.922 0.51734 -4.7578
55.1 0.00058747 86.852 0.5174 -4.7188
59.87 0.0004654 87.508 0.51752 -4.6328
65.74 0.00014114 89.204 0.51722 -4.8125
70.61 -2.2888E-5 90.102 0.51734 -4.8438
75.67 -0.0002594 91.407 0.51703 -4.9219
80.63 -0.00053788 92.86 0.51685 -5.1485
84.84 -0.00074006 93.946 0.51673 -5.1953
90.17 -0.00099946 95.336 0.51673 -5.2969
95.43 -0.001194 96.344 0.51685 -5.2344
100.55 -0.0014115 97.54 0.51648 -5.4375
105.52 -0.0016365 98.633 0.51648 -5.3907
110.74 -0.00177 99.391 0.51624 -5.5313
115.67 -0.0018349 99.766 0.516 -5.6172
120.83 -0.001915 100.13 0.51606 -5.5469
124.87 -0.0018806 99.954 0.51593 -5.6172
129.94 -0.0018883 100.06 0.51587 -5.6953
134.97 -0.0018425 99.774 0.51569 -5.8047
140.15 -0.0018234 99.711 0.51581 -5.6953
145.31 -0.0016937 99.086 0.51563 -5.9219
150.33 -0.0015564 98.344 0.51587 -5.6641
155.35 -0.0013428 97.219 0.51569 -5.8203
160.41 -0.0011368 96.102 0.51593 -5.8047
165.43 -0.00088883 94.751 0.51624 -5.6328
170.55 -0.00072098 93.915 0.51618 -5.5625
175.58 -0.00043106 92.321 0.51654 -5.2813
180.67 -0.00020218 91.071 0.51673 -5.1094
185.75 0.00012207 89.29 0.51697 -4.9922
189.81 0.00028992 88.415 0.51691 -4.9063
195.65 0.00053788 87.141 0.51703 -4.9453
200.44 0.00082779 85.532 0.51703 -4.9688
205.23 0.00087738 85.204 0.51703 -4.9219
210.07 0.00095749 84.852 0.51709 -4.9688
215.02 0.00096131 84.852 0.51722 -4.8907
220.8 0.0010986 84.086 0.51728 -4.8125
225.5 0.00090409 85.141 0.51722 -4.8282
230.33 0.00090409 85.211 0.51728 -4.7344
235.29 0.00080872 85.711 0.51734 -4.6563
240.1 0.00055695 86.985 0.51709 -4.7891
