Ieff(90deg) X DEG X DEG
9.2 0.00041199 57.711 0.42957 0.085938
8.55 0.00022888 71.68 0.42957 0.085938
7.95 0.00021839 72.579 0.42945 0.085938
7.36 9.06E-5 82.149 0.42945 0.085938
6.74 -7.7725E-5 96.555 0.42945 0.093751
6.74 8.5831E-5 82.813 0.42932 0.085938
6.14 -7.4387E-5 96.079 0.42926 0.085938
5.55 -0.00010824 98.602 0.42926 0.093751
5.04 -0.00030041 115.26 0.4292 0.085938
4.5 -0.00042343 120.8 0.4292 0.078126
3.93 -0.00057412 133.39 0.42908 0.078126
3.4 -0.00049591 127.4 0.42908 0.078126
2.84 -0.00056315 130.08 0.42902 0.085938
2.29 -0.00054503 128.59 0.42896 0.085938
1.95 -0.00054312 128.73 0.4289 0.085938
1.54 -0.00054694 130.95 0.42884 0.085938
0.99 -0.00055313 129.43 0.42877 0.085938
0.47 -0.00046921 125.65 0.42871 0.085938
-0.03 -0.00050736 127.84 0.42865 0.085938
-0.55 -0.00034189 116.75 0.42853 0.093751
-1.02 -0.00021744 107.75 0.42847 0.085938
-1.53 0.0064106 5.6797 0.42871 0.093751
-2.05 0.0063515 5.3594 0.42877 0.093751
-2.46 0.0061994 5.8672 0.42877 0.093751
-3.03 0.0061622 5.8125 0.42884 0.085938
-3.71 0.0058914 5.3907 0.42884 0.093751
-4.27 0.0033689 10.602 0.42884 0.093751
-4.27 0.0020795 16.18 0.42884 0.085938
-4.81 0.00027514 65.305 0.42877 0.085938
-5.35 -0.00020838 109.2 0.42877 0.093751
-5.94 -5.6744E-5 94.719 0.42884 0.085938
-6.54 -0.0001154 101.45 0.42884 0.078126
-7.13 5.4837E-5 85.415 0.42884 0.070313
-7.72 -3.1472E-5 93.165 0.42877 0.078126
-7.72 6.1036E-5 84.844 0.42877 0.078126
-8.29 -1.9074E-5 92.454 0.42871 0.070313
-8.94 0.00013399 75.993 0.42871 0.070313
