Alpha(50mT) X DEG X DEG
0.2 -0.00014591 90.719 0.23572 0.97657
5.01 0.00017643 89.032 0.23566 0.96094
9.78 -0.00013352 90.711 0.23566 0.97657
14.66 -0.00020313 91.071 0.23578 0.92188
20.55 -0.00013924 90.735 0.2359 1.0078
25.1 -0.00042534 92.336 0.23596 0.95313
29.95 -0.00039482 92.024 0.2356 0.96094
34.87 -0.00054264 92.805 0.23572 1.0156
40.29 -0.00056076 92.985 0.23584 1.0547
45.28 -0.00060654 93.266 0.23578 0.97657
49.72 -0.00061608 93.29 0.23572 1.0078
55.38 -0.00047207 92.516 0.23572 1
60.13 -0.00030422 91.641 0.23572 1.1094
64.95 -0.00032711 91.711 0.23566 1.1641
70.47 -0.00029278 91.555 0.23572 1.0781
75.53 -0.0001173 90.602 0.2359 0.90625
80.51 -9.3461E-5 90.524 0.23572 1.0859
85.78 0.00024414 88.594 0.23566 1.1094
89.74 0.00014782 89.219 0.23566 1.0234
95.07 0.00028992 88.36 0.23566 1.0234
100.31 0.00028038 88.54 0.23572 1.0391
105.56 0.00055123 87.008 0.23566 1
109.76 0.00073052 86.149 0.23566 0.96875
115.28 0.0006876 86.305 0.2356 1.0078
120.24 0.00083924 85.524 0.23578 1.0156
125.66 0.00079441 85.751 0.2359 0.9375
130.64 0.00069142 86.305 0.23578 1.0313
134.96 0.00069046 86.36 0.23584 0.96094
139.98 0.00090218 85.227 0.2359 1.0625
145.04 0.00081349 85.618 0.23596 0.96875
150.13 0.00082684 85.501 0.23578 0.98438
155.11 0.00054932 86.954 0.23584 1.0859
160.13 0.00040245 87.821 0.23602 1.0234
165.31 0.00079727 85.618 0.2359 0.95313
170.46 0.00019741 88.985 0.23578 0.96094
175.41 0.00022507 88.868 0.23566 1
180.5 0.0001812 89.001 0.23572 1.0234
185.59 0.00020504 88.844 0.23572 1.0313
189.73 -0.00018024 90.969 0.23566 1.0234
195.59 -0.00023556 91.251 0.2356 1.0547
200.58 -4.673E-5 90.251 0.23547 0.875
204.76 -0.00024414 91.313 0.23566 0.9375
210.64 -0.00016785 90.876 0.23535 0.95313
215.29 -0.00040627 92.141 0.23554 0.98438
220 -0.00057698 93.063 0.23554 0.89063
225.07 -0.00064373 93.422 0.2356 1.0625
230.76 -0.00023556 91.274 0.23554 1.0078
235.66 -0.00051594 92.751 0.23554 0.99219
240.44 -0.00014401 90.688 0.23541 0.95313
245.47 -0.00012875 90.665 0.23535 1.0547
250.29 -0.00034142 91.829 0.2356 1.0781
255.27 -0.00024605 91.29 0.23547 1.0781
260.31 6.485E-5 89.571 0.23541 1.0313
265.31 5.1499E-5 89.696 0.23529 1.0547
270.42 0.00029946 88.336 0.23535 1.1016
275.43 0.00035477 88.024 0.23566 0.9375
280.53 0.00070191 86.165 0.23547 0.94532
285.7 0.00050545 87.29 0.23554 0.98438
289.81 0.00054264 87.086 0.23547 1.1094
295.59 0.00075055 85.961 0.23554 1.0547
299.91 0.00076104 85.922 0.23554 0.92188
304.84 0.00078106 85.86 0.23535 0.95313
309.79 0.00070095 86.227 0.23541 1.1016
315.08 0.00067997 86.251 0.23529 1.0781
320.33 0.000803 85.711 0.23535 1.0313
325.3 0.00073719 86.016 0.23554 0.89844
330.31 0.00084973 85.43 0.23566 0.95313
335.64 0.00071812 86.133 0.23547 0.89063
340.66 0.00032711 88.227 0.23554 0.96875
345.61 0.00054074 87.063 0.23541 0.99219
350.69 0.00075531 85.969 0.23541 1.0547
354.75 0.00040054 87.891 0.23547 0.89844
360.21 0.00033188 88.266 0.23541 1.0547
0.2 0.00016117 89.102 0.23547 0.91407
5.01 5.2452E-5 89.696 0.2356 1.0547
9.78 -7.3433E-5 90.446 0.23541 0.96875
14.66 -0.00036621 91.946 0.23547 1.0156
20.55 -0.00045586 92.469 0.23541 1.0313
25.1 -0.00043965 92.36 0.23547 0.95313
29.95 -0.00049401 92.657 0.23529 0.95313
34.87 -0.00027275 91.461 0.23541 0.98438
40.29 -0.00039864 92.102 0.23541 0.89063
45.28 -0.00039292 92.001 0.23547 0.95313
49.72 -0.00037194 92.001 0.23541 1.0078
55.38 -0.00043488 92.282 0.23547 0.97657
60.13 -0.00025463 91.352 0.23541 0.89063
64.95 -0.00013352 90.743 0.23554 0.95313
70.47 -0.00047875 92.516 0.23566 1.0156
75.53 0.00010967 89.383 0.23535 1.0078
80.51 -0.00013352 90.727 0.23547 1.0547
85.78 0.00025654 88.532 0.23554 1.0547
89.74 0.00049591 87.243 0.23554 0.96094
95.07 0.00049305 87.297 0.23529 1.0547
100.31 0.0005455 87.126 0.23529 1.0313
105.56 0.00069142 86.336 0.23541 1.0078
109.76 0.00082493 85.54 0.23547 0.96875
115.28 0.00085831 85.43 0.23523 1.0078
120.24 0.00081921 85.594 0.23547 1.0391
125.66 0.00089646 85.204 0.23535 0.9375
130.64 0.0010214 84.501 0.23554 0.96875
134.96 0.0011959 83.688 0.23517 0.99219
139.98 0.00090981 85.047 0.23547 0.99219
145.04 0.00096417 84.719 0.23547 0.98438
150.13 0.00095177 85.016 0.23535 0.89844
155.11 0.00082779 85.469 0.23541 1.1094
160.13 0.00057698 86.922 0.23547 1.0078
165.31 0.00084305 85.36 0.23547 1.0859
170.46 0.00035477 88.063 0.23529 0.94532
175.41 0.00016117 89.063 0.23535 0.97657
180.5 0.00023651 88.727 0.23523 1.0078
185.59 0.00015545 89.18 0.23523 0.96094
189.73 -0.00010204 90.563 0.23523 0.97657
195.59 2.5749E-5 89.946 0.23517 1.0156
200.58 -4.673E-5 90.266 0.23499 0.96094
204.76 -0.00021267 91.18 0.23523 1.0078
210.64 -0.0001154 90.68 0.23499 0.96094
215.29 -0.00021553 91.118 0.23505 1.0313
220 -0.00014877 90.813 0.23505 0.96094
225.07 -0.00012684 90.665 0.23517 0.94532
230.76 -0.00031471 91.626 0.23499 0.96094
235.66 -0.00047493 92.579 0.23517 1.0078
240.44 -0.00044823 92.321 0.23511 1.0781
245.47 -0.00025273 91.383 0.23511 1.0313
250.29 3.1472E-5 89.899 0.23511 1.0938
255.27 -0.00011444 90.618 0.23505 1.0234
260.31 2.4796E-5 89.868 0.23486 0.98438
265.31 0.00012875 89.251 0.23499 0.92969
270.42 0.0003891 87.868 0.23499 1.0234
275.43 0.00057125 86.922 0.23511 1
280.53 0.00040722 87.735 0.23517 1.0313
285.7 0.00060082 86.751 0.23517 1.0156
289.81 0.00084973 85.376 0.23517 0.89063
295.59 0.00061226 86.633 0.23505 1.0469
299.91 0.00095654 84.86 0.23474 0.91407
304.84 0.00066281 86.391 0.23511 1.0547
309.79 0.00060654 86.743 0.23499 1.0313
315.08 0.0011101 83.961 0.23511 1.0078
320.33 0.00067425 86.43 0.23505 1.0313
325.3 0.0010443 84.454 0.23505 1.0313
330.31 0.00087166 85.282 0.23517 0.92188
335.64 0.0007267 86.102 0.23511 0.95313
340.66 0.00080204 85.68 0.23486 0.9375
345.61 0.00060559 86.688 0.2348 1.0547
350.69 0.00042057 87.602 0.23492 0.9375
354.75 0.00065327 86.477 0.23468 0.9375
360.21 0.00029564 88.407 0.2348 1.0078
0.2 0.00034237 88.172 0.23468 1
5.01 5.5313E-5 89.727 0.23486 1.1016
9.78 7.3433E-5 89.602 0.23492 1.0313
14.66 8.7738E-5 89.594 0.23462 1.0156
20.55 -0.00017357 90.946 0.2348 0.97657
25.1 -0.00031185 91.711 0.23474 0.82032
29.95 -0.00041866 92.172 0.23499 1.0781
