,Beta,A,B,A-B,A+B
0,0.0,0.0442736,0.0441287,-5.3406e-05,0.178315
1,5.0,0.0499041,0.0384524,0.0229875,0.177979
2,10.0,0.0555041,0.0328982,0.0457919,0.177857
3,15.0,0.0606539,0.0277406,0.0666814,0.177766
4,20.0,0.0651708,0.0233766,0.0846334,0.177918
5,25.0,0.0691609,0.0194703,0.100655,0.178132
6,30.0,0.0724034,0.0164186,0.113312,0.178254
7,35.0,0.0746617,0.0142823,0.122284,0.178681
8,40.0,0.076035,0.0130616,0.127442,0.178742
9,45.0,0.0763326,0.0127564,0.128747,0.178926
10,50.0,0.0756383,0.0134583,0.125894,0.178864
11,55.0,0.0740438,0.0150147,0.119568,0.178864
12,60.0,0.0715108,0.0174867,0.109276,0.178773
13,65.0,0.0679708,0.0209352,0.0952382,0.178681
14,70.0,0.0637975,0.0250245,0.0785069,0.178559
15,75.0,0.0591967,0.0296632,0.0597231,0.17862
16,80.0,0.0538485,0.0349734,0.0380938,0.178651
17,85.0,0.0481951,0.0406802,0.0151368,0.178773
18,90.0,0.0426562,0.0462649,-0.00746921,0.179048
19,95.0,0.0370715,0.0519717,-0.0304185,0.179414
20,100.0,0.0315936,0.0576479,-0.0530016,0.179902
21,105.0,0.0265809,0.0628057,-0.0737004,0.180451
22,110.0,0.022278,0.0673528,-0.0915456,0.18097
23,115.0,0.0184556,0.0713506,-0.107453,0.181489
24,120.0,0.0154496,0.0745549,-0.119957,0.181855
25,125.0,0.0133515,0.0768437,-0.128823,0.182252
26,130.0,0.012085,0.0781255,-0.13411,0.182527
27,135.0,0.011757,0.0784917,-0.135346,0.182405
28,140.0,0.0123826,0.0777287,-0.132585,0.182099
29,145.0,0.0138245,0.0760503,-0.12642,0.181794
30,150.0,0.0162126,0.0734868,-0.116288,0.181123
31,155.0,0.0195237,0.0698552,-0.102364,0.180543
32,160.0,0.0234987,0.0656133,-0.0857472,0.179811
33,165.0,0.0280153,0.0609133,-0.0670705,0.179292
34,170.0,0.0332263,0.0555117,-0.0455248,0.178712
35,175.0,0.0387652,0.0498049,-0.0226518,0.178224
