Alpha(210mT) X DEG X DEG
5.16 0.002532 25.93 0.9383 0.015625
-0.02 0.0027237 21.883 0.93848 0.023438
-5.02 0.0026941 22.672 0.93854 0.015625
-9.97 0.002492 24.25 0.93873 0.015625
-15.05 0.0022946 27.539 0.93891 0.0078126
-19.94 0.0020266 29.445 0.93909 0.015625
-24.77 0.0016909 34.414 0.93903 0.015625
-29.82 0.0016146 35.164 0.93885 0.0078126
-34.69 0.0013399 40.032 0.93903 0.0078126
-39.65 0.0010948 44.024 0.93903 0
-44.54 0.00083256 52.266 0.93897 0.0078126
-49.55 0.00053502 63.188 0.93909 0.0078126
-54.52 0.00022316 78.344 0.93891 0.0078126
-60.43 -0.000103 95.743 0.93891 0
-65.36 -0.00043488 111.38 0.93873 0
-70.36 -0.00062466 118.66 0.93879 0.0078126
-75.42 -0.00096512 129.07 0.93891 0.023438
-80.46 -0.0012436 138.25 0.93879 0.015625
-85.42 -0.00142 141.24 0.93854 0.0078126
-90 -0.0014429 140.47 0.93854 0.015625
270 -0.0014467 141.6 0.93848 0.0078126
264.98 -0.001462 141.52 0.93842 0.0078126
260.11 -0.0012951 137.88 0.93817 0
255.18 -0.001092 133.7 0.93817 0.0078126
250.27 -0.00084687 125.49 0.93836 0.015625
245.33 -0.00058937 116.75 0.93811 0.0078126
240.37 -0.00033665 105.06 0.93811 0.0078126
235.27 -6.2943E-5 93.008 0.93805 0.015625
230.29 0.00024796 77.672 0.93805 0.015625
225.27 0.00053025 65.727 0.93805 0.015625
220.35 0.00077439 57.078 0.93805 0.015625
215.31 0.001111 46.102 0.93799 0.0078126
210.4 0.0014792 36.508 0.93817 0.015625
205.5 0.0017452 32.492 0.93817 0.023438
200.43 0.0021191 28.399 0.93799 0.0078126
195.44 0.0025263 23.266 0.9383 0.023438
190.25 0.0028277 21.422 0.93817 0.023438
185.25 0.0031929 19.227 0.9383 0.023438
179.86 0.0034237 16.735 0.93848 0.015625
174.8 0.0034905 17.117 0.93873 0.015625
169.87 0.0033722 17.063 0.93866 0.015625
164.84 0.0031119 17.235 0.93885 0.0078126
159.94 0.0027838 20.578 0.93891 0.015625
154.84 0.0025368 21.281 0.93897 0.015625
149.99 0.0022078 25.453 0.93897 0.015625
144.98 0.0019283 26.555 0.93891 0.015625
140.01 0.0016222 30 0.93897 0.015625
135.23 0.0013142 35.789 0.93891 0.015625
130.09 0.00096417 46.5 0.93891 0.015625
124.98 0.00055695 59.25 0.93903 0.015625
120.06 0.00018597 79.844 0.93885 0.015625
115.31 -5.3406E-5 93.055 0.93897 0.015625
