Ieff(90deg) AUX DEG
-2.69 0.45996 -122.59
-2.62 0.45069 -123.34
-2.47 0.43213 -124.1
-2.4 0.42188 -124.9
-2.33 0.41065 -125.63
-2.19 0.38623 -126.42
-2.11 0.3833 -127.2
-1.98 0.36328 -127.98
-1.91 0.35156 -128.74
-1.78 0.33399 -129.51
-1.71 0.3208 -130.31
-1.59 0.30371 -131.07
-1.52 0.29346 -131.81
-1.46 0.28565 -132.61
-1.27 0.25293 -133.38
-1.2 0.24219 -134.15
-1.15 0.23486 -134.91
-1 0.21045 -135.66
-0.9 0.19727 -136.45
-0.84 0.18164 -137.19
-0.71 0.15723 -137.99
-0.58 0.13867 -138.76
-0.52 0.13086 -139.53
-0.4 0.10986 -140.31
-0.29 0.091797 -141.09
-0.25 0.081055 -141.82
-0.11 0.058106 -142.61
-0.01 0.042481 -143.39
0.11 0.018555 -144.14
0.21 0.0058594 -144.94
0.29 0.012207 -145.7
0.42 0.036133 -146.47
0.47 0.045899 -147.25
0.61 0.07129 -148.03
0.71 0.089844 -148.77
0.8 0.10352 -149.56
0.88 0.12061 -150.34
1 0.13916 -151.09
1.1 0.16309 -151.87
1.22 0.17871 -152.66
1.32 0.19873 -153.41
1.37 0.20947 -154.2
1.49 0.22754 -154.93
1.59 0.24707 -155.71
1.7 0.26563 -156.48
1.82 0.28711 -157.27
1.92 0.3086 -158
1.98 0.31934 -158.82
2.09 0.34033 -159.58
2.21 0.35889 -160.34
2.33 0.37891 -161.09
2.37 0.38965 -161.88
2.48 0.40772 -162.66
2.6 0.42774 -163.45
2.72 0.45069 -164.22
