Ieff(90deg) AUX DEG
2.72 0.46924 150.65
2.57 0.45166 149.9
2.5 0.43848 149.1
2.43 0.4292 148.32
2.29 0.40918 147.56
2.22 0.3999 146.81
2.09 0.3833 146.03
2.02 0.37158 145.27
1.88 0.35303 144.49
1.81 0.3418 143.71
1.68 0.32227 142.95
1.61 0.30957 142.14
1.49 0.29053 141.4
1.42 0.27979 140.63
1.26 0.25635 139.85
1.23 0.24854 139.08
1.12 0.23194 138.31
1 0.21387 137.56
0.93 0.19971 136.79
0.81 0.18457 136.02
0.69 0.15869 135.22
0.57 0.13867 134.45
0.51 0.13281 133.68
0.4 0.1084 132.91
0.28 0.089844 132.16
0.22 0.081055 131.38
0.11 0.060547 130.61
0 0.042481 129.84
-0.14 0.013672 129.06
-0.2 0.0039063 128.3
-0.31 0.015137 127.52
-0.38 0.024414 126.77
-0.52 0.053223 125.98
-0.63 0.071778 125.2
-0.69 0.083985 124.43
-0.79 0.09961 123.68
-0.91 0.12354 122.89
-1.02 0.14307 122.14
-1.08 0.15576 121.37
-1.18 0.17676 120.6
-1.29 0.19092 119.81
-1.4 0.21094 119.05
-1.51 0.23194 118.29
-1.63 0.25488 117.5
-1.68 0.26709 116.72
-1.79 0.28272 115.98
-1.91 0.30567 115.19
-2.01 0.32324 114.42
-2.12 0.34326 113.66
-2.18 0.35254 112.89
-2.29 0.37598 112.14
-2.4 0.39356 111.34
-2.51 0.41406 110.56
-2.62 0.43408 109.79
-2.68 0.44434 109.04
