Ieff(0deg) AUX DEG
2.72 0.46289 165.78
2.57 0.4458 165.02
2.49 0.43652 164.27
2.42 0.42725 163.49
2.28 0.4043 162.7
2.2 0.39258 161.95
2.07 0.37695 161.16
2 0.36377 160.4
1.87 0.34375 159.59
1.8 0.33594 158.86
1.74 0.3252 158.07
1.61 0.3086 157.31
1.48 0.28076 156.52
1.41 0.27198 155.78
1.3 0.25635 154.99
1.22 0.24316 154.23
1.1 0.22607 153.47
0.97 0.20459 152.66
0.91 0.19531 151.91
0.79 0.17578 151.16
0.68 0.15283 150.36
0.61 0.14453 149.59
0.5 0.12549 148.81
0.39 0.10645 148.05
0.28 0.086915 147.26
0.21 0.07129 146.49
0.1 0.051758 145.75
-0.03 0.029297 144.99
-0.13 0.016602 144.17
-0.18 0.0043946 143.44
-0.29 0.014649 142.68
-0.4 0.033203 141.89
-0.52 0.056153 141.11
-0.59 0.069825 140.36
-0.69 0.086915 139.56
-0.81 0.10645 138.81
-0.91 0.12793 138.02
-0.97 0.13623 137.24
-1.08 0.15723 136.49
-1.2 0.17871 135.74
-1.3 0.19971 134.93
-1.4 0.21729 134.19
-1.51 0.23633 133.4
-1.62 0.25488 132.63
-1.68 0.26856 131.88
-1.79 0.28565 131.09
-1.9 0.30371 130.31
-2.01 0.32666 129.55
-2.11 0.3418 128.8
-2.23 0.36621 128.02
-2.28 0.37549 127.23
-2.39 0.39551 126.47
-2.5 0.41504 125.72
-2.62 0.43506 124.92
-2.72 0.45362 124.17
