I1(135deg) AUX DEG X DEG
7.7 0.12451 -51.024 0 0
7.8 0.12354 -51.805 0 0
7.9 0.1294 -52.571 0 0
8 0.12695 -53.375 0 0
8.1 0.12842 -54.149 0 0
8.2 0.12988 -54.953 0 0
8.3 0.12988 -55.727 0 0
8.4 0.13721 -56.508 0 0
8.5 0.13721 -57.282 0 0
8.6 0.13525 -58.078 0 0
8.7 0.13867 -58.828 0 0
8.8 0.13721 -59.649 0 0
8.9 0.14063 -60.407 0 0
9 0.13867 -61.188 0 0
9.1 0.14209 -61.953 0 0
9.2 0.14307 -62.742 0 0
9.3 0.14307 -63.508 0 0
9.4 0.14795 -64.305 0 0
9.5 0.14649 -65.094 0 0
9.6 0.14795 -65.868 0 0
9.7 0.14795 -66.665 0 0
9.8 0.15235 -67.446 0 0
9.9 0.15283 -68.188 0 0
