Ieff(0deg) AUX DEG
-2.89 0.49463 -2.8438
-2.8 0.48291 -3.6172
-2.72 0.47364 -4.3907
-2.56 0.44873 -5.1328
-2.48 0.4419 -5.9063
-2.41 0.43213 -6.6797
-2.27 0.41406 -7.4766
-2.19 0.40039 -8.211
-2.12 0.39063 -9.0079
-1.99 0.36963 -9.7501
-1.92 0.35889 -10.539
-1.79 0.34229 -11.328
-1.66 0.31738 -12.078
-1.58 0.30664 -12.875
-1.46 0.28711 -13.633
-1.4 0.27588 -14.367
-1.27 0.25977 -15.156
-1.22 0.25195 -15.938
-1.08 0.22607 -16.703
-0.97 0.20654 -17.5
-0.91 0.19824 -18.258
-0.78 0.17676 -19.008
-0.66 0.15527 -19.797
-0.6 0.14795 -20.547
-0.49 0.12842 -21.32
-0.42 0.11426 -22.086
-0.32 0.09961 -22.86
-0.2 0.076172 -23.633
-0.1 0.061035 -24.43
0 0.038086 -25.172
0.08 0.025879 -25.945
0.23 0.00097657 -26.735
0.3 0.013672 -27.516
0.4 0.031739 -28.266
0.52 0.05127 -29.039
0.62 0.06836 -29.813
0.74 0.094727 -30.594
0.79 0.10059 -31.336
0.91 0.12207 -32.125
1.01 0.14063 -32.899
1.12 0.16211 -33.672
1.23 0.17871 -34.422
1.29 0.1919 -35.196
1.4 0.2124 -35.985
1.51 0.22852 -36.696
1.61 0.25195 -37.508
1.73 0.26856 -38.274
1.79 0.28272 -39.086
1.9 0.29932 -39.875
2.01 0.3208 -40.657
2.12 0.33496 -41.438
2.23 0.36084 -42.18
2.34 0.37598 -42.953
2.4 0.38965 -43.703
2.51 0.40625 -44.485
2.61 0.42334 -45.258
2.72 0.44629 -46.071
