I1(135deg) AUX DEG X DEG
-10 1.5488 23.406 0 0
-9.9 1.5444 22.633 0 0
-9.8 1.5356 21.844 0 0
-9.7 1.5278 21.063 0 0
-9.6 1.519 20.266 0 0
-9.5 1.5142 19.508 0 0
-9.4 1.5049 18.719 0 0
-9.3 1.499 17.945 0 0
-9.2 1.4854 17.164 0 0
-9.1 1.479 16.36 0 0
-9 1.4717 15.602 0 0
-8.9 1.459 14.813 0 0
-8.8 1.4512 14.039 0 0
-8.7 1.4419 13.258 0 0
-8.6 1.4317 12.461 0 0
-8.5 1.4209 11.711 0 0
-8.4 1.4102 10.922 0 0
-8.3 1.3999 10.133 0 0
-8.2 1.3887 9.3594 0 0
-8.1 1.3784 8.5626 0 0
-8 1.3657 7.7813 0 0
-7.9 1.3525 7 0 0
-7.8 1.3457 6.211 0 0
-7.7 1.3281 5.461 0 0
-7.6 1.3174 4.6563 0 0
-7.5 1.3023 3.875 0 0
-7.4 1.2896 3.1016 0 0
-7.3 1.2773 2.3359 0 0
-7.2 1.2622 1.5625 0 0
-7.1 1.2559 0.75782 0 0
-7 1.2373 0 0 0
-6.9 1.2212 -0.80469 0 0
-6.8 1.2105 -1.5703 0 0
-6.7 1.1963 -2.3594 0 0
-6.6 1.1836 -3.1406 0 0
-6.5 1.1641 -3.9297 0 0
-6.4 1.1563 -4.6875 0 0
-6.3 1.1372 -5.4844 0 0
-6.2 1.1216 -6.2422 0 0
-6.1 1.1045 -7.0391 0 0
-6 1.0879 -7.8047 0 0
-5.9 1.0757 -8.6251 0 0
-5.8 1.0606 -9.3907 0 0
-5.7 1.0435 -10.164 0 0
-5.6 1.0293 -10.969 0 0
-5.5 1.0147 -11.719 0 0
-5.4 0.99756 -12.5 0 0
-5.3 0.98243 -13.274 0 0
-5.2 0.96827 -14.094 0 0
-5.1 0.95215 -14.844 0 0
-5 0.9375 -15.649 0 0
-4.9 0.91944 -16.414 0 0
-4.8 0.90284 -17.203 0 0
-4.7 0.88623 -17.961 0 0
-4.6 0.87207 -18.758 0 0
-4.5 0.85596 -19.516 0 0
-4.4 0.84034 -20.328 0 0
-4.3 0.82081 -21.11 0 0
-4.2 0.80371 -21.906 0 0
-4.1 0.78565 -22.649 0 0
-4 0.77198 -23.43 0 0
-3.9 0.75293 -24.211 0 0
-3.8 0.73487 -25.031 0 0
-3.7 0.71973 -25.766 0 0
-3.6 0.70459 -26.563 0 0
-3.5 0.68604 -27.336 0 0
-3.4 0.66944 -28.141 0 0
-3.3 0.65088 -28.883 0 0
-3.2 0.63721 -29.688 0 0
-3.1 0.61573 -30.492 0 0
-3 0.60059 -31.281 0 0
-2.9 0.57862 -32.016 0 0
-2.8 0.5669 -32.805 0 0
-2.7 0.54688 -33.586 0 0
-2.6 0.53028 -34.383 0 0
-2.5 0.51026 -35.133 0 0
-2.4 0.49512 -35.946 0 0
-2.3 0.47461 -36.727 0 0
-2.2 0.45801 -37.492 0 0
-2.1 0.4419 -38.25 0 0
-2 0.42285 -39.078 0 0
-1.9 0.4043 -39.813 0 0
-1.8 0.38819 -40.625 0 0
-1.7 0.36817 -41.399 0 0
-1.6 0.35156 -42.18 0 0
-1.5 0.33301 -42.977 0 0
-1.4 0.31592 -43.758 0 0
-1.3 0.29785 -44.516 0 0
-1.2 0.28125 -45.305 0 0
-1.1 0.2627 -46.086 0 0
-1 0.24463 -46.86 0 0
-0.9 0.22461 -47.664 0 0
-0.8 0.20752 -48.414 0 0
-0.7 0.1875 -49.227 0 0
-0.6 0.17285 -50.008 0 0
-0.5 0.1543 -50.766 0 0
-0.4 0.13428 -51.578 0 0
-0.3 0.11865 -52.336 0 0
-0.2 0.10059 -53.11 0 0
-0.1 0.080567 -53.899 0 0
5.5511151E-16 0.062012 -54.696 0 0
0.1 0.043946 -55.485 0 0
0.2 0.023926 -56.242 0 0
0.3 0.0058594 -57.024 0 0
0.4 0.010742 -57.797 0 0
0.5 0.029297 -58.578 0 0
0.6 0.045899 -59.344 0 0
0.7 0.066895 -60.141 0 0
0.8 0.086915 -60.922 0 0
0.9 0.10645 -61.68 0 0
1 0.12207 -62.469 0 0
1.1 0.13721 -63.266 0 0
1.2 0.15723 -64.032 0 0
1.3 0.17529 -64.821 0 0
1.4 0.19727 -65.61 0 0
1.5 0.21338 -66.391 0 0
1.6 0.23389 -67.165 0 0
1.7 0.25049 -67.954 0 0
1.8 0.26856 -68.727 0 0
1.9 0.28272 -69.54 0 0
2 0.30713 -70.313 0 0
2.1 0.32324 -71.086 0 0
2.2 0.33887 -71.868 0 0
2.3 0.35889 -72.61 0 0
2.4 0.37598 -73.43 0 0
2.5 0.39404 -74.196 0 0
2.6 0.41211 -74.993 0 0
2.7 0.43213 -75.751 0 0
2.8 0.44776 -76.547 0 0
2.9 0.45996 -77.313 0 0
3 0.48145 -78.102 0 0
3.1 0.49658 -78.876 0 0
3.2 0.51807 -79.649 0 0
3.3 0.53174 -80.438 0 0
