Ieff(90deg) AUX DEG
-9.82 1.794 42.196
-9.82 1.7925 41.407
-9.17 1.6948 40.649
-8.55 1.5967 39.899
-7.93 1.4985 39.125
-7.36 1.4058 38.321
-6.76 1.3081 37.532
-6.76 1.3052 36.774
-6.2 1.2085 36.039
-5.6 1.1094 35.219
-5.07 1.0142 34.477
-4.5 0.91065 33.727
-3.96 0.8125 32.914
-3.4 0.70996 32.141
-2.86 0.61377 31.383
-2.29 0.51026 30.625
-2.02 0.45948 29.867
-1.47 0.35596 29.11
-0.93 0.26123 28.313
-0.52 0.18457 27.539
-0.02 0.091797 26.758
0.52 0.0073243 25.985
1 0.10254 25.211
1.49 0.19238 24.461
2.01 0.28711 23.688
2.56 0.3877 22.906
2.97 0.46631 22.133
3.68 0.59131 21.383
4.22 0.68604 20.578
4.78 0.79004 19.836
4.78 0.79151 19.055
5.32 0.88331 18.289
5.86 0.9751 17.524
6.45 1.0737 16.75
7.07 1.1812 16
7.61 1.2686 15.203
8.21 1.3692 14.438
8.21 1.3735 13.68
8.83 1.4702 12.922
9.45 1.5689 12.125
10.1 1.6714 11.352
