I1(135deg) AUX DEG X DEG
9.9 1.5322 -145.5 0 0
9.8 1.5278 -146.26 0 0
9.7 1.519 -147.02 0 0
9.6 1.5122 -147.83 0 0
9.5 1.5049 -148.6 0 0
9.4 1.4942 -149.34 0 0
9.3 1.4912 -150.16 0 0
9.2 1.481 -150.94 0 0
9.1 1.4746 -151.72 0 0
9 1.4648 -152.49 0 0
8.9 1.4546 -153.27 0 0
8.8 1.4468 -154.07 0 0
8.7 1.4346 -154.86 0 0
8.6 1.4268 -155.62 0 0
8.5 1.415 -156.42 0 0
8.4 1.4058 -157.18 0 0
8.3 1.3936 -157.95 0 0
8.2 1.3828 -158.73 0 0
8.1 1.3716 -159.54 0 0
8 1.3599 -160.32 0 0
7.9 1.3472 -161.08 0 0
7.8 1.3389 -161.87 0 0
7.7 1.3242 -162.66 0 0
7.6 1.3125 -163.41 0 0
7.5 1.3032 -164.21 0 0
7.4 1.2866 -164.99 0 0
7.3 1.273 -165.77 0 0
7.2 1.2608 -166.56 0 0
7.1 1.2481 -167.34 0 0
7 1.2285 -168.1 0 0
6.9 1.2173 -168.92 0 0
6.8 1.2065 -169.7 0 0
6.7 1.19 -170.46 0 0
6.6 1.1763 -171.25 0 0
6.5 1.1646 -172.04 0 0
6.4 1.1489 -172.81 0 0
6.3 1.1338 -173.57 0 0
6.2 1.1172 -174.35 0 0
6.1 1.1065 -175.16 0 0
6 1.0908 -175.96 0 0
5.9 1.0742 -176.71 0 0
5.8 1.0591 -177.49 0 0
5.7 1.0449 -178.3 0 0
5.6 1.0278 -179.07 0 0
5.5 1.0142 -179.84 0 0
5.4 0.99756 179.38 0 0
5.3 0.9795 178.56 0 0
5.2 0.96387 177.79 0 0
5.1 0.95313 176.99 0 0
5 0.9336 176.24 0 0
4.9 0.91944 175.46 0 0
4.8 0.90284 174.68 0 0
4.7 0.88721 173.9 0 0
4.6 0.87061 173.12 0 0
4.5 0.85254 172.34 0 0
4.4 0.83741 171.56 0 0
4.3 0.82178 170.76 0 0
4.2 0.80371 169.99 0 0
4.1 0.78565 169.2 0 0
4 0.77295 168.41 0 0
3.9 0.75342 167.62 0 0
3.8 0.73633 166.87 0 0
3.7 0.71924 166.09 0 0
3.6 0.70118 165.31 0 0
3.5 0.6875 164.52 0 0
3.4 0.67237 163.76 0 0
3.3 0.65186 162.95 0 0
3.2 0.63575 162.16 0 0
3.1 0.61719 161.41 0 0
3 0.59913 160.6 0 0
2.9 0.58203 159.84 0 0
2.8 0.5625 159.06 0 0
2.7 0.54834 158.27 0 0
2.6 0.53028 157.5 0 0
2.5 0.51172 156.72 0 0
2.4 0.49317 155.95 0 0
2.3 0.4751 155.16 0 0
2.2 0.45948 154.39 0 0
2.1 0.44092 153.59 0 0
2 0.42188 152.79 0 0
1.9 0.40527 152.04 0 0
1.8 0.38623 151.24 0 0
1.7 0.37061 150.48 0 0
1.6 0.34961 149.68 0 0
1.5 0.33496 148.89 0 0
1.4 0.31299 148.11 0 0
1.3 0.29639 147.32 0 0
1.2 0.28418 146.58 0 0
1.1 0.26074 145.77 0 0
1 0.24219 144.99 0 0
0.9 0.22852 144.22 0 0
0.8 0.20557 143.43 0 0
0.7 0.19238 142.64 0 0
0.6 0.1709 141.88 0 0
0.5 0.15088 141.08 0 0
0.4 0.13281 140.29 0 0
0.3 0.11768 139.53 0 0
0.2 0.09961 138.75 0 0
0.1 0.077637 137.98 0 0
5.5511151E-16 0.062989 137.2 0 0
-0.1 0.041016 136.39 0 0
-0.2 0.023926 135.61 0 0
-0.3 0.0058594 134.83 0 0
-0.4 0.011719 134.05 0 0
-0.5 0.031739 133.27 0 0
-0.6 0.048828 132.52 0 0
