Ieff(0deg) AUX DEG
2.72 0.46289 -61.446
2.64 0.45166 -62.188
2.49 0.43408 -62.969
2.42 0.42432 -63.727
2.28 0.4043 -64.547
2.2 0.39746 -65.297
2.14 0.3877 -66.079
2 0.36328 -66.844
1.94 0.35303 -67.579
1.8 0.33301 -68.399
1.74 0.32422 -69.157
1.61 0.30567 -69.922
1.54 0.29639 -70.68
1.41 0.27344 -71.438
1.3 0.26074 -72.219
1.22 0.24463 -73.001
1.1 0.22754 -73.79
1.04 0.21533 -74.532
0.91 0.19385 -75.329
0.79 0.17432 -76.094
0.74 0.16309 -76.86
0.61 0.14502 -77.633
0.5 0.12549 -78.383
0.39 0.10352 -79.172
0.33 0.096192 -79.93
0.21 0.07129 -80.711
0.1 0.0542 -81.485
0.04 0.045899 -82.243
-0.07 0.025879 -83.016
-0.18 0.0058594 -83.805
-0.29 0.017578 -84.532
-0.4 0.035157 -85.321
-0.46 0.044434 -86.086
-0.59 0.069825 -86.868
-0.69 0.086915 -87.641
-0.81 0.10693 -88.415
-0.91 0.12793 -89.188
-0.97 0.13721 -89.961
-1.08 0.16211 -90.688
-1.2 0.17822 -91.508
-1.3 0.19727 -92.243
-1.4 0.21387 -93.016
-1.51 0.23486 -93.797
-1.57 0.24707 -94.571
-1.68 0.26758 -95.336
-1.79 0.28565 -96.118
-1.9 0.30518 -96.899
-2.01 0.32422 -97.641
-2.11 0.34619 -98.422
-2.17 0.35449 -99.219
-2.28 0.37549 -99.946
-2.39 0.39356 -100.73
-2.5 0.41651 -101.5
-2.62 0.43262 -102.27
-2.67 0.44483 -103.04
-2.78 0.46387 -103.83
-2.89 0.48535 -104.58
