I2(45deg) AUX DEG X DEG
-10 1.5981 -65.922 0 0
-9.9 1.5908 -66.719 0 0
-9.8 1.583 -67.493 0 0
-9.7 1.5781 -68.282 0 0
-9.6 1.5679 -69.071 0 0
-9.5 1.5601 -69.836 0 0
-9.4 1.5542 -70.61 0 0
-9.3 1.5444 -71.446 0 0
-9.2 1.5342 -72.211 0 0
-9.1 1.5249 -73.016 0 0
-9 1.5151 -73.829 0 0
-8.9 1.5064 -74.586 0 0
-8.8 1.5005 -75.391 0 0
-8.7 1.4883 -76.141 0 0
-8.6 1.4756 -76.907 0 0
-8.5 1.4634 -77.727 0 0
-8.4 1.4526 -78.508 0 0
-8.3 1.4419 -79.258 0 0
-8.2 1.4302 -80.063 0 0
-8.1 1.418 -80.836 0 0
-8 1.4043 -81.626 0 0
-7.9 1.3921 -82.391 0 0
-7.8 1.3814 -83.204 0 0
-7.7 1.3735 -83.938 0 0
-7.6 1.3506 -84.743 0 0
-7.5 1.3384 -85.532 0 0
-7.4 1.3296 -86.297 0 0
-7.3 1.311 -87.055 0 0
-7.2 1.3003 -87.899 0 0
-7.1 1.2876 -88.641 0 0
-7 1.2739 -89.446 0 0
-6.9 1.2588 -90.196 0 0
-6.8 1.2402 -91.001 0 0
-6.7 1.23 -91.766 0 0
-6.6 1.2129 -92.547 0 0
-6.5 1.1992 -93.344 0 0
-6.4 1.1856 -94.102 0 0
-6.3 1.1675 -94.915 0 0
-6.2 1.1533 -95.688 0 0
-6.1 1.1382 -96.446 0 0
-6 1.1245 -97.258 0 0
-5.9 1.1045 -98.024 0 0
-5.8 1.0923 -98.805 0 0
-5.7 1.0757 -99.586 0 0
-5.6 1.0591 -100.35 0 0
-5.5 1.0449 -101.15 0 0
-5.4 1.0303 -101.92 0 0
-5.3 1.0112 -102.7 0 0
-5.2 0.99659 -103.5 0 0
-5.1 0.98096 -104.28 0 0
-5 0.96387 -105.08 0 0
-4.9 0.94727 -105.84 0 0
-4.8 0.92627 -106.63 0 0
-4.7 0.91358 -107.42 0 0
-4.6 0.89551 -108.17 0 0
-4.5 0.87696 -108.95 0 0
-4.4 0.86621 -109.74 0 0
-4.3 0.84522 -110.55 0 0
-4.2 0.82764 -111.27 0 0
-4.1 0.8125 -112.1 0 0
-4 0.79297 -112.88 0 0
-3.9 0.7793 -113.65 0 0
-3.8 0.75928 -114.42 0 0
-3.7 0.74268 -115.22 0 0
-3.6 0.72559 -115.98 0 0
-3.5 0.70557 -116.75 0 0
-3.4 0.68897 -117.57 0 0
-3.3 0.67188 -118.36 0 0
-3.2 0.6543 -119.1 0 0
-3.1 0.63672 -119.91 0 0
-3 0.61719 -120.69 0 0
-2.9 0.6001 -121.46 0 0
-2.8 0.58057 -122.23 0 0
-2.7 0.56397 -123.01 0 0
-2.6 0.54786 -123.81 0 0
-2.5 0.52686 -124.61 0 0
-2.4 0.50879 -125.37 0 0
-2.3 0.49024 -126.15 0 0
-2.2 0.4707 -126.94 0 0
-2.1 0.45362 -127.69 0 0
-2 0.43555 -128.49 0 0
-1.9 0.41504 -129.25 0 0
-1.8 0.40137 -130.06 0 0
-1.7 0.37842 -130.82 0 0
-1.6 0.36231 -131.61 0 0
-1.5 0.34522 -132.38 0 0
-1.4 0.32666 -133.17 0 0
-1.3 0.30957 -133.96 0 0
-1.2 0.28858 -134.74 0 0
-1.1 0.26856 -135.52 0 0
-1 0.25488 -136.31 0 0
-0.9 0.23486 -137.12 0 0
-0.8 0.21485 -137.87 0 0
-0.7 0.19727 -138.64 0 0
-0.6 0.17969 -139.42 0 0
-0.5 0.16065 -140.2 0 0
-0.4 0.13867 -140.98 0 0
-0.3 0.12354 -141.79 0 0
-0.2 0.10547 -142.56 0 0
-0.1 0.083985 -143.33 0 0
5.5511151E-16 0.063965 -144.11 0 0
0.1 0.047364 -144.89 0 0
0.2 0.027344 -145.65 0 0
0.3 0.0087891 -146.47 0 0
0.4 0.0092774 -147.24 0 0
0.5 0.030274 -148 0 0
0.6 0.045899 -148.81 0 0
0.7 0.06543 -149.56 0 0
0.8 0.086915 -150.37 0 0
0.9 0.10791 -151.16 0 0
1 0.12793 -151.9 0 0
1.1 0.14502 -152.7 0 0
1.2 0.16211 -153.51 0 0
1.3 0.18604 -154.28 0 0
1.4 0.20166 -155.06 0 0
1.5 0.21631 -155.85 0 0
1.6 0.23682 -156.63 0 0
1.7 0.25684 -157.41 0 0
1.8 0.2749 -158.18 0 0
1.9 0.29346 -158.95 0 0
2 0.31152 -159.72 0 0
2.1 0.33154 -160.51 0 0
2.2 0.35108 -161.28 0 0
2.3 0.36621 -162.05 0 0
2.4 0.38623 -162.84 0 0
2.5 0.40332 -163.66 0 0
2.6 0.41992 -164.43 0 0
2.7 0.43848 -165.19 0 0
2.8 0.45654 -165.97 0 0
2.9 0.4751 -166.74 0 0
3 0.49219 -167.56 0 0
3.1 0.51172 -168.31 0 0
3.2 0.52979 -169.09 0 0
3.3 0.54688 -169.91 0 0
3.4 0.56788 -170.67 0 0
3.5 0.57911 -171.45 0 0
3.6 0.60303 -172.23 0 0
3.7 0.61817 -173.02 0 0
3.8 0.63672 -173.81 0 0
3.9 0.65674 -174.57 0 0
4 0.67237 -175.36 0 0
4.1 0.6875 -176.13 0 0
4.2 0.70459 -176.91 0 0
4.3 0.72266 -177.7 0 0
4.4 0.73926 -178.48 0 0
4.5 0.75831 -179.26 0 0
4.6 0.77442 179.95 0 0
4.7 0.79102 179.17 0 0
4.8 0.80664 178.39 0 0
4.9 0.8252 177.65 0 0
5 0.84473 176.82 0 0
5.1 0.85987 176.04 0 0
5.2 0.875 175.27 0 0
5.3 0.89502 174.49 0 0
5.4 0.91016 173.74 0 0
5.5 0.92871 172.95 0 0
5.6 0.94532 172.13 0 0
5.7 0.96241 171.38 0 0
5.8 0.97608 170.59 0 0
5.9 0.9961 169.82 0 0
6 1.0112 169.01 0 0
6.1 1.0249 168.26 0 0
6.2 1.044 167.43 0 0
6.3 1.0615 166.66 0 0
6.4 1.0776 165.91 0 0
6.5 1.0938 165.13 0 0
6.6 1.1094 164.35 0 0
6.7 1.1255 163.57 0 0
6.8 1.1397 162.77 0 0
6.9 1.1553 162.01 0 0
7 1.1719 161.22 0 0
7.1 1.1856 160.45 0 0
7.2 1.2022 159.66 0 0
7.3 1.2193 158.88 0 0
7.4 1.2319 158.09 0 0
7.5 1.2495 157.31 0 0
7.6 1.2632 156.55 0 0
7.7 1.2803 155.76 0 0
7.8 1.2896 154.97 0 0
7.9 1.3052 154.23 0 0
8 1.3247 153.43 0 0
8.1 1.3384 152.62 0 0
8.2 1.355 151.85 0 0
8.3 1.3706 151.08 0 0
8.4 1.3858 150.32 0 0
8.5 1.395 149.51 0 0
8.6 1.4102 148.74 0 0
8.7 1.4238 147.98 0 0
8.8 1.439 147.14 0 0
8.9 1.4526 146.41 0 0
9 1.4653 145.58 0 0
9.1 1.4775 144.83 0 0
9.2 1.4927 144.06 0 0
9.3 1.5064 143.29 0 0
9.4 1.52 142.49 0 0
9.5 1.5337 141.7 0 0
9.6 1.5449 140.92 0 0
9.7 1.5557 140.15 0 0
9.8 1.5689 139.34 0 0
9.9 1.5801 138.59 0 0
