Ieff(0deg) AUX DEG
9.85 1.794 -173
9.2 1.7022 -173.77
9.2 1.6978 -174.56
8.55 1.5996 -175.32
7.95 1.5034 -176.09
7.36 1.4028 -176.84
6.74 1.3003 -177.65
6.74 1.2974 -178.42
6.14 1.1983 -179.19
5.55 1.0943 -179.95
5.04 1.0049 179.3
4.5 0.9126 178.49
3.93 0.81104 177.77
3.4 0.7085 176.95
2.84 0.60791 176.17
2.29 0.50684 175.44
1.95 0.4458 174.62
1.54 0.37256 173.89
0.99 0.27149 173.12
0.47 0.17725 172.31
-0.03 0.088379 171.54
-0.55 0.013184 170.77
-1.02 0.10254 169.99
-1.53 0.19531 169.25
-2.05 0.29785 168.49
-2.46 0.37061 167.69
-3.03 0.47022 166.92
-3.71 0.59424 166.16
-4.27 0.69385 165.39
-4.27 0.69532 164.65
-4.81 0.78956 163.88
-5.35 0.88184 163.11
-5.94 0.98096 162.31
-6.54 1.085 161.53
-7.13 1.1856 160.75
-7.72 1.2759 160.02
-7.72 1.2847 159.26
-8.29 1.3735 158.47
-8.94 1.4775 157.68
-9.59 1.5752 156.91
-10.21 1.6748 156.17
