Ieff(0deg) AUX DEG
-2.72 0.46729 -126.69
-2.63 0.45654 -127.45
-2.48 0.43701 -128.24
-2.41 0.42627 -129.02
-2.27 0.40918 -129.8
-2.19 0.39551 -130.57
-2.12 0.38623 -131.35
-1.99 0.36621 -132.11
-1.92 0.35449 -132.84
-1.79 0.33594 -133.64
-1.72 0.3252 -134.39
-1.58 0.30567 -135.17
-1.53 0.2959 -135.95
-1.4 0.28125 -136.74
-1.27 0.25684 -137.49
-1.22 0.24707 -138.24
-1.08 0.22412 -139.04
-0.97 0.20947 -139.8
-0.91 0.19531 -140.57
-0.78 0.17432 -141.34
-0.72 0.16357 -142.1
-0.6 0.14209 -142.91
-0.49 0.12549 -143.67
-0.42 0.11621 -144.44
-0.32 0.094727 -145.2
-0.2 0.072754 -145.98
-0.1 0.060547 -146.73
0 0.039551 -147.52
0.08 0.029297 -148.29
0.23 0.00097657 -149.06
0.3 0.013184 -149.8
0.4 0.027344 -150.59
0.5 0.045899 -151.38
0.62 0.068848 -152.16
0.68 0.077637 -152.93
0.79 0.10352 -153.69
0.91 0.12354 -154.49
1.01 0.14063 -155.24
1.12 0.16455 -155.99
1.23 0.18018 -156.78
1.29 0.18945 -157.52
1.4 0.21045 -158.31
1.51 0.23194 -159.09
1.61 0.24854 -159.84
1.68 0.2583 -160.63
1.79 0.28223 -161.41
1.9 0.29932 -162.13
2.01 0.32227 -162.93
2.12 0.34082 -163.7
2.23 0.36084 -164.45
2.28 0.36768 -165.24
2.4 0.38965 -166.02
2.51 0.40918 -166.77
2.61 0.42627 -167.6
2.72 0.44483 -168.37
