,phih,0,45,90,135
0,0.2,0.010774302166666916,0.3326585614463514,-0.016709700467565064,-0.3244407305905793
1,5.01,0.0028043320156453523,0.3250226451150407,0.0021402317888543636,-0.31211802815372874
2,9.78,-0.005887693035558232,0.3036624717708498,0.021423547401133138,-0.28965608463576276
3,14.66,-0.010539716838299226,0.265830285684874,0.03600454204635664,-0.24666690539990987
4,20.55,-0.018806035937883766,0.2204595724043807,0.052988360369931944,-0.1989146981962546
5,25.1,-0.023022097384467248,0.17281222706755273,0.06872399445771428,-0.15396718128293593
6,29.95,-0.025220455304027153,0.1306467341513157,0.0741493682410417,-0.10636026250783846
7,34.87,-0.03376884757406329,0.08038921807287627,0.07787676739343603,-0.06081148590594352
8,40.29,-0.03712573037892016,0.028672913004217843,0.08519313677166661,-0.009650765670809927
9,45.28,-0.03788159793472349,-0.024764621934159594,0.09101894504515849,0.042747832535677266
10,49.72,-0.03906610112555516,-0.06778761801335509,0.09216917629245766,0.09124163425663996
11,55.38,-0.03174388163589276,-0.12268906304240002,0.08769470357049225,0.14592406727117924
12,60.13,-0.030188399325355973,-0.17278618263381204,0.0854112612204137,0.1869719625335752
13,64.95,-0.031375899857829806,-0.21886384523427183,0.08312960430427288,0.23216392228942823
14,70.47,-0.022032532917982947,-0.2640732699797306,0.07137825704399153,0.2711960851841268
15,75.53,-0.021057168157581813,-0.29859097034286214,0.05650975431870403,0.3079358745304274
16,80.51,-0.011853732920889629,-0.3180789895619547,0.044099418665870554,0.32104079769185695
17,85.78,-0.0025085342308083162,-0.32891690306793636,0.028255874919265383,0.32862008801318776
18,89.74,0.0003516793233243123,-0.3243905867056334,0.01134328936689316,0.32350889388788817
19,95.07,0.008685770851735606,-0.30775765851593223,-0.007104636136300838,0.29512291197814305
20,100.31,0.020340790423473074,-0.27973050886501377,-0.02312953048337335,0.26459107347261634
21,105.56,0.021458963089806514,-0.2412812289764104,-0.03835828963899861,0.23393783746369845
22,109.76,0.027636645886981635,-0.2061453114867329,-0.0486089702630379,0.1933547339918675
23,115.28,0.031063882054747242,-0.1626508312455794,-0.05721173964958333,0.1502759456280683
24,120.24,0.03737864335584653,-0.12233761979641965,-0.06900749559323044,0.10630035318677254
25,125.66,0.03748700252801978,-0.07219175638749646,-0.07757637048911231,0.05603906707660981
26,130.64,0.040628108714121335,-0.027534377249478374,-0.07992701007944926,0.011427981658542936
27,134.96,0.04435030181776614,0.007895376846711887,-0.08279498071397373,-0.024977924446401095
28,139.98,0.039842606965756165,0.05269791533696643,-0.08456681171796863,-0.07100224479365141
29,145.04,0.041396408722294685,0.09836442460318122,-0.08261148390832283,-0.11688414105988
30,150.13,0.03342415274266503,0.13868641819078564,-0.08011239995830717,-0.16399507334244204
31,155.11,0.031657427893045195,0.18984491266054396,-0.0770708542714245,-0.202515178686505
32,160.13,0.029313839849879397,0.23320192062024897,-0.07012306790692369,-0.2441381038672359
33,165.31,0.02191831812495028,0.26803117240745394,-0.06295447030198766,-0.28168943533524565
34,170.46,0.016687864263309506,0.2991048023977441,-0.04920224653326434,-0.3097158159261284
35,175.41,0.010015026113114818,0.32686124848744136,-0.03519887975443054,-0.33037458267212716
36,180.5,-0.0014216167943512214,0.3317862862300636,-0.01804554963978309,-0.33729162169816923
37,185.59,-0.007662965667256712,0.3216871047995842,0.0026900020469358492,-0.32140651160449246
38,189.73,-0.014762426075559327,0.3014992604695099,0.016065607193208254,-0.29932029978382596
39,195.59,-0.026926263633884933,0.26046407583122816,0.035220580787170296,-0.26004490089915216
40,200.58,-0.02724840181107656,0.218873295447911,0.050744886109373666,-0.2183596178315248
41,204.76,-0.03738013915857655,0.18654810015940884,0.057608265085646745,-0.17567267977476878
42,210.64,-0.043626559634261604,0.1312092667227691,0.06797046071187549,-0.11893499661219986
43,215.29,-0.04654439179973019,0.08529200060933673,0.0787129985554422,-0.07565090096434118
44,220.0,-0.0475867985510289,0.0406744778643954,0.08837130166829313,-0.027353022910542295
45,225.07,-0.04632243475328018,-0.008575704886833783,0.08851774578210933,0.030130569742395977
46,230.76,-0.05025798975486158,-0.06838840939388849,0.08646587112936199,0.08417868852174036
47,235.66,-0.05043569250972393,-0.11994593814332954,0.08661058086289813,0.13003381818336393
48,240.44,-0.047581678082569585,-0.16615891336419403,0.08566765718359765,0.1751665846418152
49,245.47,-0.04371914506458639,-0.21149967427567484,0.07687611553490357,0.21966297337071417
50,250.29,-0.03653585776002991,-0.25063917813924314,0.0693479670613892,0.25655455406919786
51,255.27,-0.03368319825768059,-0.2865939627448008,0.06374122459678414,0.29023261365449915
