,phih,0,45
0,0.35,0.011192814216326195,0.35003929671926337
1,5.3,-0.008847977278284395,0.3384913998063947
2,9.755,-0.025889447532716513,0.3153050374219251
3,15.125,-0.045600576885160275,0.2762938657598394
4,20.565,-0.060224843227841204,0.2278254880874743
5,24.93,-0.06989280157674543,0.18319090536202737
6,30.295,-0.08047761875350942,0.13110899752270105
7,35.08,-0.08759228333795566,0.0807082475299492
8,40.145,-0.0934008488905388,0.02692933440788524
9,45.175,-0.09526525961366206,-0.029066983472490454
10,50.24,-0.09528590425790875,-0.0812592724957094
11,55.52,-0.09228683059933143,-0.13586671229093802
12,60.285,-0.08818272548165755,-0.18362853260911516
13,65.21,-0.08158824233159596,-0.2303490292258662
14,70.38,-0.0706511613939759,-0.27391226486288944
15,75.4,-0.057403734889092776,-0.3103280911332498
16,80.41,-0.041005005603187476,-0.3334646695796429
17,85.545,-0.021480998632364884,-0.34469035857364316
18,90.08,-0.003177836649840289,-0.33931932738253545
19,95.25,0.015923105793161967,-0.3184240168067358
20,100.42,0.03370977028335043,-0.2855224533324161
21,105.63,0.04632487964129174,-0.2476146561417562
22,109.785,0.05728458724904095,-0.21320043548105938
23,115.435,0.06872264748252635,-0.16404474357705298
24,120.075,0.07524530526822253,-0.12134759670020906
25,125.25,0.08030303110967527,-0.07303926259048711
26,130.215,0.0858086760042019,-0.026196014066877764
27,135.02,0.08809165753384114,0.01836072995149565
28,140.155,0.08946841348059208,0.06687645491148468
29,145.17,0.08897584247310796,0.11449159088313429
30,150.22,0.08525161712394462,0.1622428446056306
31,155.375,0.08033441535858196,0.20916107267339706
32,160.395,0.07145027169845039,0.2523927896426861
33,165.46,0.06120447627932501,0.2910787449917591
34,170.575,0.04717305926309781,0.3225520612407802
35,175.08,0.03178952667663042,0.3442255588048467
