I2(45deg) X DEG X DEG
-3.4 0.0057955 29 0.93024 0.13281
-3.5 0.0058575 28.133 0.93024 0.13281
-3.6 0.0058756 28.477 0.93018 0.125
-3.7 0.0058804 28.625 0.93018 0.125
-3.8 0.005889 27.961 0.93012 0.13281
-3.9 0.005867 28.125 0.93024 0.125
-4 0.0058937 28.188 0.93018 0.13281
-4.1 0.0059405 28.219 0.93018 0.13281
-4.2 0.0059843 27.625 0.93012 0.13281
-4.3 0.0061379 27.07 0.93024 0.125
-4.4 0.0062247 26.703 0.93024 0.13281
-4.5 0.006238 26.531 0.93024 0.13281
-4.6 0.0064116 25.727 0.93024 0.13281
-4.7 0.0063658 26.086 0.93018 0.13281
-4.8 0.0064059 25.735 0.93018 0.13281
-4.9 0.0064717 25.266 0.93018 0.14063
-5 0.0064354 25.828 0.93 0.13281
-5.1 0.0066138 25.164 0.93018 0.13281
-5.2 0.0066634 24.906 0.93024 0.13281
-5.3 0.0067625 24.438 0.9303 0.13281
-5.4 0.0067292 24.813 0.93024 0.13281
-5.5 0.0067845 24.313 0.93024 0.13281
-5.6 0.0067578 24.227 0.9303 0.125
-5.7 0.0067406 24.352 0.93018 0.13281
-5.8 0.006691 24.508 0.93024 0.13281
-5.9 0.0066643 24.25 0.93036 0.13281
-6 0.006671 24.141 0.93018 0.125
-6.1 0.0067206 24.039 0.93024 0.13281
-6.2 0.0067225 23.891 0.93018 0.13281
-6.3 0.0067797 23.969 0.93018 0.13281
-6.4 0.0067759 23.774 0.93018 0.13281
-6.5 0.0068684 23.508 0.93018 0.125
-6.6 0.0068503 23.399 0.93018 0.13281
-6.7 0.0068217 23.555 0.93018 0.125
-6.8 0.0068331 23.445 0.93012 0.13281
-6.9 0.006877 23.242 0.93012 0.13281
-7 0.0069685 22.742 0.93018 0.13281
-7.1 0.0070372 22.805 0.93018 0.13281
-7.2 0.0072384 21.82 0.93018 0.13281
-7.3 0.0073805 21.735 0.93018 0.125
-7.4 0.0075045 21.235 0.93024 0.13281
-7.5 0.0075932 20.836 0.93018 0.13281
-7.6 0.0076275 20.977 0.93018 0.13281
-7.7 0.0077143 20.5 0.93024 0.13281
-7.8 0.0078412 19.922 0.93042 0.125
-7.9 0.0080357 19.289 0.93061 0.125
-8 0.0081378 19.313 0.93079 0.125
-8.1 0.0082017 18.524 0.93085 0.125
-8.2 0.0081883 18.344 0.93079 0.125
-8.3 0.0081778 18.922 0.93085 0.125
-8.4 0.008174 18.422 0.93079 0.125
-8.5 0.008235 18.344 0.93061 0.125
-8.6 0.0082379 18.617 0.93049 0.125
-8.7 0.0083037 18.586 0.93042 0.125
-8.8 0.0084057 18.016 0.93049 0.125
-8.9 0.0084286 17.938 0.93042 0.125
-9 0.0084649 18.149 0.93049 0.11719
-9.1 0.0085793 17.766 0.93049 0.11719
-9.2 0.0085803 17.594 0.93036 0.11719
-9.3 0.0086337 17.656 0.93042 0.11719
-9.4 0.0086756 17.672 0.93042 0.10938
-9.5 0.0085717 17.219 0.93036 0.10938
-9.6 0.0085278 17.524 0.93036 0.11719
-9.7 0.0085669 17.82 0.93042 0.10938
-9.8 0.008525 17.578 0.93049 0.11719
-9.9 0.0085231 17.203 0.93049 0.125
-10 0.0085726 17.578 0.93042 0.10938
