Ieff(90deg) X DEG X DEG
2.83 -0.0010195 108.53 0.93055 0
2.97 -0.00094319 107.31 0.93042 -0.0078126
2.97 -0.00099183 108.39 0.93042 0
3.11 -0.00088597 106.07 0.93049 -0.0078126
3.11 -0.00070572 103.09 0.93049 0
3.11 -0.00074959 103.62 0.93055 0
3.68 -0.00032044 95.985 0.93036 -0.0078126
3.68 -8.2017E-5 91.485 0.93042 0
3.68 -2.2888E-5 90.516 0.93042 0
3.68 -0.00020409 93.899 0.93024 -0.0078126
3.68 -0.0001688 93.219 0.93049 0
3.68 -0.00029946 95.602 0.9303 -0.0078126
4.22 0.00074864 76.063 0.93036 0
4.22 0.0010386 70.868 0.93042 0
4.22 0.0011559 68.954 0.93049 -0.0078126
4.22 0.0012226 68.04 0.93049 -0.0078126
4.22 0.0011425 69.579 0.93042 -0.0078126
4.78 0.0012932 66.696 0.93055 0
4.78 0.0014296 65.149 0.93055 -0.0078126
4.78 0.0015192 63.547 0.93055 -0.0078126
4.78 0.0012722 67.516 0.93049 -0.015625
4.78 0.0013151 66.922 0.93049 -0.0078126
4.78 0.0012913 67.579 0.93049 -0.015625
5.32 0.0015211 63.789 0.93055 -0.0078126
5.32 0.0017338 60.477 0.93042 -0.0078126
5.32 0.0016852 61.516 0.93042 -0.015625
5.32 0.0016422 61.953 0.93036 -0.015625
5.32 0.0016251 61.789 0.93042 -0.015625
5.86 0.0018196 59.141 0.93024 -0.0078126
5.86 0.0018301 59.321 0.93036 -0.0078126
5.86 0.0018644 58.821 0.93036 -0.015625
5.86 0.0020285 56.602 0.93042 -0.015625
5.86 0.0020294 56.813 0.93036 -0.015625
5.86 0.0020704 55.961 0.93036 -0.0078126
6.45 0.0018787 58.594 0.93042 -0.0078126
6.45 0.0019102 58.664 0.93061 -0.0078126
6.45 0.0018034 59.696 0.93061 -0.015625
6.45 0.0018034 59.391 0.93085 -0.0078126
6.45 0.0017872 60.196 0.93067 -0.015625
6.45 0.0018311 59.438 0.93055 -0.015625
7.07 0.0015507 63.375 0.93055 -0.0078126
7.07 0.0014496 65.016 0.93073 -0.0078126
7.07 0.0013418 66.758 0.93061 -0.015625
7.07 0.0012913 67.516 0.93073 -0.015625
7.07 0.0012388 68.032 0.93067 -0.015625
7.07 0.0011311 69.868 0.93049 -0.0078126
7.61 0.0013218 66.79 0.93042 -0.015625
7.61 0.0014296 64.711 0.93055 -0.015625
7.61 0.0014458 64.54 0.93067 -0.0078126
7.61 0.0013762 66.165 0.93061 -0.015625
7.61 0.0013905 65.829 0.93079 -0.0078126
7.61 0.0012121 68.969 0.93055 -0.015625
8.21 0.0010481 71.383 0.93061 -0.015625
8.21 0.00095845 73.157 0.93042 -0.015625
8.21 0.0010166 72.086 0.93042 -0.015625
8.21 0.0010195 71.649 0.93061 -0.015625
8.21 0.0010557 71.43 0.93067 -0.015625
8.21 0.0013895 66.055 0.93152 -0.023438
8.83 0.0016546 63.196 0.93183 -0.015625
8.83 0.0013352 67.493 0.93091 -0.015625
8.83 0.0013857 66.891 0.93085 -0.0078126
8.83 0.0014486 65.719 0.93073 -0.015625
8.83 0.0012178 69.305 0.92951 -0.015625
8.83 0.0012846 68.313 0.92969 -0.0078126
9.45 0.001276 68.555 0.92987 -0.015625
9.45 0.0012102 69.454 0.92981 -0.0078126
9.45 0.0010758 71.688 0.92987 -0.0078126
9.45 0.0010119 72.946 0.92969 -0.0078126
9.45 0.00099374 72.727 0.92975 -0.0078126
9.45 0.0010166 72.461 0.92981 0
10.1 0.0010738 71.649 0.92987 -0.0078126
10.1 0.0010948 70.891 0.92975 -0.0078126
