##Alpha(50mT) X DEG X DEG
270.42 0.0010834 84.54 0.45197 -1.1953
275.43 0.00088501 85.571 0.45191 -1.2656
280.53 0.00084305 85.766 0.45191 -1.2578
285.7 0.00081635 85.922 0.45197 -1.1484
289.81 0.00076676 86.118 0.45191 -1.2656
295.59 0.00086594 85.649 0.45197 -1.1953
299.91 0.00079346 86.016 0.45209 -1.2656
304.84 0.00083924 85.829 0.45203 -1.2344
309.79 0.00071335 86.36 0.45191 -1.25
315.08 0.00070954 86.438 0.45184 -1.1953
320.33 0.00074768 86.251 0.45215 -1.25
325.3 0.00075913 86.157 0.45203 -1.2188
330.31 0.0008049 85.922 0.45209 -1.1563
335.64 0.0008049 86.016 0.45203 -1.1875
340.66 0.0009079 85.454 0.45209 -1.2422
345.61 0.00081635 85.876 0.45215 -1.2578
350.69 0.00078965 86.079 0.45221 -1.2734
354.75 0.00079727 85.993 0.45191 -1.2891
360.21 0.00092316 85.36 0.45209 -1.2109
0.2 0.00081253 85.922 0.45209 -1.2656
5.01 0.00083161 85.805 0.45209 -1.2734
9.78 0.00090027 85.508 0.45227 -1.25
14.66 0.0010147 84.915 0.45227 -1.2188
20.55 0.00086213 85.649 0.45197 -1.2656
25.1 0.00096512 85.172 0.45203 -1.2734
29.95 0.0010338 84.836 0.45184 -1.1875
34.87 0.001091 84.555 0.45215 -1.375
40.29 0.0009842 85.094 0.45184 -1.2578
45.28 0.0010948 84.563 0.45197 -1.2422
49.72 0.0011444 84.243 0.45209 -1.2031
55.38 0.0011482 84.235 0.45203 -1.1641
60.13 0.00099564 85.016 0.45172 -1.2188
64.95 0.0011215 84.43 0.45191 -1.1641
70.47 0.0011101 84.407 0.45191 -1.1875
75.53 0.0010796 84.547 0.45197 -1.1484
80.51 0.0010719 84.649 0.45191 -1.1641
85.78 0.001091 84.532 0.45203 -1.2266
89.74 0.00094986 85.204 0.45191 -1.1875
95.07 0.00092698 85.352 0.45215 -1.25
100.31 0.00096894 85.204 0.45184 -1.2422
105.56 0.00096894 85.157 0.45227 -1.2422
109.76 0.00084305 85.743 0.45203 -1.2109
115.28 0.00088883 85.579 0.45197 -1.2266
120.24 0.00096894 85.118 0.45191 -1.2109
125.66 0.0008812 85.516 0.45197 -1.2109
130.64 0.00085831 85.704 0.45221 -1.1797
134.96 0.00083161 85.836 0.45203 -1.2656
139.98 0.00080872 85.961 0.45197 -1.2422
145.04 0.00091172 85.391 0.45203 -1.2656
150.13 0.00086976 85.665 0.45209 -1.2734
155.11 0.00084305 85.782 0.45215 -1.2109
160.13 0.00083542 85.797 0.45209 -1.3359
165.31 0.00078583 86.102 0.45209 -1.2109
170.46 0.00089646 85.501 0.45233 -1.2578
175.41 0.00084305 85.743 0.45215 -1.2734
180.5 0.00095749 85.172 0.45215 -1.25
185.59 0.00093842 85.329 0.45239 -1.2422
189.73 0.00085831 85.665 0.45203 -1.2422
195.59 0.00092316 85.352 0.45203 -1.2891
200.58 0.0010491 84.751 0.45233 -1.2344
204.76 0.0011482 84.29 0.45227 -1.1719
210.64 0.00099183 85.071 0.45197 -1.2969
215.29 0.00095368 85.188 0.45178 -1.2266
220 0.00093842 85.329 0.45191 -1.2734
225.07 0.0009842 85.063 0.45209 -1.1797
230.76 0.0010071 84.93 0.45215 -1.2344
235.66 0.00099183 85.016 0.45203 -1.2109
240.44 0.0010338 84.868 0.45184 -1.2422
245.47 0.0010796 84.586 0.45203 -1.2969
250.29 0.00099946 84.954 0.45203 -1.2109
255.27 0.00097657 85.149 0.45203 -1.2422
260.31 0.0010071 84.954 0.45197 -1.1875
265.31 0.00094986 85.219 0.45197 -1.2031
270.42 0.00081635 85.876 0.45166 -1.1875
275.43 0.00082398 85.93 0.45154 -1.2578
280.53 0.00092316 85.368 0.45215 -1.2188
285.7 0.00079727 85.961 0.45197 -1.3203
289.81 0.00077057 86.157 0.45184 -1.2188
